kabupaten,tahun,luas_panen_ha,produktivitas_ku_ha,produktivitas_ton_ha,produksi_ton
Pacitan,2018,19311.99,46.44,4.644,89684.44
Ponorogo,2018,63443.600000000006,59.46,5.946,377263.18
Trenggalek,2018,22732.510000000002,53.04,5.304,120574.63
Tulungagung,2018,34919.88,62.11,6.211,216884.62000000002
Blitar,2018,37101.96,60.42,6.042,224178.63
Kediri,2018,37008.78,59.4,5.9399999999999995,219834.83000000002
Malang,2018,50374.07,57.18,5.718,288019.9
Lumajang,2018,56617.2,54.88,5.488,310736.82
Jember,2018,125135.86,55.04,5.504,688809.35
Banyuwangi,2018,84360.77,60.99,6.099,514528.77999999997
Bondowoso,2018,49799.079999999994,50.97,5.0969999999999995,253835.28
Situbondo,2018,31622.51,55.52,5.5520000000000005,175555.17
Probolinggo,2018,38415.47,45.96,4.596,176575.62
Pasuruan,2018,52562.399999999994,57.54,5.754,302466.49000000005
Sidoarjo,2018,37276.74,66.58,6.6579999999999995,248200.91999999998
Mojokerto,2018,52445.83,60.61,6.061,317873.85
Jombang,2018,63300.840000000004,62.21,6.221,393773.29
Nganjuk,2018,65539.42000000001,60.33,6.0329999999999995,395385.12
Madiun,2018,69132.72,58.58,5.858,404953.10000000003
Magetan,2018,45514.310000000005,63.6,6.36,289458.37
Ngawi,2018,121760.76000000001,61.33,6.133,746762.6
Bojonegoro,2018,134770.37999999998,55.84,5.5840000000000005,752513.4
Tuban,2018,95854.59,58.86,5.886,564241.12
Lamongan,2018,144781.98,61.93,6.193,896652.91
Gresik,2018,57721.64,60.93,6.093,351702.38999999996
Bangkalan,2018,40957.479999999996,59.5,5.95,243711.72999999998
Sampang,2018,37723.93,50.11,5.011,189040.08
Pamekasan,2018,21977.78,51.95,5.195,114179.46
Sumenep,2018,46193.41,55.91,5.590999999999999,258284.99
Kota Kediri,2018,1581.85,64.52,6.452,10205.56
Kota Blitar,2018,759.75,64.12,6.412000000000001,4871.29
Kota Malang,2018,1857.02,63.81,6.381,11850.09
Kota Probolinggo,2018,1165.41,49.31,4.931,5747.01
Kota Pasuruan,2018,1819.04,65.13,6.513,11846.57
Kota Mojokerto,2018,730.3199999999999,57.26,5.726,4182.15
Kota Madiun,2018,1362.01,62.3,6.2299999999999995,8485.369999999999
Kota Surabaya,2018,2687.21,53.86,5.386,14474.529999999999
Kota Batu,2018,871.17,67.38,6.7379999999999995,5869.53
Pacitan,2019,20504.49,44.84,4.484,91941.66
Ponorogo,2019,58080.19,55.48,5.548,322205.5
Trenggalek,2019,20474.89,54.81,5.481,112213.57
Tulungagung,2019,34584.26,56.8,5.68,196430.58
Blitar,2019,36193.939999999995,61.9,6.1899999999999995,224027.19
Kediri,2019,39448.75,56.49,5.649,222837.82
Malang,2019,48397.75,58.08,5.808,281072.26
Lumajang,2019,53466.4,53.1,5.3100000000000005,283894.22000000003
Jember,2019,123591.19,49.91,4.991,616858.41
Banyuwangi,2019,81552.76999999999,54.6,5.46,445253.86
Bondowoso,2019,53458.86,47.02,4.702,251371.94
Situbondo,2019,30225.88,55.47,5.547,167665.53999999998
Probolinggo,2019,39464.38,49.1,4.91,193774.5
Pasuruan,2019,53788.66,50.1,5.01,269463.05
Sidoarjo,2019,34287.25,68.48,6.848000000000001,234788.11
Mojokerto,2019,54993.369999999995,61.78,6.178,339755.88
Jombang,2019,56138.02,61.32,6.132,344236.33999999997
Nganjuk,2019,65066.04,61.45,6.1450000000000005,399845.68
Madiun,2019,68014.65000000001,61.65,6.165,419292.44
Magetan,2019,42231.51,61.72,6.172,260671.35
Ngawi,2019,122500.97,63.44,6.343999999999999,777190.3600000001
Bojonegoro,2019,128863.83,53.71,5.371,692073.16
Tuban,2019,91199.72,57.01,5.701,519934.36
Lamongan,2019,140463.58000000002,59.78,5.978,839724.4299999999
Gresik,2019,61643.05,59.65,5.965,367717.66000000003
Bangkalan,2019,39854.38,50.59,5.059,201620.0
Sampang,2019,33052.04,47.27,4.727,156219.52
Pamekasan,2019,20169.170000000002,45.27,4.527,91313.32
Sumenep,2019,38411.969999999994,48.45,4.845000000000001,186090.84
Kota Kediri,2019,1396.04,50.38,5.038,7032.99
Kota Blitar,2019,911.72,66.74,6.6739999999999995,6084.58
Kota Malang,2019,2019.4800000000002,68.88,6.888,13909.7
Kota Probolinggo,2019,1402.28,51.1,5.11,7165.2
Kota Pasuruan,2019,2055.26,52.57,5.257,10804.71
