tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,30.1,22.8,26.1,1.4,1.4,3.96,9.8,19.62,95,69,Banyuwangi,-8.2192,114.3691
2018-01-02,30.6,24.0,26.2,18.8,18.8,4.1,13.8,21.02,98,70,Banyuwangi,-8.2192,114.3691
2018-01-03,30.4,24.2,26.6,5.3,5.3,3.81,8.7,18.76,95,68,Banyuwangi,-8.2192,114.3691
2018-01-04,31.1,23.4,26.2,30.3,30.3,4.21,12.2,21.11,96,68,Banyuwangi,-8.2192,114.3691
2018-01-05,30.6,23.5,26.1,7.1,7.1,3.82,6.8,18.81,97,68,Banyuwangi,-8.2192,114.3691
2018-01-06,30.4,23.7,26.0,18.8,18.8,3.74,14.0,18.85,100,68,Banyuwangi,-8.2192,114.3691
2018-01-07,27.9,23.9,25.6,3.3,3.3,2.7,14.4,13.67,100,79,Banyuwangi,-8.2192,114.3691
2018-01-08,30.5,23.9,26.2,11.5,11.5,3.51,14.1,17.48,96,69,Banyuwangi,-8.2192,114.3691
2018-01-09,30.6,24.4,26.5,5.0,5.0,3.62,11.0,17.92,96,68,Banyuwangi,-8.2192,114.3691
2018-01-10,30.2,23.2,26.1,1.0,1.0,3.35,12.5,16.21,95,73,Banyuwangi,-8.2192,114.3691
2018-01-11,26.8,22.5,24.9,20.1,20.1,1.83,12.8,9.22,100,87,Banyuwangi,-8.2192,114.3691
2018-01-12,29.0,21.8,25.5,1.6,1.6,2.61,13.5,11.96,100,73,Banyuwangi,-8.2192,114.3691
2018-01-13,28.6,23.6,26.1,8.6,8.6,2.4,11.9,10.24,100,74,Banyuwangi,-8.2192,114.3691
2018-01-14,29.2,23.3,26.0,3.1,3.1,3.45,12.8,16.09,100,72,Banyuwangi,-8.2192,114.3691
2018-01-15,29.6,23.8,25.8,7.4,7.4,2.76,7.3,13.27,94,65,Banyuwangi,-8.2192,114.3691
2018-01-16,29.9,24.2,26.1,3.2,3.2,3.23,12.3,15.51,94,65,Banyuwangi,-8.2192,114.3691
2018-01-17,29.0,24.5,25.8,3.6,3.6,2.64,11.2,12.55,94,67,Banyuwangi,-8.2192,114.3691
2018-01-18,30.4,23.9,25.9,10.2,10.2,3.3,8.4,16.42,100,64,Banyuwangi,-8.2192,114.3691
2018-01-19,29.7,23.7,26.1,2.2,2.2,3.83,21.4,18.67,94,65,Banyuwangi,-8.2192,114.3691
2018-01-20,29.0,24.4,25.8,2.0,2.0,3.09,12.0,14.73,94,68,Banyuwangi,-8.2192,114.3691
2018-01-21,26.3,23.5,24.6,14.9,14.9,1.72,8.4,8.64,100,86,Banyuwangi,-8.2192,114.3691
2018-01-22,29.0,24.2,25.8,2.5,2.5,2.98,11.7,14.56,96,68,Banyuwangi,-8.2192,114.3691
2018-01-23,28.2,23.4,25.3,2.3,2.3,2.12,8.5,10.13,97,76,Banyuwangi,-8.2192,114.3691
2018-01-24,28.6,23.9,25.9,7.0,7.0,2.42,8.0,11.5,100,75,Banyuwangi,-8.2192,114.3691
2018-01-25,28.7,23.9,25.4,7.1,7.1,2.8,10.7,13.76,96,73,Banyuwangi,-8.2192,114.3691
2018-01-26,28.7,23.6,25.7,20.6,20.6,3.54,17.4,17.72,94,72,Banyuwangi,-8.2192,114.3691
2018-01-27,30.3,23.9,26.2,1.1,1.1,3.4,14.8,16.4,96,62,Banyuwangi,-8.2192,114.3691
2018-01-28,30.4,24.2,26.1,0.9,0.9,3.62,10.7,17.06,94,62,Banyuwangi,-8.2192,114.3691
2018-01-29,28.3,23.6,25.9,1.0,1.0,2.92,12.6,14.08,94,72,Banyuwangi,-8.2192,114.3691
2018-01-30,30.7,23.6,26.2,11.9,11.9,4.0,14.0,19.52,96,64,Banyuwangi,-8.2192,114.3691
2018-01-31,28.7,23.4,25.5,1.9,1.9,3.17,12.0,15.51,96,64,Banyuwangi,-8.2192,114.3691
