tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,26.9,22.1,24.4,17.7,17.7,2.28,11.5,11.41,97,83,Blitar,-8.098,112.1615
2018-01-02,27.5,22.8,24.9,16.8,16.8,2.76,13.6,13.83,97,79,Blitar,-8.098,112.1615
2018-01-03,29.0,22.7,25.1,13.7,13.7,3.2,12.3,16.24,95,81,Blitar,-8.098,112.1615
2018-01-04,27.6,22.5,24.7,14.1,14.1,2.7,12.7,13.65,98,79,Blitar,-8.098,112.1615
2018-01-05,27.1,23.0,24.5,16.7,16.7,2.5,10.0,12.68,98,80,Blitar,-8.098,112.1615
2018-01-06,27.9,22.1,24.6,11.6,11.6,2.92,14.2,14.91,99,74,Blitar,-8.098,112.1615
2018-01-07,27.9,22.4,24.6,8.5,8.5,2.57,14.5,12.58,96,73,Blitar,-8.098,112.1615
2018-01-08,29.4,22.7,25.1,7.7,7.7,3.08,8.2,14.75,97,69,Blitar,-8.098,112.1615
2018-01-09,29.5,23.0,25.4,9.2,9.2,3.33,14.5,16.86,96,71,Blitar,-8.098,112.1615
2018-01-10,27.4,22.8,24.6,20.3,20.3,2.78,15.7,14.45,99,77,Blitar,-8.098,112.1615
2018-01-11,26.4,22.0,23.8,13.2,13.2,1.78,9.9,8.49,97,81,Blitar,-8.098,112.1615
2018-01-12,27.7,21.9,24.8,1.5,1.5,2.14,13.9,8.88,91,62,Blitar,-8.098,112.1615
2018-01-13,29.4,24.3,26.0,2.5,2.5,3.41,20.1,14.76,90,67,Blitar,-8.098,112.1615
2018-01-14,29.5,22.5,25.6,2.3,2.3,3.83,15.9,18.27,95,61,Blitar,-8.098,112.1615
2018-01-15,28.9,23.0,25.3,3.7,3.7,3.64,14.1,17.87,91,65,Blitar,-8.098,112.1615
2018-01-16,28.0,23.5,25.2,3.1,3.1,2.84,12.7,13.15,90,72,Blitar,-8.098,112.1615
2018-01-17,28.9,22.9,25.2,12.5,12.5,3.34,11.4,15.95,94,69,Blitar,-8.098,112.1615
2018-01-18,29.5,22.6,24.9,22.8,22.8,3.02,11.9,14.78,95,70,Blitar,-8.098,112.1615
2018-01-19,28.2,22.0,24.3,23.5,23.5,2.26,9.0,11.1,98,78,Blitar,-8.098,112.1615
2018-01-20,27.9,22.5,24.4,17.2,17.2,2.53,13.0,12.27,96,77,Blitar,-8.098,112.1615
2018-01-21,26.9,22.8,24.3,18.5,18.5,1.91,9.4,9.03,95,81,Blitar,-8.098,112.1615
2018-01-22,28.0,22.7,25.0,6.1,6.1,2.77,16.2,12.95,93,76,Blitar,-8.098,112.1615
2018-01-23,28.5,23.2,25.1,12.0,12.0,3.05,10.8,15.08,96,73,Blitar,-8.098,112.1615
2018-01-24,28.5,22.5,24.9,12.8,12.8,2.74,11.6,13.52,95,77,Blitar,-8.098,112.1615
2018-01-25,27.8,22.9,24.8,25.9,25.9,2.22,10.8,10.69,95,78,Blitar,-8.098,112.1615
2018-01-26,28.9,22.8,24.9,14.2,14.2,2.95,14.8,14.62,95,71,Blitar,-8.098,112.1615
2018-01-27,29.4,23.0,25.5,16.6,16.6,3.6,14.4,17.72,94,70,Blitar,-8.098,112.1615
2018-01-28,28.5,23.8,25.8,2.2,2.2,3.79,28.8,16.34,90,71,Blitar,-8.098,112.1615
2018-01-29,28.0,23.2,25.3,12.9,12.9,2.85,17.0,13.81,91,74,Blitar,-8.098,112.1615
2018-01-30,28.5,22.0,24.7,18.5,18.5,3.66,20.1,19.14,93,71,Blitar,-8.098,112.1615
2018-01-31,29.3,22.7,25.4,7.2,7.2,3.91,12.8,19.47,93,66,Blitar,-8.098,112.1615
2018-02-01,28.2,22.9,24.7,22.2,22.2,2.14,11.3,9.96,96,75,Blitar,-8.098,112.1615
2018-02-02,27.8,22.5,24.3,26.5,26.5,2.51,8.2,12.56,97,77,Blitar,-8.098,112.1615
2018-02-03,27.8,22.4,24.7,7.9,7.9,2.92,19.1,14.71,96,75,Blitar,-8.098,112.1615
2018-02-04,29.5,21.8,25.0,14.9,14.9,3.97,8.3,20.02,96,68,Blitar,-8.098,112.1615
2018-02-05,28.0,22.8,24.9,7.7,7.7,2.8,11.4,14.03,97,74,Blitar,-8.098,112.1615
2018-02-06,27.2,22.5,24.3,11.6,11.6,3.13,12.2,16.11,94,72,Blitar,-8.098,112.1615
2018-02-07,28.1,21.8,24.5,21.1,21.1,3.61,13.4,18.65,96,70,Blitar,-8.098,112.1615
2018-02-08,27.0,22.2,24.0,17.1,17.1,2.23,12.3,11.12,96,79,Blitar,-8.098,112.1615
2018-02-09,27.2,21.8,23.9,19.4,19.4,2.31,8.3,11.57,96,83,Blitar,-8.098,112.1615
2018-02-10,28.7,21.5,24.8,1.2,1.2,4.17,10.5,21.32,96,66,Blitar,-8.098,112.1615
2018-02-11,28.5,23.4,25.2,1.8,1.8,3.79,16.0,18.85,90,71,Blitar,-8.098,112.1615
2018-02-12,28.4,22.6,25.1,2.7,2.7,3.33,17.9,16.96,95,69,Blitar,-8.098,112.1615
2018-02-13,28.0,21.9,24.8,6.7,6.7,3.42,10.6,17.22,95,72,Blitar,-8.098,112.1615
2018-02-14,27.8,22.5,24.9,18.3,18.3,2.85,10.0,14.12,95,77,Blitar,-8.098,112.1615
2018-02-15,27.7,22.9,24.5,20.3,20.3,2.52,11.0,12.52,96,77,Blitar,-8.098,112.1615
2018-02-16,28.5,22.9,25.2,2.3,2.3,2.71,13.7,12.49,94,72,Blitar,-8.098,112.1615
2018-02-17,28.8,22.3,25.0,13.1,13.1,3.51,13.6,17.91,94,74,Blitar,-8.098,112.1615
2018-02-18,29.1,22.1,25.4,3.6,3.6,4.03,10.9,20.38,95,65,Blitar,-8.098,112.1615
2018-02-19,29.0,22.3,24.9,17.3,17.3,3.85,11.5,19.7,97,74,Blitar,-8.098,112.1615
2018-02-20,29.2,21.5,24.8,12.3,12.3,3.68,13.3,18.82,96,77,Blitar,-8.098,112.1615
2018-02-21,29.2,21.9,25.4,9.4,9.4,4.23,12.7,21.53,96,67,Blitar,-8.098,112.1615
2018-02-22,28.4,22.3,24.8,21.8,21.8,2.86,7.5,14.08,98,76,Blitar,-8.098,112.1615
2018-02-23,28.8,22.7,24.9,19.1,19.1,3.16,8.2,15.64,97,73,Blitar,-8.098,112.1615
2018-02-24,28.4,22.8,24.7,17.9,17.9,2.85,10.0,14.43,99,79,Blitar,-8.098,112.1615
2018-02-25,28.2,22.2,24.6,7.5,7.5,3.42,13.9,17.84,96,76,Blitar,-8.098,112.1615
2018-02-26,28.0,22.5,24.8,7.2,7.2,2.76,12.3,13.78,96,79,Blitar,-8.098,112.1615
2018-02-27,28.2,22.1,25.2,1.5,1.5,4.16,14.2,21.23,95,66,Blitar,-8.098,112.1615
2018-02-28,28.9,22.1,25.5,1.6,1.6,4.02,10.3,20.05,98,68,Blitar,-8.098,112.1615
2018-03-01,29.7,22.2,25.4,4.6,4.6,3.81,10.9,18.72,94,63,Blitar,-8.098,112.1615
2018-03-02,28.0,22.2,25.0,9.9,9.9,3.29,13.2,17.09,96,78,Blitar,-8.098,112.1615
2018-03-03,29.2,23.4,25.5,6.5,6.5,3.42,10.6,17.19,93,76,Blitar,-8.098,112.1615
2018-03-04,27.6,22.8,25.1,13.3,13.3,2.66,13.5,13.13,96,78,Blitar,-8.098,112.1615
2018-03-05,28.9,23.1,25.1,12.0,12.0,3.2,10.9,15.88,98,74,Blitar,-8.098,112.1615
2018-03-06,29.9,22.6,25.2,12.4,12.4,3.56,8.9,17.78,97,70,Blitar,-8.098,112.1615
2018-03-07,27.1,22.4,24.4,17.3,17.3,2.64,12.2,14.12,98,86,Blitar,-8.098,112.1615
2018-03-08,29.2,22.2,24.8,16.2,16.2,3.63,8.1,18.51,98,71,Blitar,-8.098,112.1615
2018-03-09,27.8,22.1,24.9,2.3,2.3,3.6,11.4,19.07,98,79,Blitar,-8.098,112.1615
2018-03-10,30.0,22.5,25.6,3.6,3.6,4.34,9.7,21.62,97,71,Blitar,-8.098,112.1615
2018-03-11,28.4,22.7,25.3,3.0,3.0,4.02,9.4,20.64,97,74,Blitar,-8.098,112.1615
2018-03-12,28.4,22.5,25.2,2.9,2.9,3.5,10.5,17.43,96,71,Blitar,-8.098,112.1615
2018-03-13,28.3,22.8,24.9,5.8,5.8,3.42,9.3,17.13,95,70,Blitar,-8.098,112.1615
2018-03-14,27.6,22.6,24.6,1.6,1.6,2.75,13.2,13.68,92,79,Blitar,-8.098,112.1615
2018-03-15,28.0,21.0,24.8,1.2,1.2,3.96,17.8,20.74,99,75,Blitar,-8.098,112.1615
