tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,30.5,23.8,26.5,4.1,4.1,3.48,10.2,16.98,97,65,Bojonegoro,-7.1507,111.8815
2018-01-02,29.8,24.0,26.3,7.6,7.6,3.31,9.0,16.42,98,71,Bojonegoro,-7.1507,111.8815
2018-01-03,31.5,23.6,26.6,10.0,10.0,3.61,12.0,17.67,99,66,Bojonegoro,-7.1507,111.8815
2018-01-04,30.5,24.1,26.2,24.5,24.5,3.08,8.0,14.86,97,69,Bojonegoro,-7.1507,111.8815
2018-01-05,31.6,23.9,26.2,17.4,17.4,3.86,8.4,18.96,98,64,Bojonegoro,-7.1507,111.8815
2018-01-06,30.4,24.0,26.3,5.7,5.7,3.8,9.8,18.73,97,67,Bojonegoro,-7.1507,111.8815
2018-01-07,28.0,24.1,25.5,18.9,18.9,1.97,9.2,9.42,96,77,Bojonegoro,-7.1507,111.8815
2018-01-08,30.2,23.7,26.6,1.0,1.0,3.54,6.2,17.04,98,63,Bojonegoro,-7.1507,111.8815
2018-01-09,31.0,24.0,27.0,4.6,4.6,3.87,9.7,18.84,98,64,Bojonegoro,-7.1507,111.8815
2018-01-10,30.4,24.3,26.5,7.7,7.7,4.0,15.5,19.54,96,66,Bojonegoro,-7.1507,111.8815
2018-01-11,29.2,23.7,25.6,9.1,9.1,2.56,16.9,11.99,96,69,Bojonegoro,-7.1507,111.8815
2018-01-12,29.4,23.0,25.4,3.1,3.1,2.45,10.8,11.34,93,65,Bojonegoro,-7.1507,111.8815
2018-01-13,30.1,23.5,26.4,7.7,7.7,2.92,17.7,13.17,97,68,Bojonegoro,-7.1507,111.8815
2018-01-14,29.6,23.8,26.3,0.9,0.9,3.21,17.0,14.74,95,66,Bojonegoro,-7.1507,111.8815
2018-01-15,30.4,24.2,27.0,0.0,0.0,4.13,14.8,19.0,94,63,Bojonegoro,-7.1507,111.8815
2018-01-16,29.5,24.2,26.6,0.8,0.8,3.76,20.6,16.6,91,65,Bojonegoro,-7.1507,111.8815
2018-01-17,31.0,23.8,26.8,0.4,0.4,3.67,15.2,16.93,94,62,Bojonegoro,-7.1507,111.8815
2018-01-18,28.6,23.8,25.7,12.2,12.2,2.42,13.1,11.51,95,74,Bojonegoro,-7.1507,111.8815
2018-01-19,29.0,23.8,25.5,8.9,8.9,2.4,15.0,11.74,97,73,Bojonegoro,-7.1507,111.8815
2018-01-20,29.3,23.5,25.4,13.1,13.1,2.94,13.0,14.42,95,71,Bojonegoro,-7.1507,111.8815
2018-01-21,29.5,23.0,25.9,0.8,0.8,3.39,13.6,16.05,93,68,Bojonegoro,-7.1507,111.8815
2018-01-22,27.6,23.5,25.7,6.9,6.9,2.5,18.5,11.9,96,77,Bojonegoro,-7.1507,111.8815
2018-01-23,29.1,24.0,25.9,10.8,10.8,2.66,18.2,12.68,94,72,Bojonegoro,-7.1507,111.8815
2018-01-24,30.0,24.0,26.2,8.6,8.6,3.14,19.7,15.49,96,73,Bojonegoro,-7.1507,111.8815
2018-01-25,29.1,24.0,26.0,7.5,7.5,2.75,22.0,12.97,90,75,Bojonegoro,-7.1507,111.8815
2018-01-26,30.8,24.2,26.2,11.7,11.7,3.29,18.4,15.93,93,69,Bojonegoro,-7.1507,111.8815
2018-01-27,31.0,23.9,27.3,1.2,1.2,4.3,23.6,18.89,96,60,Bojonegoro,-7.1507,111.8815
2018-01-28,29.9,23.9,26.3,16.1,16.1,2.99,15.9,13.82,96,71,Bojonegoro,-7.1507,111.8815
2018-01-29,30.1,24.6,26.3,8.8,8.8,3.62,17.7,16.03,90,65,Bojonegoro,-7.1507,111.8815
2018-01-30,30.3,23.4,26.1,3.4,3.4,4.41,18.5,21.0,92,63,Bojonegoro,-7.1507,111.8815
2018-01-31,29.1,23.6,25.9,5.3,5.3,2.95,19.7,13.76,95,73,Bojonegoro,-7.1507,111.8815
2018-02-01,29.2,24.2,25.8,6.4,6.4,3.01,19.6,14.82,95,74,Bojonegoro,-7.1507,111.8815
2018-02-02,29.6,23.5,25.7,14.9,14.9,2.96,17.0,14.67,97,72,Bojonegoro,-7.1507,111.8815
2018-02-03,29.5,24.0,26.0,7.6,7.6,2.98,16.0,14.1,95,72,Bojonegoro,-7.1507,111.8815
2018-02-04,29.4,23.2,25.7,17.2,17.2,3.24,13.6,16.33,96,72,Bojonegoro,-7.1507,111.8815
2018-02-05,26.5,23.6,24.8,8.1,8.1,1.47,15.5,6.61,98,84,Bojonegoro,-7.1507,111.8815
2018-02-06,27.5,23.1,25.0,4.7,4.7,1.99,13.5,8.62,94,78,Bojonegoro,-7.1507,111.8815
2018-02-07,27.8,23.4,24.9,24.6,24.6,2.3,13.8,11.61,94,78,Bojonegoro,-7.1507,111.8815
2018-02-08,27.4,23.5,24.8,27.9,27.9,1.73,17.8,8.1,96,78,Bojonegoro,-7.1507,111.8815
2018-02-09,28.6,23.1,25.1,16.8,16.8,2.62,16.6,13.1,95,76,Bojonegoro,-7.1507,111.8815
2018-02-10,30.1,22.8,25.9,3.7,3.7,4.3,15.6,21.84,97,66,Bojonegoro,-7.1507,111.8815
2018-02-11,29.5,23.5,25.4,23.1,23.1,2.86,14.9,14.32,96,70,Bojonegoro,-7.1507,111.8815
2018-02-12,29.0,23.1,25.7,7.6,7.6,3.3,18.7,15.98,95,74,Bojonegoro,-7.1507,111.8815
2018-02-13,29.4,24.2,26.0,6.7,6.7,3.32,17.7,15.6,91,75,Bojonegoro,-7.1507,111.8815
2018-02-14,28.6,24.3,26.1,3.0,3.0,3.15,16.3,14.59,92,73,Bojonegoro,-7.1507,111.8815
2018-02-15,29.0,23.8,25.3,16.0,16.0,2.77,18.8,13.76,96,76,Bojonegoro,-7.1507,111.8815
2018-02-16,29.3,23.7,25.6,9.5,9.5,2.34,16.7,10.8,95,75,Bojonegoro,-7.1507,111.8815
2018-02-17,30.5,23.5,26.5,6.8,6.8,4.29,15.3,21.36,96,64,Bojonegoro,-7.1507,111.8815
2018-02-18,30.4,24.1,26.5,4.8,4.8,4.0,12.5,19.67,95,68,Bojonegoro,-7.1507,111.8815
2018-02-19,30.5,23.9,26.2,13.8,13.8,3.89,12.5,19.3,95,67,Bojonegoro,-7.1507,111.8815
2018-02-20,30.1,23.1,25.9,3.6,3.6,3.54,13.7,17.79,98,69,Bojonegoro,-7.1507,111.8815
2018-02-21,31.1,23.5,26.4,8.0,8.0,4.05,10.1,19.79,98,67,Bojonegoro,-7.1507,111.8815
2018-02-22,30.0,23.4,25.6,25.9,25.9,3.16,13.1,15.41,97,69,Bojonegoro,-7.1507,111.8815
2018-02-23,29.6,23.6,25.6,15.3,15.3,2.51,12.0,12.16,97,73,Bojonegoro,-7.1507,111.8815
2018-02-24,29.3,23.6,25.8,17.8,17.8,2.81,11.9,13.92,96,71,Bojonegoro,-7.1507,111.8815
2018-02-25,30.0,23.4,26.2,7.6,7.6,3.41,8.4,16.45,96,67,Bojonegoro,-7.1507,111.8815
2018-02-26,29.2,23.3,25.6,3.7,3.7,2.99,11.2,14.53,97,71,Bojonegoro,-7.1507,111.8815
2018-02-27,31.1,22.8,26.5,4.1,4.1,4.72,8.4,23.08,98,62,Bojonegoro,-7.1507,111.8815
2018-02-28,29.9,23.1,26.2,2.9,2.9,3.55,11.7,17.4,99,72,Bojonegoro,-7.1507,111.8815
2018-03-01,30.3,24.0,26.0,16.5,16.5,3.14,16.5,15.43,97,70,Bojonegoro,-7.1507,111.8815
2018-03-02,31.0,22.8,26.4,2.8,2.8,3.69,11.5,18.25,99,65,Bojonegoro,-7.1507,111.8815
2018-03-03,30.5,24.2,26.4,7.3,7.3,3.44,8.8,16.63,97,71,Bojonegoro,-7.1507,111.8815
2018-03-04,29.5,23.5,26.3,11.5,11.5,3.21,9.7,15.83,99,72,Bojonegoro,-7.1507,111.8815
2018-03-05,29.7,23.9,25.8,24.9,24.9,2.91,9.7,14.04,97,74,Bojonegoro,-7.1507,111.8815
2018-03-06,30.1,23.0,26.4,9.6,9.6,4.0,11.2,19.88,99,71,Bojonegoro,-7.1507,111.8815
2018-03-07,29.7,23.6,25.8,24.6,24.6,3.3,9.7,16.23,96,69,Bojonegoro,-7.1507,111.8815
2018-03-08,30.0,23.9,26.2,11.5,11.5,3.35,11.8,16.76,97,71,Bojonegoro,-7.1507,111.8815
2018-03-09,30.8,23.7,26.5,4.7,4.7,4.13,9.7,20.49,98,66,Bojonegoro,-7.1507,111.8815
2018-03-10,31.5,23.4,26.4,6.5,6.5,3.96,9.7,19.46,99,69,Bojonegoro,-7.1507,111.8815
2018-03-11,30.7,24.0,26.0,17.5,17.5,3.56,13.4,17.32,97,67,Bojonegoro,-7.1507,111.8815
2018-03-12,29.3,23.7,26.0,50.7,50.7,2.8,6.9,13.22,97,69,Bojonegoro,-7.1507,111.8815
2018-03-13,28.5,23.8,25.3,9.3,9.3,1.83,9.0,8.34,96,73,Bojonegoro,-7.1507,111.8815
2018-03-14,31.1,23.8,26.8,0.8,0.8,4.48,10.2,21.75,97,59,Bojonegoro,-7.1507,111.8815
2018-03-15,31.4,22.7,26.8,1.0,1.0,4.56,8.4,22.16,100,62,Bojonegoro,-7.1507,111.8815
2018-03-16,31.0,24.0,26.3,6.6,6.6,3.88,8.2,18.99,97,66,Bojonegoro,-7.1507,111.8815
2018-03-17,28.7,23.2,25.5,25.4,25.4,2.95,7.2,14.44,98,74,Bojonegoro,-7.1507,111.8815
2018-03-18,30.4,22.8,25.7,19.9,19.9,3.3,8.4,16.31,99,64,Bojonegoro,-7.1507,111.8815
2018-03-19,31.4,23.4,26.4,8.2,8.2,4.38,10.5,21.81,100,64,Bojonegoro,-7.1507,111.8815
2018-03-20,32.0,23.0,27.5,1.3,1.3,5.2,11.1,25.16,100,56,Bojonegoro,-7.1507,111.8815
2018-03-21,30.5,24.0,26.8,3.2,3.2,4.12,19.6,20.6,94,64,Bojonegoro,-7.1507,111.8815
2018-03-22,30.2,23.8,25.7,15.2,15.2,3.11,20.1,15.32,96,69,Bojonegoro,-7.1507,111.8815
2018-03-23,32.0,23.4,26.9,1.9,1.9,4.84,12.3,23.87,99,63,Bojonegoro,-7.1507,111.8815
2018-03-24,30.7,24.5,26.8,0.6,0.6,3.91,15.5,19.5,94,68,Bojonegoro,-7.1507,111.8815
2018-03-25,30.5,23.6,26.5,8.2,8.2,4.33,12.4,21.63,97,68,Bojonegoro,-7.1507,111.8815
2018-03-26,30.9,23.2,26.4,4.4,4.4,4.26,10.4,20.99,98,69,Bojonegoro,-7.1507,111.8815
2018-03-27,30.4,24.2,26.5,15.4,15.4,3.7,6.4,18.2,97,68,Bojonegoro,-7.1507,111.8815
2018-03-28,31.1,23.8,26.9,2.1,2.1,4.4,10.7,21.61,97,66,Bojonegoro,-7.1507,111.8815
2018-03-29,31.4,23.8,27.4,1.5,1.5,4.81,10.6,23.31,95,63,Bojonegoro,-7.1507,111.8815
2018-03-30,31.1,23.6,26.9,1.5,1.5,4.65,12.0,22.64,97,61,Bojonegoro,-7.1507,111.8815
2018-03-31,31.1,24.3,26.7,7.9,7.9,4.1,16.6,20.65,96,69,Bojonegoro,-7.1507,111.8815
2018-04-01,31.1,23.5,26.8,2.7,2.7,4.08,10.9,20.2,96,69,Bojonegoro,-7.1507,111.8815
2018-04-02,30.6,23.9,26.5,15.3,15.3,3.66,12.3,18.27,96,71,Bojonegoro,-7.1507,111.8815
2018-04-03,31.4,23.9,26.6,7.1,7.1,4.35,9.3,21.52,96,68,Bojonegoro,-7.1507,111.8815
2018-04-04,31.0,24.4,27.5,0.8,0.8,4.73,8.7,22.73,94,62,Bojonegoro,-7.1507,111.8815
2018-04-05,31.4,24.0,27.2,2.2,2.2,4.49,10.4,21.82,96,62,Bojonegoro,-7.1507,111.8815
2018-04-06,31.0,23.8,26.7,3.1,3.1,4.11,13.0,20.33,99,69,Bojonegoro,-7.1507,111.8815
2018-04-07,30.0,23.6,26.1,8.0,8.0,3.74,13.8,18.84,96,72,Bojonegoro,-7.1507,111.8815
2018-04-08,30.0,23.2,25.9,6.5,6.5,3.38,16.6,17.18,98,74,Bojonegoro,-7.1507,111.8815
2018-04-09,30.7,23.5,26.6,1.6,1.6,3.76,18.3,18.75,100,65,Bojonegoro,-7.1507,111.8815
2018-04-10,31.2,23.1,27.0,0.0,0.0,4.54,9.1,21.73,98,60,Bojonegoro,-7.1507,111.8815
2018-04-11,31.4,23.7,27.4,0.2,0.2,4.6,12.3,21.89,94,61,Bojonegoro,-7.1507,111.8815
2018-04-12,30.2,24.0,27.0,2.6,2.6,3.59,11.9,17.49,97,69,Bojonegoro,-7.1507,111.8815
2018-04-13,32.1,24.1,27.7,4.8,4.8,4.49,7.9,21.69,96,68,Bojonegoro,-7.1507,111.8815
2018-04-14,30.5,24.8,27.3,5.8,5.8,4.02,12.4,19.89,96,71,Bojonegoro,-7.1507,111.8815
2018-04-15,32.0,24.4,28.1,0.2,0.2,4.72,11.1,21.83,96,59,Bojonegoro,-7.1507,111.8815
2018-04-16,31.7,25.3,27.8,1.6,1.6,4.05,6.9,19.51,93,65,Bojonegoro,-7.1507,111.8815
2018-04-17,30.3,24.9,26.9,6.5,6.5,3.78,9.4,18.58,94,70,Bojonegoro,-7.1507,111.8815
2018-04-18,30.8,24.5,26.8,15.3,15.3,3.86,11.9,19.16,96,75,Bojonegoro,-7.1507,111.8815
2018-04-19,31.8,24.2,27.1,1.4,1.4,4.28,10.6,21.18,96,59,Bojonegoro,-7.1507,111.8815
2018-04-20,31.1,24.5,27.0,2.2,2.2,4.11,9.6,20.25,98,63,Bojonegoro,-7.1507,111.8815
2018-04-21,31.1,24.5,27.0,7.8,7.8,3.51,10.0,17.3,96,70,Bojonegoro,-7.1507,111.8815
2018-04-22,30.3,24.6,26.6,12.6,12.6,3.14,13.0,15.65,98,76,Bojonegoro,-7.1507,111.8815
2018-04-23,30.2,24.4,26.4,8.5,8.5,3.12,14.3,15.6,96,76,Bojonegoro,-7.1507,111.8815
2018-04-24,30.8,23.9,26.9,4.4,4.4,3.75,8.2,18.3,97,67,Bojonegoro,-7.1507,111.8815
2018-04-25,30.9,24.4,26.9,1.3,1.3,3.87,8.2,18.78,95,65,Bojonegoro,-7.1507,111.8815
2018-04-26,30.4,24.2,27.0,0.5,0.5,3.92,16.0,18.86,95,66,Bojonegoro,-7.1507,111.8815
2018-04-27,31.1,23.3,27.1,0.2,0.2,4.25,13.0,20.27,99,62,Bojonegoro,-7.1507,111.8815
2018-04-28,31.4,23.9,27.2,0.5,0.5,4.44,8.6,21.38,99,60,Bojonegoro,-7.1507,111.8815
2018-04-29,31.6,23.2,27.3,0.0,0.0,4.93,10.5,23.44,89,51,Bojonegoro,-7.1507,111.8815
2018-04-30,31.8,23.5,27.0,0.0,0.0,5.06,9.7,23.55,93,45,Bojonegoro,-7.1507,111.8815
2018-05-01,31.5,23.0,27.0,0.0,0.0,4.7,11.2,21.74,93,51,Bojonegoro,-7.1507,111.8815
2018-05-02,32.0,23.1,27.1,0.0,0.0,4.75,7.4,22.69,89,46,Bojonegoro,-7.1507,111.8815
