tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,27.5,22.7,24.5,1.0,1.0,3.39,13.0,16.78,98,73,Bondowoso,-7.9107,113.8226
2018-01-02,28.3,22.2,24.5,13.1,13.1,3.47,13.4,18.02,99,78,Bondowoso,-7.9107,113.8226
2018-01-03,28.8,22.2,24.5,8.2,8.2,3.2,8.8,16.09,95,70,Bondowoso,-7.9107,113.8226
2018-01-04,28.0,23.2,24.9,2.6,2.6,3.51,9.9,18.08,96,75,Bondowoso,-7.9107,113.8226
2018-01-05,28.4,21.9,24.5,5.8,5.8,3.62,8.7,18.37,97,75,Bondowoso,-7.9107,113.8226
2018-01-06,28.3,22.3,24.3,20.2,20.2,3.38,16.4,17.69,96,77,Bondowoso,-7.9107,113.8226
2018-01-07,26.5,22.5,23.7,15.0,15.0,1.99,11.3,10.07,98,81,Bondowoso,-7.9107,113.8226
2018-01-08,29.3,22.6,24.8,3.7,3.7,3.57,11.9,18.41,98,71,Bondowoso,-7.9107,113.8226
2018-01-09,28.1,22.3,24.8,2.3,2.3,3.24,9.8,16.42,97,78,Bondowoso,-7.9107,113.8226
2018-01-10,27.8,23.1,24.5,6.1,6.1,2.92,19.1,15.27,97,75,Bondowoso,-7.9107,113.8226
2018-01-11,26.2,21.6,23.7,8.6,8.6,2.09,19.5,10.86,94,82,Bondowoso,-7.9107,113.8226
2018-01-12,26.0,21.4,23.9,2.9,2.9,2.35,15.3,11.48,93,72,Bondowoso,-7.9107,113.8226
2018-01-13,27.3,21.7,24.3,7.1,7.1,2.13,10.5,10.1,97,79,Bondowoso,-7.9107,113.8226
2018-01-14,27.3,22.3,24.4,9.0,9.0,2.44,7.8,11.74,96,72,Bondowoso,-7.9107,113.8226
2018-01-15,28.3,22.5,24.3,21.7,21.7,2.65,7.6,13.19,96,74,Bondowoso,-7.9107,113.8226
2018-01-16,27.9,22.5,24.5,3.3,3.3,3.05,13.8,14.83,96,70,Bondowoso,-7.9107,113.8226
2018-01-17,27.7,22.6,24.3,31.6,31.6,2.93,12.4,14.66,96,74,Bondowoso,-7.9107,113.8226
2018-01-18,28.2,22.4,24.4,14.1,14.1,3.05,7.9,15.13,97,70,Bondowoso,-7.9107,113.8226
2018-01-19,26.0,21.8,23.7,8.1,8.1,2.35,21.0,12.42,96,81,Bondowoso,-7.9107,113.8226
2018-01-20,26.9,22.6,24.0,4.6,4.6,2.77,17.3,13.99,96,75,Bondowoso,-7.9107,113.8226
2018-01-21,24.8,22.1,23.1,35.6,35.6,1.42,12.8,7.28,97,86,Bondowoso,-7.9107,113.8226
2018-01-22,27.0,22.3,24.3,4.0,4.0,2.61,15.9,13.16,95,78,Bondowoso,-7.9107,113.8226
2018-01-23,27.2,22.6,24.0,16.1,16.1,2.44,11.0,12.46,98,78,Bondowoso,-7.9107,113.8226
2018-01-24,26.2,22.4,23.9,21.5,21.5,2.04,12.1,10.32,99,80,Bondowoso,-7.9107,113.8226
2018-01-25,27.7,22.1,23.9,23.1,23.1,2.08,13.0,10.11,96,75,Bondowoso,-7.9107,113.8226
2018-01-26,26.9,21.7,24.1,27.6,27.6,2.8,13.1,14.14,99,77,Bondowoso,-7.9107,113.8226
2018-01-27,27.6,22.8,24.5,12.2,12.2,2.62,11.4,13.11,97,77,Bondowoso,-7.9107,113.8226
2018-01-28,27.9,23.1,25.0,3.4,3.4,2.95,17.3,14.61,95,72,Bondowoso,-7.9107,113.8226
2018-01-29,27.1,23.3,24.4,9.0,9.0,2.34,14.9,11.54,95,78,Bondowoso,-7.9107,113.8226
2018-01-30,28.0,21.3,24.3,6.3,6.3,3.92,10.8,20.17,95,72,Bondowoso,-7.9107,113.8226
2018-01-31,27.8,22.4,24.5,3.2,3.2,3.24,15.9,16.65,98,75,Bondowoso,-7.9107,113.8226
2018-02-01,26.3,22.4,23.7,9.9,9.9,1.84,16.6,9.22,98,82,Bondowoso,-7.9107,113.8226
2018-02-02,25.7,22.2,23.7,18.9,18.9,1.86,11.6,9.4,96,87,Bondowoso,-7.9107,113.8226
2018-02-03,27.7,22.2,24.2,20.6,20.6,2.87,12.1,14.75,98,77,Bondowoso,-7.9107,113.8226
2018-02-04,28.6,22.6,24.9,7.7,7.7,4.18,13.9,20.38,90,66,Bondowoso,-7.9107,113.8226
2018-02-05,27.1,22.8,24.6,1.5,1.5,3.17,19.6,15.12,92,76,Bondowoso,-7.9107,113.8226
2018-02-06,26.6,22.4,24.0,10.3,10.3,3.25,18.7,16.96,97,76,Bondowoso,-7.9107,113.8226
2018-02-07,26.8,22.0,23.7,89.1,89.1,3.13,10.8,16.02,97,78,Bondowoso,-7.9107,113.8226
2018-02-08,24.7,21.9,23.1,32.7,32.7,1.7,12.6,8.57,100,85,Bondowoso,-7.9107,113.8226
2018-02-09,26.8,22.4,23.9,31.7,31.7,2.54,15.0,12.9,94,73,Bondowoso,-7.9107,113.8226
2018-02-10,27.3,22.5,24.5,6.3,6.3,3.49,13.7,17.41,97,75,Bondowoso,-7.9107,113.8226
2018-02-11,26.3,21.9,23.8,7.5,7.5,2.81,11.5,15.24,98,89,Bondowoso,-7.9107,113.8226
2018-02-12,26.7,22.3,24.1,3.7,3.7,2.51,10.1,12.45,98,78,Bondowoso,-7.9107,113.8226
2018-02-13,26.9,22.1,24.2,17.2,17.2,3.17,12.5,16.5,96,81,Bondowoso,-7.9107,113.8226
2018-02-14,26.5,22.3,24.2,20.9,20.9,2.56,17.0,12.73,97,75,Bondowoso,-7.9107,113.8226
2018-02-15,25.6,22.6,23.6,10.0,10.0,2.0,16.6,10.25,98,82,Bondowoso,-7.9107,113.8226
2018-02-16,27.4,22.0,23.9,36.5,36.5,2.68,10.7,13.51,98,77,Bondowoso,-7.9107,113.8226
2018-02-17,27.7,22.6,24.4,36.4,36.4,3.37,10.5,17.44,97,76,Bondowoso,-7.9107,113.8226
2018-02-18,27.9,22.8,24.7,9.8,9.8,3.4,10.7,16.73,96,73,Bondowoso,-7.9107,113.8226
2018-02-19,28.4,22.3,24.7,9.8,9.8,3.89,10.1,19.78,97,74,Bondowoso,-7.9107,113.8226
2018-02-20,28.1,22.1,24.3,11.8,11.8,3.74,14.7,19.16,96,75,Bondowoso,-7.9107,113.8226
2018-02-21,28.3,22.2,24.7,8.0,8.0,3.34,8.5,16.76,97,74,Bondowoso,-7.9107,113.8226
2018-02-22,28.7,22.1,24.5,6.5,6.5,3.49,8.4,17.66,98,75,Bondowoso,-7.9107,113.8226
2018-02-23,26.7,22.4,24.2,11.8,11.8,2.45,8.0,12.67,98,86,Bondowoso,-7.9107,113.8226
2018-02-24,26.4,22.2,23.8,20.0,20.0,2.51,7.4,12.6,98,82,Bondowoso,-7.9107,113.8226
2018-02-25,27.4,22.1,24.2,3.0,3.0,3.44,18.8,18.36,95,76,Bondowoso,-7.9107,113.8226
2018-02-26,26.9,22.2,23.9,11.8,11.8,2.75,12.2,14.0,95,78,Bondowoso,-7.9107,113.8226
2018-02-27,28.5,20.7,24.6,0.1,0.1,4.15,13.2,20.7,92,66,Bondowoso,-7.9107,113.8226
2018-02-28,28.1,22.1,25.0,5.1,5.1,4.22,10.0,21.38,92,70,Bondowoso,-7.9107,113.8226
2018-03-01,28.3,22.4,24.2,12.6,12.6,2.96,12.5,15.44,96,77,Bondowoso,-7.9107,113.8226
2018-03-02,28.3,21.9,24.4,1.3,1.3,3.87,12.5,19.46,96,69,Bondowoso,-7.9107,113.8226
2018-03-03,27.8,22.5,24.9,0.9,0.9,3.53,12.0,18.37,97,75,Bondowoso,-7.9107,113.8226
2018-03-04,28.3,22.3,24.7,6.7,6.7,3.38,7.2,16.93,98,78,Bondowoso,-7.9107,113.8226
2018-03-05,27.6,22.4,24.7,7.8,7.8,3.37,10.8,17.7,97,80,Bondowoso,-7.9107,113.8226
2018-03-06,28.7,22.1,25.0,6.7,6.7,3.76,9.4,19.43,95,78,Bondowoso,-7.9107,113.8226
2018-03-07,27.7,22.8,24.5,3.0,3.0,3.07,10.9,15.67,96,83,Bondowoso,-7.9107,113.8226
2018-03-08,28.2,21.7,24.1,9.5,9.5,3.18,13.4,16.41,96,72,Bondowoso,-7.9107,113.8226
2018-03-09,27.9,21.9,24.8,2.9,2.9,4.17,16.1,22.04,96,73,Bondowoso,-7.9107,113.8226
2018-03-10,28.9,22.2,25.2,3.4,3.4,4.39,9.3,22.31,97,75,Bondowoso,-7.9107,113.8226
2018-03-11,28.1,22.6,25.0,2.9,2.9,3.9,7.9,19.95,96,70,Bondowoso,-7.9107,113.8226
2018-03-12,28.1,22.0,24.5,7.9,7.9,3.77,8.2,19.18,97,75,Bondowoso,-7.9107,113.8226
2018-03-13,28.4,22.2,24.0,20.1,20.1,3.23,13.6,16.85,97,75,Bondowoso,-7.9107,113.8226
2018-03-14,27.4,21.9,24.3,0.9,0.9,3.58,18.9,17.76,94,71,Bondowoso,-7.9107,113.8226
2018-03-15,28.6,21.7,24.6,1.3,1.3,4.23,20.2,22.35,92,70,Bondowoso,-7.9107,113.8226
2018-03-16,27.4,22.0,23.9,9.4,9.4,3.0,7.9,15.22,100,74,Bondowoso,-7.9107,113.8226
2018-03-17,27.2,21.6,23.7,16.8,16.8,2.89,14.3,15.3,99,80,Bondowoso,-7.9107,113.8226
2018-03-18,27.6,21.9,24.0,5.3,5.3,3.64,11.2,19.22,98,71,Bondowoso,-7.9107,113.8226
2018-03-19,28.9,21.6,24.8,1.5,1.5,4.38,14.2,22.54,93,67,Bondowoso,-7.9107,113.8226
2018-03-20,29.4,20.1,24.8,0.0,0.0,5.08,14.9,26.03,92,61,Bondowoso,-7.9107,113.8226
2018-03-21,28.5,22.4,24.6,0.7,0.7,3.88,17.7,20.59,94,73,Bondowoso,-7.9107,113.8226
2018-03-22,26.3,22.2,23.8,4.6,4.6,2.29,10.7,11.62,98,80,Bondowoso,-7.9107,113.8226
2018-03-23,28.2,22.3,25.2,1.5,1.5,4.2,15.6,20.69,86,70,Bondowoso,-7.9107,113.8226
2018-03-24,28.3,21.9,24.7,1.9,1.9,4.01,19.4,20.93,95,72,Bondowoso,-7.9107,113.8226
2018-03-25,27.4,22.2,24.6,3.1,3.1,3.73,21.5,20.04,97,76,Bondowoso,-7.9107,113.8226
2018-03-26,28.6,21.9,25.0,1.5,1.5,4.15,13.0,20.96,96,65,Bondowoso,-7.9107,113.8226
2018-03-27,28.5,22.9,25.0,2.6,2.6,3.72,18.9,18.96,92,69,Bondowoso,-7.9107,113.8226
2018-03-28,28.8,22.3,25.2,3.1,3.1,4.23,19.1,21.66,93,69,Bondowoso,-7.9107,113.8226
2018-03-29,29.2,22.2,25.4,0.0,0.0,4.5,20.2,22.76,96,67,Bondowoso,-7.9107,113.8226
2018-03-30,28.7,22.8,25.2,5.2,5.2,4.01,11.3,20.37,93,70,Bondowoso,-7.9107,113.8226
2018-03-31,28.1,22.7,24.9,29.5,29.5,3.58,13.2,17.96,96,71,Bondowoso,-7.9107,113.8226
2018-04-01,28.3,23.4,25.3,1.3,1.3,3.86,7.3,19.75,94,73,Bondowoso,-7.9107,113.8226
2018-04-02,28.7,22.5,25.0,16.1,16.1,3.56,10.0,18.14,97,72,Bondowoso,-7.9107,113.8226
2018-04-03,28.3,21.2,24.6,0.0,0.0,4.14,20.0,22.07,95,74,Bondowoso,-7.9107,113.8226
2018-04-04,28.8,22.4,25.0,0.9,0.9,4.06,12.2,20.45,88,65,Bondowoso,-7.9107,113.8226
2018-04-05,28.5,22.6,25.2,1.0,1.0,4.02,8.5,20.33,89,61,Bondowoso,-7.9107,113.8226
2018-04-06,28.7,22.8,25.3,1.1,1.1,4.07,9.5,20.44,90,65,Bondowoso,-7.9107,113.8226
2018-04-07,27.4,23.0,24.9,1.2,1.2,3.68,12.5,19.29,92,73,Bondowoso,-7.9107,113.8226
2018-04-08,28.1,22.5,25.0,0.3,0.3,3.67,10.8,19.19,89,75,Bondowoso,-7.9107,113.8226
2018-04-09,28.4,22.8,25.3,0.7,0.7,3.87,10.9,19.21,87,69,Bondowoso,-7.9107,113.8226
2018-04-10,28.8,22.4,25.4,0.2,0.2,4.2,7.0,20.68,90,61,Bondowoso,-7.9107,113.8226
2018-04-11,28.7,23.1,25.4,0.5,0.5,3.98,8.9,19.93,92,64,Bondowoso,-7.9107,113.8226
2018-04-12,29.3,23.8,26.0,2.2,2.2,4.03,8.8,20.26,91,68,Bondowoso,-7.9107,113.8226
2018-04-13,29.3,23.3,25.9,0.1,0.1,3.77,14.5,19.07,92,71,Bondowoso,-7.9107,113.8226
2018-04-14,30.8,22.5,26.3,0.0,0.0,4.49,9.4,21.95,90,58,Bondowoso,-7.9107,113.8226
2018-04-15,30.0,22.4,26.0,0.2,0.2,4.27,14.6,20.65,92,63,Bondowoso,-7.9107,113.8226
2018-04-16,30.4,22.3,25.9,0.7,0.7,4.11,9.7,19.83,90,54,Bondowoso,-7.9107,113.8226
2018-04-17,29.1,23.4,25.5,2.8,2.8,3.18,7.6,15.68,91,65,Bondowoso,-7.9107,113.8226
2018-04-18,28.6,23.2,25.3,3.1,3.1,3.3,6.9,16.41,96,70,Bondowoso,-7.9107,113.8226
2018-04-19,28.9,23.2,25.4,0.1,0.1,3.61,8.9,17.67,89,61,Bondowoso,-7.9107,113.8226
2018-04-20,29.6,23.7,25.9,0.9,0.9,4.06,8.7,20.18,96,61,Bondowoso,-7.9107,113.8226
2018-04-21,29.0,22.7,25.4,2.4,2.4,3.68,10.9,18.57,96,66,Bondowoso,-7.9107,113.8226
2018-04-22,28.7,23.3,25.3,1.4,1.4,3.23,4.9,16.16,94,73,Bondowoso,-7.9107,113.8226
2018-04-23,28.4,23.3,25.6,0.3,0.3,3.69,7.3,18.3,90,70,Bondowoso,-7.9107,113.8226
2018-04-24,29.0,22.7,25.8,0.0,0.0,3.62,8.2,17.48,87,63,Bondowoso,-7.9107,113.8226
2018-04-25,29.9,22.1,25.7,0.7,0.7,3.67,9.4,17.56,90,57,Bondowoso,-7.9107,113.8226
2018-04-26,30.0,22.2,25.6,0.0,0.0,4.26,14.0,20.07,92,55,Bondowoso,-7.9107,113.8226
2018-04-27,29.7,22.2,25.9,1.0,1.0,3.91,8.7,18.73,85,59,Bondowoso,-7.9107,113.8226
2018-04-28,30.7,21.3,25.8,0.5,0.5,4.74,17.3,21.03,85,54,Bondowoso,-7.9107,113.8226
2018-04-29,32.2,21.9,26.2,0.0,0.0,5.38,14.5,23.64,81,39,Bondowoso,-7.9107,113.8226
2018-04-30,31.0,20.9,25.9,0.0,0.0,4.93,10.1,21.93,75,32,Bondowoso,-7.9107,113.8226
2018-05-01,31.0,21.6,25.9,0.0,0.0,5.34,14.5,22.92,76,38,Bondowoso,-7.9107,113.8226
2018-05-02,31.7,21.3,25.7,0.0,0.0,5.06,10.5,23.32,83,36,Bondowoso,-7.9107,113.8226
2018-05-03,31.7,20.2,25.7,0.1,0.1,4.95,9.8,22.72,83,42,Bondowoso,-7.9107,113.8226
2018-05-04,32.4,21.7,26.3,0.0,0.0,5.26,11.7,23.21,74,30,Bondowoso,-7.9107,113.8226
