tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.7,25.2,26.6,2.9,2.9,3.1,9.0,14.99,90,75,Gresik,-7.1569,112.6552
2018-01-02,29.1,25.0,26.5,14.1,14.1,3.15,11.1,15.43,95,72,Gresik,-7.1569,112.6552
2018-01-03,30.0,25.1,27.1,7.4,7.4,3.77,9.7,18.85,97,71,Gresik,-7.1569,112.6552
2018-01-04,29.2,24.8,26.4,15.3,15.3,2.92,13.0,14.43,94,75,Gresik,-7.1569,112.6552
2018-01-05,29.8,24.8,26.8,3.6,3.6,3.99,11.1,19.38,97,67,Gresik,-7.1569,112.6552
2018-01-06,30.3,24.8,26.8,9.5,9.5,3.61,9.9,17.83,95,73,Gresik,-7.1569,112.6552
2018-01-07,27.2,24.5,25.8,21.1,21.1,1.91,12.6,9.37,98,83,Gresik,-7.1569,112.6552
2018-01-08,29.9,24.2,26.9,1.9,1.9,3.67,8.4,17.78,95,68,Gresik,-7.1569,112.6552
2018-01-09,29.7,25.1,27.1,3.7,3.7,4.03,8.6,19.76,95,73,Gresik,-7.1569,112.6552
2018-01-10,30.8,25.4,27.0,7.8,7.8,4.19,15.3,20.48,92,64,Gresik,-7.1569,112.6552
2018-01-11,29.3,24.6,26.0,15.3,15.3,2.93,20.1,14.39,93,74,Gresik,-7.1569,112.6552
2018-01-12,29.2,24.1,26.6,0.9,0.9,3.61,16.9,17.06,89,72,Gresik,-7.1569,112.6552
2018-01-13,30.1,24.9,27.0,7.0,7.0,3.57,19.5,17.25,89,70,Gresik,-7.1569,112.6552
2018-01-14,29.5,24.6,26.6,6.9,6.9,3.13,18.9,14.7,95,71,Gresik,-7.1569,112.6552
2018-01-15,29.6,25.0,27.3,1.0,1.0,4.05,17.3,18.42,90,69,Gresik,-7.1569,112.6552
