tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.1,23.6,25.5,2.8,2.8,3.2,11.3,16.37,95,78,Jember,-8.1724,113.702
2018-01-02,28.8,23.1,25.8,7.5,7.5,3.31,8.5,16.46,97,73,Jember,-8.1724,113.702
2018-01-03,29.7,23.2,26.2,14.8,14.8,3.33,9.5,16.39,97,76,Jember,-8.1724,113.702
2018-01-04,30.1,24.0,26.0,33.8,33.8,3.38,6.6,16.68,98,71,Jember,-8.1724,113.702
2018-01-05,29.0,23.8,25.6,11.6,11.6,3.13,11.3,15.81,99,79,Jember,-8.1724,113.702
2018-01-06,28.1,24.2,25.4,13.5,13.5,2.66,16.0,13.43,98,80,Jember,-8.1724,113.702
2018-01-07,28.4,23.9,25.4,9.3,9.3,2.2,10.7,10.25,94,72,Jember,-8.1724,113.702
2018-01-08,29.5,24.0,26.5,2.0,2.0,3.74,7.8,18.32,92,71,Jember,-8.1724,113.702
2018-01-09,29.2,24.2,26.9,1.5,1.5,3.71,8.7,18.09,93,69,Jember,-8.1724,113.702
2018-01-10,29.1,23.9,25.7,29.3,29.3,2.85,22.8,14.67,98,79,Jember,-8.1724,113.702
2018-01-11,26.9,23.8,25.0,23.7,23.7,1.56,15.3,7.58,95,86,Jember,-8.1724,113.702
2018-01-12,29.0,23.3,25.9,0.8,0.8,2.51,14.3,11.33,88,72,Jember,-8.1724,113.702
2018-01-13,28.4,23.5,25.8,3.1,3.1,1.75,8.3,7.0,89,72,Jember,-8.1724,113.702
2018-01-14,29.2,23.9,26.2,1.6,1.6,2.84,7.8,13.09,89,71,Jember,-8.1724,113.702
2018-01-15,28.5,24.1,25.8,5.8,5.8,2.55,8.7,11.92,92,71,Jember,-8.1724,113.702
2018-01-16,29.2,23.1,25.7,4.0,4.0,3.28,11.6,15.51,89,69,Jember,-8.1724,113.702
2018-01-17,29.6,23.7,25.9,3.6,3.6,3.19,8.7,15.0,92,67,Jember,-8.1724,113.702
2018-01-18,30.6,23.8,26.0,8.1,8.1,3.58,14.2,17.48,92,68,Jember,-8.1724,113.702
2018-01-19,27.9,23.8,25.3,25.4,25.4,2.3,13.0,11.58,95,81,Jember,-8.1724,113.702
2018-01-20,26.6,24.0,25.1,15.5,15.5,1.52,11.8,6.97,96,83,Jember,-8.1724,113.702
2018-01-21,26.1,23.7,24.7,14.4,14.4,1.19,10.0,5.43,97,83,Jember,-8.1724,113.702
2018-01-22,28.0,24.0,25.4,2.0,2.0,3.05,8.8,14.81,92,73,Jember,-8.1724,113.702
