tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,30.0,23.4,26.2,3.0,3.0,3.41,12.8,16.31,95,70,Jombang,-7.55,112.2333
2018-01-02,30.5,23.9,26.2,20.6,20.6,3.39,6.0,16.67,99,73,Jombang,-7.55,112.2333
2018-01-03,31.8,23.1,26.4,7.3,7.3,3.79,11.6,18.59,100,64,Jombang,-7.55,112.2333
2018-01-04,30.5,23.7,25.7,38.0,38.0,2.87,6.0,14.01,99,70,Jombang,-7.55,112.2333
2018-01-05,30.9,23.1,26.1,15.9,15.9,3.99,11.5,19.79,98,66,Jombang,-7.55,112.2333
2018-01-06,30.5,23.5,26.3,5.4,5.4,3.82,11.9,18.91,96,69,Jombang,-7.55,112.2333
2018-01-07,27.9,23.3,24.7,20.1,20.1,2.04,9.5,10.26,100,79,Jombang,-7.55,112.2333
2018-01-08,30.9,23.0,26.2,1.1,1.1,3.75,7.1,18.07,99,62,Jombang,-7.55,112.2333
2018-01-09,31.4,23.9,26.2,15.9,15.9,3.95,7.2,19.44,99,68,Jombang,-7.55,112.2333
2018-01-10,31.2,23.3,25.9,9.7,9.7,3.79,12.7,18.65,99,69,Jombang,-7.55,112.2333
2018-01-11,29.0,22.2,24.6,18.8,18.8,2.61,13.2,12.93,99,76,Jombang,-7.55,112.2333
2018-01-12,30.9,22.0,25.6,2.8,2.8,3.01,8.4,14.34,98,64,Jombang,-7.55,112.2333
2018-01-13,29.1,23.1,25.4,11.4,11.4,2.17,9.2,10.2,99,74,Jombang,-7.55,112.2333
2018-01-14,30.5,22.3,25.8,3.5,3.5,3.72,7.2,18.08,99,64,Jombang,-7.55,112.2333
2018-01-15,30.4,23.0,26.2,1.6,1.6,3.48,7.7,16.56,93,72,Jombang,-7.55,112.2333
2018-01-16,28.9,23.1,25.3,4.4,4.4,2.57,8.7,12.45,96,71,Jombang,-7.55,112.2333
2018-01-17,31.0,22.8,25.7,20.5,20.5,3.82,8.2,18.61,99,64,Jombang,-7.55,112.2333
2018-01-18,29.6,23.0,25.2,25.7,25.7,2.44,9.2,11.92,100,74,Jombang,-7.55,112.2333
2018-01-19,30.1,22.9,25.0,17.0,17.0,3.02,11.3,15.16,99,72,Jombang,-7.55,112.2333
2018-01-20,29.1,23.0,25.0,25.8,25.8,2.76,10.0,13.64,99,73,Jombang,-7.55,112.2333
2018-01-21,28.7,22.6,24.8,11.8,11.8,2.23,11.3,11.1,99,74,Jombang,-7.55,112.2333
2018-01-22,30.4,23.0,25.1,21.8,21.8,2.83,12.2,14.09,99,67,Jombang,-7.55,112.2333
2018-01-23,30.0,23.2,25.3,6.9,6.9,2.92,7.1,14.29,99,71,Jombang,-7.55,112.2333
2018-01-24,29.8,22.8,25.6,18.7,18.7,3.24,8.6,16.25,98,74,Jombang,-7.55,112.2333
2018-01-25,29.0,23.8,25.4,17.0,17.0,2.65,9.0,13.14,98,76,Jombang,-7.55,112.2333
2018-01-26,30.9,23.1,25.5,22.5,22.5,3.25,8.1,15.79,99,68,Jombang,-7.55,112.2333
2018-01-27,30.8,23.7,26.3,2.7,2.7,3.5,8.0,16.92,96,66,Jombang,-7.55,112.2333
2018-01-28,28.5,23.4,25.1,12.6,12.6,2.11,8.2,10.48,99,76,Jombang,-7.55,112.2333
2018-01-29,29.2,23.4,25.7,9.5,9.5,3.07,14.8,15.35,100,70,Jombang,-7.55,112.2333
2018-01-30,30.6,22.6,25.9,4.8,4.8,4.22,8.7,20.87,100,65,Jombang,-7.55,112.2333
2018-01-31,29.8,22.9,25.3,9.3,9.3,3.15,10.3,15.71,100,73,Jombang,-7.55,112.2333
2018-02-01,29.0,23.0,25.1,19.2,19.2,2.39,9.4,11.7,99,75,Jombang,-7.55,112.2333
2018-02-02,28.9,23.0,25.1,16.4,16.4,2.74,9.7,13.77,99,77,Jombang,-7.55,112.2333
2018-02-03,28.8,22.9,24.8,14.6,14.6,2.69,11.6,13.56,99,78,Jombang,-7.55,112.2333
2018-02-04,30.9,22.4,25.2,9.2,9.2,3.64,11.9,18.22,98,66,Jombang,-7.55,112.2333
2018-02-05,28.5,23.5,25.1,17.5,17.5,2.4,12.7,12.09,98,75,Jombang,-7.55,112.2333
2018-02-06,29.8,23.0,25.1,17.1,17.1,3.29,10.2,16.13,96,68,Jombang,-7.55,112.2333
2018-02-07,29.5,22.5,25.1,14.6,14.6,3.66,12.8,18.58,99,70,Jombang,-7.55,112.2333
2018-02-08,26.6,22.8,24.3,19.3,19.3,1.93,8.5,9.49,99,87,Jombang,-7.55,112.2333
2018-02-09,27.7,23.0,24.8,5.0,5.0,2.21,10.7,10.83,98,78,Jombang,-7.55,112.2333
2018-02-10,31.5,22.0,25.5,1.7,1.7,4.62,9.9,22.98,99,62,Jombang,-7.55,112.2333
2018-02-11,29.4,23.1,25.2,7.0,7.0,3.18,13.5,16.0,100,71,Jombang,-7.55,112.2333
2018-02-12,28.6,23.4,25.1,7.7,7.7,2.76,8.2,13.59,100,76,Jombang,-7.55,112.2333
2018-02-13,29.6,23.0,25.0,19.2,19.2,2.82,8.7,14.27,99,71,Jombang,-7.55,112.2333
2018-02-14,29.4,22.9,25.6,6.3,6.3,3.43,10.2,16.82,96,68,Jombang,-7.55,112.2333
2018-02-15,29.7,23.0,25.1,30.0,30.0,3.04,9.7,15.12,99,70,Jombang,-7.55,112.2333
2018-02-16,29.8,23.1,25.5,4.6,4.6,2.71,7.9,12.92,100,68,Jombang,-7.55,112.2333
2018-02-17,30.8,23.5,26.0,7.5,7.5,3.87,10.3,19.04,94,65,Jombang,-7.55,112.2333
2018-02-18,31.5,23.2,26.3,1.5,1.5,4.01,11.5,19.59,97,60,Jombang,-7.55,112.2333
2018-02-19,32.1,23.0,26.0,13.0,13.0,4.1,8.3,20.27,98,62,Jombang,-7.55,112.2333
2018-02-20,32.0,23.2,25.9,22.9,22.9,3.88,13.2,19.51,98,66,Jombang,-7.55,112.2333
2018-02-21,31.7,22.9,26.0,8.0,8.0,4.38,6.1,21.32,100,64,Jombang,-7.55,112.2333
2018-02-22,30.3,22.9,24.9,25.1,25.1,3.06,7.3,15.01,100,70,Jombang,-7.55,112.2333
2018-02-23,30.2,22.6,24.9,22.3,22.3,3.12,10.5,15.65,100,74,Jombang,-7.55,112.2333
2018-02-24,29.8,23.0,24.9,22.7,22.7,2.91,11.4,14.34,100,73,Jombang,-7.55,112.2333
2018-02-25,30.9,23.0,26.0,1.5,1.5,4.22,11.5,20.89,99,65,Jombang,-7.55,112.2333
2018-02-26,30.0,23.1,25.2,27.7,27.7,3.02,8.5,15.11,99,72,Jombang,-7.55,112.2333
2018-02-27,31.2,22.2,26.2,13.0,13.0,4.63,7.9,22.45,100,57,Jombang,-7.55,112.2333
2018-02-28,31.0,23.0,25.9,6.3,6.3,3.74,10.3,18.6,100,67,Jombang,-7.55,112.2333
2018-03-01,30.0,23.6,25.7,10.8,10.8,3.16,16.2,15.76,99,73,Jombang,-7.55,112.2333
2018-03-02,30.8,23.1,25.9,11.3,11.3,4.04,8.2,20.12,98,68,Jombang,-7.55,112.2333
2018-03-03,30.7,23.8,25.8,5.7,5.7,3.05,10.8,15.16,100,70,Jombang,-7.55,112.2333
2018-03-04,29.2,22.8,25.7,25.6,25.6,3.25,6.7,16.18,100,76,Jombang,-7.55,112.2333
2018-03-05,29.4,23.2,25.2,25.7,25.7,2.85,10.3,13.95,100,77,Jombang,-7.55,112.2333
2018-03-06,31.8,22.6,26.2,8.4,8.4,4.33,9.5,21.4,99,69,Jombang,-7.55,112.2333
2018-03-07,30.2,23.8,25.8,22.0,22.0,3.19,11.2,15.98,99,71,Jombang,-7.55,112.2333
