tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.4,23.2,25.5,1.6,1.6,3.23,17.7,15.91,96,67,Kediri,-7.8167,111.9667
2018-01-02,27.6,23.8,25.4,17.1,17.1,2.94,11.5,14.64,97,78,Kediri,-7.8167,111.9667
2018-01-03,29.1,23.1,25.8,4.3,4.3,3.48,11.7,17.5,95,77,Kediri,-7.8167,111.9667
2018-01-04,27.8,23.7,25.4,11.8,11.8,2.95,12.4,14.9,95,78,Kediri,-7.8167,111.9667
2018-01-05,27.8,23.4,25.4,18.6,18.6,3.47,12.3,18.08,97,78,Kediri,-7.8167,111.9667
2018-01-06,28.8,23.6,25.5,19.1,19.1,2.92,12.0,14.27,99,74,Kediri,-7.8167,111.9667
2018-01-07,26.6,23.6,24.8,17.5,17.5,2.26,11.5,11.31,100,82,Kediri,-7.8167,111.9667
2018-01-08,29.0,24.0,25.9,1.1,1.1,3.75,8.1,18.61,96,71,Kediri,-7.8167,111.9667
2018-01-09,29.7,23.3,26.0,6.9,6.9,3.92,11.5,19.43,95,66,Kediri,-7.8167,111.9667
2018-01-10,29.1,22.8,25.3,37.1,37.1,3.23,11.3,16.29,99,76,Kediri,-7.8167,111.9667
2018-01-11,26.8,23.0,24.5,24.8,24.8,1.81,9.4,8.79,99,81,Kediri,-7.8167,111.9667
2018-01-12,26.9,22.4,24.3,3.4,3.4,1.68,10.6,7.71,96,76,Kediri,-7.8167,111.9667
2018-01-13,28.0,23.1,25.4,45.6,45.6,2.41,8.9,11.47,97,76,Kediri,-7.8167,111.9667
2018-01-14,28.0,22.8,25.5,15.7,15.7,3.14,12.3,15.87,96,78,Kediri,-7.8167,111.9667
2018-01-15,28.3,22.4,25.3,9.2,9.2,3.47,12.2,17.69,100,75,Kediri,-7.8167,111.9667
2018-01-16,28.1,22.6,24.8,15.5,15.5,3.44,11.7,17.66,99,71,Kediri,-7.8167,111.9667
2018-01-17,27.8,22.1,24.9,35.0,35.0,2.96,8.4,15.07,100,77,Kediri,-7.8167,111.9667
2018-01-18,27.3,23.4,24.9,74.2,74.2,2.38,8.4,11.85,96,81,Kediri,-7.8167,111.9667
2018-01-19,27.7,23.0,25.0,19.8,19.8,2.41,9.7,11.96,99,83,Kediri,-7.8167,111.9667
2018-01-20,26.9,23.0,24.5,56.1,56.1,1.98,9.4,9.74,99,84,Kediri,-7.8167,111.9667
2018-01-21,26.6,22.8,24.4,15.3,15.3,2.03,11.7,10.05,98,81,Kediri,-7.8167,111.9667
2018-01-22,26.6,22.6,24.5,52.4,52.4,2.15,11.6,10.86,98,83,Kediri,-7.8167,111.9667
2018-01-23,28.2,23.2,24.7,49.9,49.9,2.74,9.4,13.98,100,79,Kediri,-7.8167,111.9667
2018-01-24,27.6,23.0,24.9,31.7,31.7,2.67,10.1,13.51,99,83,Kediri,-7.8167,111.9667
