tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,24.8,18.5,21.1,6.7,6.7,2.56,12.0,13.56,100,74,Kota Batu,-7.868,112.5239
2018-01-02,24.3,19.4,21.4,26.5,26.5,2.62,10.6,14.03,100,76,Kota Batu,-7.868,112.5239
2018-01-03,24.2,19.4,21.7,1.1,1.1,2.64,9.2,13.94,99,82,Kota Batu,-7.868,112.5239
2018-01-04,24.7,19.9,21.6,74.9,74.9,2.48,8.5,12.84,98,76,Kota Batu,-7.868,112.5239
2018-01-05,24.1,19.7,21.4,27.7,27.7,2.8,8.9,15.03,100,80,Kota Batu,-7.868,112.5239
2018-01-06,24.7,19.5,21.4,26.6,26.6,2.81,8.0,14.67,100,78,Kota Batu,-7.868,112.5239
2018-01-07,23.0,19.3,21.1,50.1,50.1,2.0,8.9,10.39,98,81,Kota Batu,-7.868,112.5239
2018-01-08,25.1,19.9,21.7,47.1,47.1,2.88,10.2,15.0,100,74,Kota Batu,-7.868,112.5239
2018-01-09,25.1,19.4,21.8,31.2,31.2,3.22,7.3,16.92,96,80,Kota Batu,-7.868,112.5239
2018-01-10,24.8,19.3,21.2,14.5,14.5,2.77,9.7,15.03,100,76,Kota Batu,-7.868,112.5239
2018-01-11,23.3,18.7,20.5,11.9,11.9,1.87,7.2,9.38,95,76,Kota Batu,-7.868,112.5239
2018-01-12,24.4,19.0,21.2,1.0,1.0,2.39,7.1,11.44,94,62,Kota Batu,-7.868,112.5239
2018-01-13,24.2,19.7,21.6,5.1,5.1,1.93,9.9,8.79,98,71,Kota Batu,-7.868,112.5239
2018-01-14,24.1,19.6,21.4,1.5,1.5,2.16,5.5,10.42,93,72,Kota Batu,-7.868,112.5239
2018-01-15,25.2,19.3,21.6,1.5,1.5,3.25,5.4,16.5,97,66,Kota Batu,-7.868,112.5239
2018-01-16,25.3,19.6,21.5,3.8,3.8,2.93,6.4,14.66,94,63,Kota Batu,-7.868,112.5239
2018-01-17,24.5,19.2,21.4,2.0,2.0,2.65,6.6,13.35,99,69,Kota Batu,-7.868,112.5239
2018-01-18,24.2,19.9,21.3,38.3,38.3,2.32,7.1,11.83,98,78,Kota Batu,-7.868,112.5239
2018-01-19,23.2,19.2,20.5,7.0,7.0,1.84,7.6,9.27,100,78,Kota Batu,-7.868,112.5239
