tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.6,23.8,25.8,0.6,0.6,3.32,20.2,16.06,93,72,Kota Kediri,-7.848,112.0172
2018-01-02,28.9,23.6,25.8,9.7,9.7,3.16,13.8,15.54,95,74,Kota Kediri,-7.848,112.0172
2018-01-03,30.4,23.8,26.2,7.6,7.6,3.47,13.4,16.99,94,71,Kota Kediri,-7.848,112.0172
2018-01-04,29.0,23.6,25.7,3.2,3.2,3.07,15.5,15.38,97,74,Kota Kediri,-7.848,112.0172
2018-01-05,28.5,23.6,25.7,10.5,10.5,3.61,15.1,18.55,96,78,Kota Kediri,-7.848,112.0172
2018-01-06,29.5,23.6,26.0,4.1,4.1,3.18,16.9,15.25,95,72,Kota Kediri,-7.848,112.0172
2018-01-07,27.6,23.8,25.1,15.1,15.1,2.32,13.1,11.33,96,76,Kota Kediri,-7.848,112.0172
2018-01-08,30.0,23.4,26.1,0.5,0.5,3.74,9.8,18.03,96,67,Kota Kediri,-7.848,112.0172
2018-01-09,31.1,23.6,26.3,4.1,4.1,3.9,13.0,19.25,99,66,Kota Kediri,-7.848,112.0172
2018-01-10,29.8,23.1,25.5,16.7,16.7,3.34,13.0,16.86,96,70,Kota Kediri,-7.848,112.0172
2018-01-11,27.1,22.6,24.6,4.1,4.1,2.08,11.5,10.11,98,82,Kota Kediri,-7.848,112.0172
2018-01-12,27.6,21.6,24.5,1.6,1.6,2.21,10.1,9.91,97,67,Kota Kediri,-7.848,112.0172
2018-01-13,29.1,23.8,25.9,3.5,3.5,2.72,15.5,12.53,93,74,Kota Kediri,-7.848,112.0172
2018-01-14,28.6,23.1,25.7,3.9,3.9,3.39,8.9,16.91,95,67,Kota Kediri,-7.848,112.0172
2018-01-15,29.0,22.3,25.5,0.5,0.5,3.63,11.2,17.71,96,68,Kota Kediri,-7.848,112.0172
2018-01-16,28.1,22.8,25.0,2.1,2.1,3.33,10.2,16.5,96,68,Kota Kediri,-7.848,112.0172
2018-01-17,28.3,22.8,25.3,2.2,2.2,3.2,9.4,15.9,94,70,Kota Kediri,-7.848,112.0172
2018-01-18,28.0,23.1,25.0,9.1,9.1,2.45,9.5,12.15,97,79,Kota Kediri,-7.848,112.0172
2018-01-19,28.1,22.7,25.2,6.1,6.1,2.71,16.8,12.48,98,77,Kota Kediri,-7.848,112.0172
2018-01-20,27.5,23.1,24.8,10.2,10.2,2.33,13.8,11.2,97,81,Kota Kediri,-7.848,112.0172
2018-01-21,26.7,22.7,24.5,8.4,8.4,2.07,6.9,10.09,96,80,Kota Kediri,-7.848,112.0172
2018-01-22,27.1,22.5,24.6,5.1,5.1,2.38,12.6,11.67,97,79,Kota Kediri,-7.848,112.0172
2018-01-23,28.5,23.2,25.0,6.1,6.1,2.95,9.7,14.52,99,74,Kota Kediri,-7.848,112.0172
2018-01-24,28.4,22.8,25.2,2.8,2.8,2.85,9.9,14.02,99,74,Kota Kediri,-7.848,112.0172
2018-01-25,27.0,22.1,24.6,10.8,10.8,2.42,15.3,11.6,98,81,Kota Kediri,-7.848,112.0172
2018-01-26,27.5,21.4,24.4,5.6,5.6,2.95,10.6,15.21,96,79,Kota Kediri,-7.848,112.0172
2018-01-27,29.4,22.8,25.4,5.0,5.0,3.5,16.3,17.58,97,73,Kota Kediri,-7.848,112.0172
2018-01-28,29.5,23.7,25.9,4.8,4.8,3.01,22.1,13.6,96,69,Kota Kediri,-7.848,112.0172
2018-01-29,27.8,23.1,25.2,10.2,10.2,2.8,10.2,13.85,98,76,Kota Kediri,-7.848,112.0172
2018-01-30,28.0,22.0,25.0,5.4,5.4,3.83,7.8,19.36,96,72,Kota Kediri,-7.848,112.0172
2018-01-31,29.6,23.1,25.4,9.6,9.6,3.64,12.0,18.28,98,70,Kota Kediri,-7.848,112.0172
