tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,31.1,24.4,27.0,5.1,5.1,4.14,15.5,18.45,87,62,Kota Madiun,-7.6298,111.5239
2018-01-02,30.2,24.1,26.5,9.2,9.2,3.36,14.4,16.28,96,67,Kota Madiun,-7.6298,111.5239
2018-01-03,31.1,23.6,26.6,12.6,12.6,3.73,12.1,18.05,97,65,Kota Madiun,-7.6298,111.5239
2018-01-04,29.6,24.0,26.1,55.1,55.1,3.07,7.3,14.61,95,75,Kota Madiun,-7.6298,111.5239
2018-01-05,30.4,23.4,26.5,6.9,6.9,3.72,16.9,18.12,94,68,Kota Madiun,-7.6298,111.5239
2018-01-06,30.0,23.8,26.6,0.3,0.3,3.53,20.5,16.47,96,67,Kota Madiun,-7.6298,111.5239
2018-01-07,28.2,23.8,25.5,19.1,19.1,2.49,9.4,11.76,96,73,Kota Madiun,-7.6298,111.5239
2018-01-08,30.8,23.5,26.6,1.5,1.5,4.12,8.3,20.01,94,62,Kota Madiun,-7.6298,111.5239
2018-01-09,31.1,24.0,26.9,4.7,4.7,3.91,7.6,19.04,97,69,Kota Madiun,-7.6298,111.5239
2018-01-10,29.7,23.5,26.1,14.8,14.8,3.57,9.6,17.39,96,70,Kota Madiun,-7.6298,111.5239
2018-01-11,28.1,22.7,25.2,0.8,0.8,2.5,7.6,12.15,98,75,Kota Madiun,-7.6298,111.5239
2018-01-12,28.6,23.5,25.7,5.8,5.8,2.83,13.0,12.77,91,60,Kota Madiun,-7.6298,111.5239
2018-01-13,29.5,23.8,26.3,2.0,2.0,3.42,10.2,16.56,95,68,Kota Madiun,-7.6298,111.5239
2018-01-14,30.0,23.1,25.9,2.2,2.2,3.47,10.9,16.75,95,62,Kota Madiun,-7.6298,111.5239
2018-01-15,30.5,22.3,26.0,0.0,0.0,4.18,12.2,19.67,94,62,Kota Madiun,-7.6298,111.5239
2018-01-16,28.1,23.5,25.5,3.7,3.7,2.92,10.1,14.39,94,75,Kota Madiun,-7.6298,111.5239
2018-01-17,29.1,23.2,25.9,6.7,6.7,3.38,8.2,16.33,93,66,Kota Madiun,-7.6298,111.5239
2018-01-18,28.6,23.5,25.3,17.6,17.6,2.56,15.4,12.7,96,74,Kota Madiun,-7.6298,111.5239
2018-01-19,28.1,23.2,25.3,10.6,10.6,2.56,20.3,10.97,96,74,Kota Madiun,-7.6298,111.5239
2018-01-20,28.3,23.6,25.1,14.7,14.7,2.31,18.1,10.42,93,77,Kota Madiun,-7.6298,111.5239
2018-01-21,28.4,23.2,25.5,2.6,2.6,2.84,10.3,12.87,93,69,Kota Madiun,-7.6298,111.5239
2018-01-22,28.0,22.8,24.9,15.4,15.4,2.48,10.6,11.98,97,75,Kota Madiun,-7.6298,111.5239
2018-01-23,29.2,22.5,25.2,6.4,6.4,3.3,13.7,16.32,99,68,Kota Madiun,-7.6298,111.5239
2018-01-24,29.2,23.1,25.5,2.8,2.8,3.14,11.5,15.36,94,72,Kota Madiun,-7.6298,111.5239
