tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,26.7,21.3,23.4,6.9,6.9,2.57,12.3,12.99,97,75,Kota Malang,-7.9797,112.6304
2018-01-02,26.1,21.2,23.5,11.5,11.5,2.65,11.2,13.6,99,77,Kota Malang,-7.9797,112.6304
2018-01-03,26.6,22.2,23.9,0.5,0.5,2.48,5.5,12.29,94,74,Kota Malang,-7.9797,112.6304
2018-01-04,27.2,22.3,23.7,34.6,34.6,2.52,8.0,12.59,97,75,Kota Malang,-7.9797,112.6304
2018-01-05,26.5,21.8,23.5,24.5,24.5,2.79,8.4,14.41,99,81,Kota Malang,-7.9797,112.6304
2018-01-06,27.0,21.7,23.6,11.0,11.0,3.0,9.9,15.34,100,74,Kota Malang,-7.9797,112.6304
2018-01-07,25.6,21.2,23.2,50.8,50.8,2.06,9.3,10.41,99,80,Kota Malang,-7.9797,112.6304
2018-01-08,26.9,22.0,23.8,18.6,18.6,3.12,7.2,15.7,96,75,Kota Malang,-7.9797,112.6304
2018-01-09,27.8,22.0,24.4,11.1,11.1,3.61,8.2,18.24,92,71,Kota Malang,-7.9797,112.6304
2018-01-10,27.3,21.7,23.5,17.3,17.3,2.98,13.5,15.54,99,78,Kota Malang,-7.9797,112.6304
2018-01-11,25.4,20.7,22.8,23.8,23.8,1.87,10.1,9.1,100,78,Kota Malang,-7.9797,112.6304
2018-01-12,27.7,21.2,23.8,1.4,1.4,2.72,9.3,12.74,95,59,Kota Malang,-7.9797,112.6304
2018-01-13,27.1,21.7,23.9,7.3,7.3,2.13,7.7,9.58,95,68,Kota Malang,-7.9797,112.6304
2018-01-14,27.2,21.9,23.9,5.6,5.6,2.25,6.8,10.42,97,67,Kota Malang,-7.9797,112.6304
2018-01-15,27.9,21.7,24.1,5.5,5.5,3.29,8.3,16.15,99,65,Kota Malang,-7.9797,112.6304
2018-01-16,28.1,21.5,23.9,7.2,7.2,2.97,9.9,14.28,96,61,Kota Malang,-7.9797,112.6304
2018-01-17,27.5,21.1,23.9,14.2,14.2,2.82,7.6,13.72,97,64,Kota Malang,-7.9797,112.6304
2018-01-18,26.4,22.3,23.7,25.7,25.7,2.43,6.9,12.09,94,78,Kota Malang,-7.9797,112.6304
2018-01-19,26.2,21.8,23.1,25.0,25.0,1.93,13.0,9.57,99,81,Kota Malang,-7.9797,112.6304
2018-01-20,25.2,21.4,22.9,14.3,14.3,1.98,8.8,9.87,100,81,Kota Malang,-7.9797,112.6304
