tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,30.3,24.8,26.5,1.3,1.3,2.7,9.6,12.91,94,65,Kota Mojokerto,-7.4706,112.4344
2018-01-02,30.5,24.8,26.6,0.7,0.7,3.25,6.9,15.75,96,66,Kota Mojokerto,-7.4706,112.4344
2018-01-03,32.0,23.8,27.0,14.9,14.9,3.91,12.0,19.22,96,66,Kota Mojokerto,-7.4706,112.4344
2018-01-04,30.6,24.2,26.3,34.1,34.1,2.98,8.7,14.45,98,70,Kota Mojokerto,-7.4706,112.4344
2018-01-05,31.9,24.2,26.8,11.3,11.3,4.35,8.4,21.2,99,60,Kota Mojokerto,-7.4706,112.4344
2018-01-06,31.4,24.2,27.0,6.7,6.7,3.96,13.1,19.18,98,64,Kota Mojokerto,-7.4706,112.4344
2018-01-07,27.9,23.9,25.3,25.3,25.3,2.06,9.1,10.26,99,82,Kota Mojokerto,-7.4706,112.4344
2018-01-08,30.6,23.8,26.4,11.3,11.3,3.26,8.3,15.7,98,71,Kota Mojokerto,-7.4706,112.4344
2018-01-09,31.9,24.5,27.0,11.4,11.4,4.32,8.5,21.05,97,64,Kota Mojokerto,-7.4706,112.4344
2018-01-10,31.4,24.1,26.7,8.3,8.3,3.87,15.8,18.78,99,65,Kota Mojokerto,-7.4706,112.4344
2018-01-11,29.4,23.2,25.5,7.4,7.4,2.62,15.9,12.48,96,71,Kota Mojokerto,-7.4706,112.4344
2018-01-12,32.0,22.6,26.4,0.7,0.7,3.52,15.9,15.3,93,52,Kota Mojokerto,-7.4706,112.4344
2018-01-13,29.5,24.5,26.5,12.8,12.8,2.4,12.4,9.7,97,71,Kota Mojokerto,-7.4706,112.4344
2018-01-14,30.3,23.3,26.6,6.1,6.1,3.06,13.2,13.85,99,66,Kota Mojokerto,-7.4706,112.4344
2018-01-15,30.8,24.5,27.0,0.7,0.7,3.39,11.2,15.85,96,69,Kota Mojokerto,-7.4706,112.4344
2018-01-16,29.5,24.4,26.4,3.5,3.5,3.15,14.7,13.56,93,69,Kota Mojokerto,-7.4706,112.4344
2018-01-17,31.3,24.6,26.8,14.0,14.0,3.55,13.5,15.94,98,62,Kota Mojokerto,-7.4706,112.4344
2018-01-18,30.4,24.1,25.9,21.3,21.3,2.76,11.6,13.05,99,72,Kota Mojokerto,-7.4706,112.4344
2018-01-19,29.9,23.5,25.7,14.2,14.2,2.76,13.6,13.19,99,69,Kota Mojokerto,-7.4706,112.4344
2018-01-20,29.5,24.0,25.9,9.3,9.3,2.62,12.5,12.11,98,70,Kota Mojokerto,-7.4706,112.4344
2018-01-21,28.5,23.9,25.7,4.9,4.9,2.39,14.4,10.53,97,74,Kota Mojokerto,-7.4706,112.4344
2018-01-22,30.0,24.2,25.9,11.2,11.2,3.01,11.9,14.55,97,66,Kota Mojokerto,-7.4706,112.4344
2018-01-23,30.0,24.0,25.9,7.8,7.8,3.09,12.0,15.16,98,71,Kota Mojokerto,-7.4706,112.4344
2018-01-24,30.2,24.1,26.2,18.2,18.2,3.12,12.3,15.4,96,70,Kota Mojokerto,-7.4706,112.4344
2018-01-25,29.1,24.7,26.2,10.3,10.3,3.01,15.9,13.47,98,64,Kota Mojokerto,-7.4706,112.4344
2018-01-26,30.5,24.2,26.3,23.8,23.8,3.37,12.6,15.02,99,65,Kota Mojokerto,-7.4706,112.4344
2018-01-27,31.8,24.5,27.0,3.1,3.1,3.88,14.4,17.6,94,63,Kota Mojokerto,-7.4706,112.4344
2018-01-28,29.2,24.5,26.0,16.7,16.7,2.64,13.7,12.25,92,74,Kota Mojokerto,-7.4706,112.4344
2018-01-29,31.0,24.4,26.6,14.3,14.3,3.8,19.2,18.09,94,65,Kota Mojokerto,-7.4706,112.4344
2018-01-30,31.4,24.2,26.9,5.1,5.1,4.62,15.3,21.6,98,60,Kota Mojokerto,-7.4706,112.4344
2018-01-31,30.4,23.5,26.1,2.5,2.5,3.4,14.9,16.19,99,73,Kota Mojokerto,-7.4706,112.4344
2018-02-01,29.7,24.5,25.9,13.7,13.7,2.48,15.9,11.39,94,74,Kota Mojokerto,-7.4706,112.4344
2018-02-02,30.0,23.9,25.9,10.4,10.4,2.92,14.6,14.44,96,72,Kota Mojokerto,-7.4706,112.4344
