tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,29.6,24.5,26.9,3.7,3.7,3.43,10.9,16.8,99,75,Kota Pasuruan,-7.6453,112.899
2018-01-02,29.8,25.0,27.0,18.5,18.5,3.91,7.7,19.31,99,77,Kota Pasuruan,-7.6453,112.899
2018-01-03,31.0,24.0,27.3,10.4,10.4,4.17,9.1,20.48,99,71,Kota Pasuruan,-7.6453,112.899
2018-01-04,30.1,25.1,27.2,20.2,20.2,3.94,9.5,19.47,97,74,Kota Pasuruan,-7.6453,112.899
2018-01-05,31.4,24.2,27.2,3.9,3.9,4.78,8.7,23.66,100,68,Kota Pasuruan,-7.6453,112.899
2018-01-06,31.3,24.5,27.2,14.7,14.7,4.58,6.6,22.69,100,70,Kota Pasuruan,-7.6453,112.899
2018-01-07,28.5,24.5,26.0,16.2,16.2,2.38,12.1,11.79,100,75,Kota Pasuruan,-7.6453,112.899
2018-01-08,30.0,24.3,27.2,11.1,11.1,3.72,9.9,18.02,99,72,Kota Pasuruan,-7.6453,112.899
2018-01-09,30.5,25.0,27.3,13.0,13.0,4.3,7.3,21.15,99,71,Kota Pasuruan,-7.6453,112.899
2018-01-10,30.7,24.5,27.3,3.8,3.8,4.04,13.2,19.5,99,67,Kota Pasuruan,-7.6453,112.899
2018-01-11,29.2,24.2,26.3,16.1,16.1,2.73,18.8,13.14,99,74,Kota Pasuruan,-7.6453,112.899
2018-01-12,32.0,23.4,27.3,0.9,0.9,3.7,18.4,16.25,97,49,Kota Pasuruan,-7.6453,112.899
2018-01-13,30.8,24.9,27.4,1.0,1.0,2.54,22.0,9.93,95,63,Kota Pasuruan,-7.6453,112.899
2018-01-14,30.1,24.9,26.7,0.1,0.1,2.96,11.3,13.83,94,67,Kota Pasuruan,-7.6453,112.899
2018-01-15,30.6,25.1,27.2,5.1,5.1,3.45,12.1,16.07,96,65,Kota Pasuruan,-7.6453,112.899
2018-01-16,31.6,24.7,27.1,8.3,8.3,3.83,19.1,17.72,93,62,Kota Pasuruan,-7.6453,112.899
2018-01-17,30.6,24.8,26.9,3.1,3.1,3.36,14.6,15.7,97,67,Kota Pasuruan,-7.6453,112.899
2018-01-18,29.6,24.9,26.2,6.1,6.1,3.03,12.3,14.98,98,68,Kota Pasuruan,-7.6453,112.899
2018-01-19,29.1,24.0,26.1,6.0,6.0,2.75,12.5,13.33,100,73,Kota Pasuruan,-7.6453,112.899
2018-01-20,29.0,24.4,26.0,14.0,14.0,2.71,12.3,13.27,100,76,Kota Pasuruan,-7.6453,112.899
2018-01-21,28.1,24.1,26.0,7.6,7.6,2.58,11.9,12.46,99,76,Kota Pasuruan,-7.6453,112.899
2018-01-22,30.5,24.1,26.6,6.8,6.8,3.42,17.1,15.76,92,67,Kota Pasuruan,-7.6453,112.899
2018-01-23,30.0,24.9,26.7,4.1,4.1,3.23,19.4,14.83,97,68,Kota Pasuruan,-7.6453,112.899
2018-01-24,30.8,24.8,26.9,15.3,15.3,3.57,12.5,17.25,95,70,Kota Pasuruan,-7.6453,112.899
2018-01-25,29.6,25.0,27.2,3.7,3.7,3.85,18.1,16.79,94,60,Kota Pasuruan,-7.6453,112.899
2018-01-26,31.0,24.9,26.9,9.1,9.1,4.0,18.1,18.19,95,64,Kota Pasuruan,-7.6453,112.899
