tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,29.7,25.2,26.9,5.1,5.1,3.18,8.2,15.52,93,74,Kota Surabaya,-7.2575,112.7521
2018-01-02,28.9,25.1,26.8,4.3,4.3,3.34,8.2,16.45,94,77,Kota Surabaya,-7.2575,112.7521
2018-01-03,29.6,25.5,27.4,5.1,5.1,4.22,11.3,21.36,97,77,Kota Surabaya,-7.2575,112.7521
2018-01-04,28.9,24.8,26.5,14.8,14.8,3.25,10.0,16.27,94,80,Kota Surabaya,-7.2575,112.7521
2018-01-05,30.4,25.0,27.0,11.2,11.2,4.19,9.8,20.66,96,71,Kota Surabaya,-7.2575,112.7521
2018-01-06,30.8,25.0,26.9,21.0,21.0,3.7,8.8,18.07,95,70,Kota Surabaya,-7.2575,112.7521
2018-01-07,27.6,24.9,25.9,17.8,17.8,2.04,13.2,10.11,95,82,Kota Surabaya,-7.2575,112.7521
2018-01-08,30.6,24.3,27.3,4.3,4.3,3.66,9.8,17.36,94,65,Kota Surabaya,-7.2575,112.7521
2018-01-09,30.9,25.4,27.6,2.7,2.7,4.28,9.0,20.98,92,67,Kota Surabaya,-7.2575,112.7521
2018-01-10,31.3,25.4,27.2,9.2,9.2,4.17,15.0,20.18,93,65,Kota Surabaya,-7.2575,112.7521
2018-01-11,29.5,24.3,26.1,10.8,10.8,2.84,20.4,13.14,92,75,Kota Surabaya,-7.2575,112.7521
2018-01-12,30.5,24.2,27.1,0.4,0.4,4.18,19.0,18.43,86,64,Kota Surabaya,-7.2575,112.7521
2018-01-13,30.5,24.4,26.9,1.2,1.2,3.47,26.4,16.02,89,65,Kota Surabaya,-7.2575,112.7521
2018-01-14,30.4,24.4,26.7,6.9,6.9,2.84,14.8,12.92,93,71,Kota Surabaya,-7.2575,112.7521
2018-01-15,30.0,25.0,27.2,1.4,1.4,3.72,17.4,17.33,90,69,Kota Surabaya,-7.2575,112.7521
2018-01-16,29.2,25.1,26.8,0.8,0.8,3.39,19.1,14.42,89,67,Kota Surabaya,-7.2575,112.7521
2018-01-17,30.6,25.1,27.0,11.2,11.2,3.33,15.7,14.6,92,66,Kota Surabaya,-7.2575,112.7521
2018-01-18,29.2,25.2,26.4,7.7,7.7,2.53,15.5,11.71,93,70,Kota Surabaya,-7.2575,112.7521
2018-01-19,28.7,24.5,25.8,16.3,16.3,2.5,12.0,12.04,94,79,Kota Surabaya,-7.2575,112.7521
2018-01-20,29.5,25.0,26.3,11.2,11.2,3.24,12.6,15.46,93,71,Kota Surabaya,-7.2575,112.7521
2018-01-21,29.5,25.0,26.7,9.2,9.2,3.61,16.2,16.37,91,70,Kota Surabaya,-7.2575,112.7521
2018-01-22,28.5,25.4,26.4,17.1,17.1,3.13,19.7,14.7,90,76,Kota Surabaya,-7.2575,112.7521
2018-01-23,28.8,25.0,26.3,10.0,10.0,3.45,20.1,17.25,91,76,Kota Surabaya,-7.2575,112.7521
2018-01-24,29.7,24.9,26.6,20.5,20.5,3.36,16.9,16.74,92,74,Kota Surabaya,-7.2575,112.7521
2018-01-25,28.7,25.4,26.8,6.6,6.6,3.67,22.1,16.71,90,72,Kota Surabaya,-7.2575,112.7521
2018-01-26,29.2,25.4,26.6,18.7,18.7,3.46,21.2,15.55,92,72,Kota Surabaya,-7.2575,112.7521
