tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,30.1,24.1,26.9,13.6,13.6,3.27,9.7,15.6,96,67,Lamongan,-7.1175,112.4154
2018-01-02,29.5,24.8,26.7,9.8,9.8,3.45,8.3,16.79,95,72,Lamongan,-7.1175,112.4154
2018-01-03,30.0,24.4,27.0,1.9,1.9,3.72,10.5,18.45,97,72,Lamongan,-7.1175,112.4154
2018-01-04,29.5,24.6,26.6,17.6,17.6,3.16,9.7,15.4,96,75,Lamongan,-7.1175,112.4154
2018-01-05,31.1,24.1,26.8,8.7,8.7,4.12,9.6,20.16,96,66,Lamongan,-7.1175,112.4154
2018-01-06,31.8,24.5,26.8,11.7,11.7,3.71,12.4,18.09,97,65,Lamongan,-7.1175,112.4154
2018-01-07,27.4,24.2,25.6,18.5,18.5,2.02,13.0,9.82,97,83,Lamongan,-7.1175,112.4154
2018-01-08,30.7,24.2,27.0,2.4,2.4,3.91,8.8,18.91,95,64,Lamongan,-7.1175,112.4154
2018-01-09,30.8,24.6,27.2,6.6,6.6,4.07,8.6,19.69,98,71,Lamongan,-7.1175,112.4154
2018-01-10,31.1,24.8,26.9,7.0,7.0,4.05,15.6,19.52,94,63,Lamongan,-7.1175,112.4154
2018-01-11,29.5,24.5,25.8,13.5,13.5,2.72,18.1,13.09,96,71,Lamongan,-7.1175,112.4154
2018-01-12,30.0,23.5,26.0,1.0,1.0,2.69,13.0,12.44,94,66,Lamongan,-7.1175,112.4154
2018-01-13,30.5,24.2,27.0,3.9,3.9,3.55,17.0,16.99,92,70,Lamongan,-7.1175,112.4154
2018-01-14,29.9,24.4,26.7,5.0,5.0,3.14,19.1,14.14,93,69,Lamongan,-7.1175,112.4154
2018-01-15,30.4,24.6,27.3,0.4,0.4,4.22,15.6,18.96,91,65,Lamongan,-7.1175,112.4154
2018-01-16,29.5,24.6,26.5,2.8,2.8,3.02,19.7,13.35,93,69,Lamongan,-7.1175,112.4154
2018-01-17,31.5,24.5,27.0,7.7,7.7,3.97,17.7,19.22,93,62,Lamongan,-7.1175,112.4154
2018-01-18,29.0,24.5,26.1,12.4,12.4,2.29,15.9,10.79,95,74,Lamongan,-7.1175,112.4154
2018-01-19,29.5,24.3,25.9,16.3,16.3,2.87,15.1,14.37,96,75,Lamongan,-7.1175,112.4154
2018-01-20,30.6,24.0,25.9,21.6,21.6,3.28,14.3,16.17,96,68,Lamongan,-7.1175,112.4154
2018-01-21,30.2,24.0,26.4,8.6,8.6,3.5,18.8,16.68,92,67,Lamongan,-7.1175,112.4154
2018-01-22,28.4,24.6,26.0,10.9,10.9,2.62,17.8,13.0,93,80,Lamongan,-7.1175,112.4154
