tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.5,22.8,25.1,5.9,5.9,2.98,9.9,14.81,97,80,Lumajang,-8.1325,113.2231
2018-01-02,30.0,22.6,25.4,22.8,22.8,2.85,7.8,14.16,98,71,Lumajang,-8.1325,113.2231
2018-01-03,29.9,22.8,25.9,11.9,11.9,3.29,8.4,16.15,97,75,Lumajang,-8.1325,113.2231
2018-01-04,30.6,24.0,25.6,65.3,65.3,2.88,10.6,14.23,99,72,Lumajang,-8.1325,113.2231
2018-01-05,28.2,23.5,25.2,19.6,19.6,2.59,11.2,12.94,97,83,Lumajang,-8.1325,113.2231
2018-01-06,28.5,23.3,25.0,9.3,9.3,2.85,10.3,14.25,98,76,Lumajang,-8.1325,113.2231
2018-01-07,28.8,23.1,25.3,24.1,24.1,2.37,13.7,11.6,97,75,Lumajang,-8.1325,113.2231
2018-01-08,31.1,22.5,25.9,10.6,10.6,3.73,6.0,18.03,96,64,Lumajang,-8.1325,113.2231
2018-01-09,30.1,23.4,26.2,9.0,9.0,3.28,7.0,15.87,95,71,Lumajang,-8.1325,113.2231
2018-01-10,29.4,23.2,25.1,21.6,21.6,2.81,12.7,13.96,98,75,Lumajang,-8.1325,113.2231
2018-01-11,26.8,22.4,24.3,11.1,11.1,1.88,10.5,9.44,99,85,Lumajang,-8.1325,113.2231
2018-01-12,27.9,21.5,25.0,0.2,0.2,2.55,13.3,11.56,97,77,Lumajang,-8.1325,113.2231
2018-01-13,28.2,23.2,25.7,3.0,3.0,1.84,14.4,7.45,96,75,Lumajang,-8.1325,113.2231
2018-01-14,27.9,23.0,25.4,3.7,3.7,2.2,6.1,10.38,96,77,Lumajang,-8.1325,113.2231
2018-01-15,27.8,23.8,25.3,3.6,3.6,2.46,9.2,11.49,95,73,Lumajang,-8.1325,113.2231
2018-01-16,28.5,23.4,25.5,4.1,4.1,3.0,8.7,14.69,94,68,Lumajang,-8.1325,113.2231
2018-01-17,28.5,23.5,25.5,2.4,2.4,2.59,9.6,12.35,93,71,Lumajang,-8.1325,113.2231
2018-01-18,28.5,23.9,25.6,3.4,3.4,2.78,7.8,13.38,96,74,Lumajang,-8.1325,113.2231
2018-01-19,27.6,23.0,24.9,5.6,5.6,2.23,12.5,10.84,96,80,Lumajang,-8.1325,113.2231
2018-01-20,26.8,23.2,24.5,12.1,12.1,2.01,13.0,10.05,98,84,Lumajang,-8.1325,113.2231
2018-01-21,27.0,22.5,24.3,3.5,3.5,1.72,10.3,8.17,98,79,Lumajang,-8.1325,113.2231
2018-01-22,28.8,23.0,25.4,2.2,2.2,2.69,13.9,12.82,93,73,Lumajang,-8.1325,113.2231
2018-01-23,28.7,23.9,25.3,5.3,5.3,2.34,10.2,11.2,95,73,Lumajang,-8.1325,113.2231
2018-01-24,28.1,23.5,25.3,1.0,1.0,2.6,10.7,12.72,95,75,Lumajang,-8.1325,113.2231
2018-01-25,28.1,22.9,24.8,11.0,11.0,2.15,10.2,10.39,98,78,Lumajang,-8.1325,113.2231
2018-01-26,29.0,23.2,25.6,0.9,0.9,2.79,13.8,13.16,95,72,Lumajang,-8.1325,113.2231
2018-01-27,29.1,24.2,25.9,0.9,0.9,3.27,15.9,15.9,91,69,Lumajang,-8.1325,113.2231
2018-01-28,29.0,24.5,26.2,4.9,4.9,3.44,21.5,16.33,90,73,Lumajang,-8.1325,113.2231
2018-01-29,28.6,23.1,25.5,2.4,2.4,2.99,14.7,14.45,96,72,Lumajang,-8.1325,113.2231
2018-01-30,29.2,22.0,25.6,1.8,1.8,3.8,11.2,18.62,96,65,Lumajang,-8.1325,113.2231
2018-01-31,29.6,23.1,25.3,11.0,11.0,3.21,12.5,15.65,95,68,Lumajang,-8.1325,113.2231
2018-02-01,27.7,22.0,24.2,34.1,34.1,2.03,9.2,9.85,98,77,Lumajang,-8.1325,113.2231
2018-02-02,27.5,22.1,24.8,5.4,5.4,2.13,6.8,10.48,98,77,Lumajang,-8.1325,113.2231
2018-02-03,29.5,23.1,25.4,9.8,9.8,3.42,13.3,17.07,97,69,Lumajang,-8.1325,113.2231
2018-02-04,29.4,22.9,25.5,3.6,3.6,3.78,10.7,18.73,97,70,Lumajang,-8.1325,113.2231
2018-02-05,29.0,22.9,25.6,4.0,4.0,3.01,13.7,14.63,99,75,Lumajang,-8.1325,113.2231
2018-02-06,28.5,23.3,25.0,12.0,12.0,2.93,12.2,14.8,95,74,Lumajang,-8.1325,113.2231
2018-02-07,28.9,22.0,24.8,2.3,2.3,3.1,10.4,15.2,98,66,Lumajang,-8.1325,113.2231
2018-02-08,27.4,22.8,24.3,19.5,19.5,1.79,10.4,8.6,100,79,Lumajang,-8.1325,113.2231
2018-02-09,27.8,22.4,24.3,12.2,12.2,2.08,9.7,10.15,98,80,Lumajang,-8.1325,113.2231
2018-02-10,29.5,22.5,25.2,1.9,1.9,3.27,9.4,16.23,97,67,Lumajang,-8.1325,113.2231
2018-02-11,28.9,23.0,25.5,5.0,5.0,3.03,14.1,14.88,95,72,Lumajang,-8.1325,113.2231
