tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.4,22.5,24.9,1.5,1.5,3.95,13.8,19.52,92,66,Magetan,-7.6551,111.3288
2018-01-02,27.4,22.7,24.4,13.2,13.2,3.09,8.7,15.51,96,74,Magetan,-7.6551,111.3288
2018-01-03,28.6,22.5,24.8,2.1,2.1,3.71,9.0,18.73,96,70,Magetan,-7.6551,111.3288
2018-01-04,27.6,22.5,24.3,70.6,70.6,3.06,8.4,15.33,98,76,Magetan,-7.6551,111.3288
2018-01-05,27.8,22.3,24.4,20.0,20.0,3.39,6.8,17.1,97,71,Magetan,-7.6551,111.3288
2018-01-06,27.0,22.0,24.3,54.4,54.4,2.8,9.2,13.93,98,74,Magetan,-7.6551,111.3288
2018-01-07,25.2,22.4,23.6,41.9,41.9,2.25,10.0,11.46,99,82,Magetan,-7.6551,111.3288
2018-01-08,28.4,22.8,24.7,7.6,7.6,3.91,9.4,20.06,95,72,Magetan,-7.6551,111.3288
2018-01-09,28.2,22.2,24.7,17.6,17.6,3.7,9.8,18.75,95,69,Magetan,-7.6551,111.3288
2018-01-10,26.9,22.2,24.1,48.4,48.4,3.1,9.6,15.73,96,77,Magetan,-7.6551,111.3288
2018-01-11,26.1,21.4,23.4,61.6,61.6,2.29,11.3,11.82,100,80,Magetan,-7.6551,111.3288
2018-01-12,26.2,21.6,23.6,13.3,13.3,2.09,9.1,10.31,98,77,Magetan,-7.6551,111.3288
2018-01-13,26.7,21.5,24.2,50.0,50.0,3.24,10.0,16.75,94,79,Magetan,-7.6551,111.3288
2018-01-14,26.9,21.7,23.9,18.8,18.8,3.19,14.1,16.89,98,74,Magetan,-7.6551,111.3288
2018-01-15,27.6,21.1,24.1,7.8,7.8,3.65,13.5,19.38,96,72,Magetan,-7.6551,111.3288
2018-01-16,26.2,21.4,23.7,19.5,19.5,3.25,9.4,17.04,98,74,Magetan,-7.6551,111.3288
2018-01-17,26.6,22.0,23.9,46.9,46.9,2.91,9.3,14.91,99,80,Magetan,-7.6551,111.3288
