tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,25.7,21.1,23.1,19.2,19.2,2.13,14.1,11.03,100,84,Malang,-8.1583,112.6033
2018-01-02,26.5,21.2,23.7,16.7,16.7,2.59,10.9,13.42,98,77,Malang,-8.1583,112.6033
2018-01-03,27.4,21.5,24.1,8.3,8.3,2.78,9.8,14.08,99,81,Malang,-8.1583,112.6033
2018-01-04,26.9,21.6,23.8,39.6,39.6,2.55,9.7,12.87,99,77,Malang,-8.1583,112.6033
2018-01-05,26.4,21.8,23.5,21.4,21.4,2.48,12.9,12.82,100,79,Malang,-8.1583,112.6033
2018-01-06,26.6,21.5,23.2,17.5,17.5,2.3,17.6,12.41,100,82,Malang,-8.1583,112.6033
2018-01-07,26.8,21.0,23.3,12.2,12.2,2.19,11.3,10.96,97,77,Malang,-8.1583,112.6033
2018-01-08,28.1,20.9,23.8,11.0,11.0,3.07,9.0,15.08,97,68,Malang,-8.1583,112.6033
2018-01-09,28.0,21.8,24.1,13.0,13.0,3.06,7.9,15.36,99,71,Malang,-8.1583,112.6033
2018-01-10,26.3,21.9,23.3,22.3,22.3,2.39,14.0,12.7,100,81,Malang,-8.1583,112.6033
2018-01-11,24.6,21.0,22.6,19.8,19.8,1.51,14.7,7.68,97,85,Malang,-8.1583,112.6033
2018-01-12,26.6,21.2,23.4,0.7,0.7,2.85,21.7,13.44,93,62,Malang,-8.1583,112.6033
2018-01-13,27.8,21.0,24.0,4.3,4.3,2.57,12.9,11.91,96,68,Malang,-8.1583,112.6033
2018-01-14,27.1,21.4,23.9,3.6,3.6,2.95,21.2,14.21,96,68,Malang,-8.1583,112.6033
2018-01-15,27.5,21.5,23.9,1.0,1.0,3.27,20.6,16.54,96,64,Malang,-8.1583,112.6033
2018-01-16,26.5,20.6,23.5,0.7,0.7,2.36,21.3,11.02,96,71,Malang,-8.1583,112.6033
2018-01-17,27.0,20.8,23.7,4.4,4.4,2.92,16.9,14.48,97,70,Malang,-8.1583,112.6033
2018-01-18,27.2,22.1,24.0,13.7,13.7,2.95,11.5,14.98,98,76,Malang,-8.1583,112.6033
2018-01-19,25.6,21.2,22.8,22.2,22.2,1.81,16.1,9.59,99,84,Malang,-8.1583,112.6033
2018-01-20,25.6,21.6,23.0,28.0,28.0,1.86,15.4,9.13,96,78,Malang,-8.1583,112.6033
2018-01-21,25.2,21.8,23.1,17.6,17.6,1.83,18.4,8.59,98,77,Malang,-8.1583,112.6033
2018-01-22,26.8,21.5,23.6,5.6,5.6,2.54,19.9,13.31,94,80,Malang,-8.1583,112.6033
2018-01-23,26.9,22.0,23.7,3.9,3.9,2.62,15.6,13.02,97,72,Malang,-8.1583,112.6033
2018-01-24,26.4,21.9,23.6,12.2,12.2,2.46,15.9,12.74,98,80,Malang,-8.1583,112.6033
2018-01-25,26.0,22.4,23.4,19.8,19.8,1.98,21.3,10.24,95,82,Malang,-8.1583,112.6033
2018-01-26,27.1,22.2,23.7,16.9,16.9,2.79,23.4,14.03,97,70,Malang,-8.1583,112.6033
2018-01-27,27.8,20.6,23.9,2.2,2.2,3.44,23.2,17.82,96,69,Malang,-8.1583,112.6033
2018-01-28,28.5,21.6,24.9,7.6,7.6,3.85,15.2,19.08,97,66,Malang,-8.1583,112.6033
2018-01-29,26.1,22.4,23.9,2.2,2.2,2.83,30.6,14.6,90,74,Malang,-8.1583,112.6033
2018-01-30,26.7,21.4,23.3,13.8,13.8,3.2,21.5,17.65,96,72,Malang,-8.1583,112.6033
2018-01-31,28.2,21.1,24.1,0.7,0.7,3.99,22.1,20.86,93,67,Malang,-8.1583,112.6033
2018-02-01,25.6,22.1,23.2,12.9,12.9,1.92,18.1,9.55,98,81,Malang,-8.1583,112.6033
2018-02-02,26.2,21.5,23.3,9.8,9.8,2.47,13.2,12.5,100,76,Malang,-8.1583,112.6033
2018-02-03,28.5,20.6,23.9,12.5,12.5,3.43,13.3,16.94,98,71,Malang,-8.1583,112.6033
2018-02-04,28.4,20.6,23.9,2.1,2.1,3.81,14.5,19.33,98,63,Malang,-8.1583,112.6033
2018-02-05,26.0,21.5,23.4,5.8,5.8,2.69,13.4,14.54,98,82,Malang,-8.1583,112.6033
2018-02-06,25.6,21.0,22.8,14.3,14.3,2.69,16.9,15.17,100,75,Malang,-8.1583,112.6033
2018-02-07,27.1,20.5,23.2,25.7,25.7,3.42,16.7,18.52,98,69,Malang,-8.1583,112.6033
2018-02-08,25.6,20.9,22.8,44.3,44.3,2.27,16.3,11.94,97,83,Malang,-8.1583,112.6033
2018-02-09,24.8,20.9,22.7,3.1,3.1,1.58,13.8,7.54,97,81,Malang,-8.1583,112.6033
2018-02-10,27.5,20.1,23.6,3.7,3.7,3.98,17.4,21.15,98,66,Malang,-8.1583,112.6033
2018-02-11,28.0,20.7,23.7,5.1,5.1,3.7,12.9,19.26,96,66,Malang,-8.1583,112.6033
2018-02-12,28.1,20.9,24.1,0.1,0.1,3.73,15.8,18.77,98,66,Malang,-8.1583,112.6033
2018-02-13,27.4,21.5,23.6,14.2,14.2,2.88,16.2,15.35,99,72,Malang,-8.1583,112.6033
2018-02-14,26.0,22.5,23.8,13.2,13.2,2.74,21.3,13.81,96,75,Malang,-8.1583,112.6033
2018-02-15,25.4,22.0,23.2,30.2,30.2,2.2,18.0,11.53,97,76,Malang,-8.1583,112.6033
2018-02-16,25.4,21.7,23.4,1.2,1.2,1.79,15.7,8.11,98,79,Malang,-8.1583,112.6033
2018-02-17,27.2,21.0,23.7,20.0,20.0,3.33,21.6,17.95,96,69,Malang,-8.1583,112.6033
2018-02-18,28.0,21.2,24.3,1.5,1.5,4.14,17.7,21.55,97,66,Malang,-8.1583,112.6033
2018-02-19,27.4,21.5,23.9,7.2,7.2,3.77,13.0,20.25,100,76,Malang,-8.1583,112.6033
2018-02-20,27.6,20.8,23.6,10.0,10.0,3.3,13.2,17.65,100,75,Malang,-8.1583,112.6033
2018-02-21,28.1,21.5,24.3,7.2,7.2,4.07,13.5,21.0,99,69,Malang,-8.1583,112.6033
2018-02-22,27.5,21.4,23.5,26.7,26.7,2.34,9.5,11.69,99,78,Malang,-8.1583,112.6033
2018-02-23,27.4,21.1,23.5,12.4,12.4,2.82,6.9,13.83,99,74,Malang,-8.1583,112.6033
2018-02-24,27.1,21.4,23.5,20.7,20.7,2.64,11.0,13.42,100,72,Malang,-8.1583,112.6033
2018-02-25,26.5,21.2,23.4,11.3,11.3,3.24,12.7,17.06,100,75,Malang,-8.1583,112.6033
2018-02-26,26.6,20.7,23.2,7.6,7.6,3.07,12.8,16.28,100,80,Malang,-8.1583,112.6033
2018-02-27,27.5,20.5,23.8,1.2,1.2,4.05,14.5,21.29,98,66,Malang,-8.1583,112.6033
2018-02-28,27.6,19.9,24.0,3.1,3.1,3.95,11.7,20.22,98,69,Malang,-8.1583,112.6033
2018-03-01,28.6,20.4,24.1,5.2,5.2,4.08,10.8,20.53,97,62,Malang,-8.1583,112.6033
2018-03-02,27.4,20.8,23.7,10.9,10.9,3.33,12.0,17.59,100,77,Malang,-8.1583,112.6033
2018-03-03,28.5,22.0,24.3,4.1,4.1,3.32,6.9,16.64,99,73,Malang,-8.1583,112.6033
2018-03-04,28.0,21.2,24.2,18.0,18.0,3.3,12.9,17.11,97,73,Malang,-8.1583,112.6033
