tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,29.4,23.8,25.8,2.5,2.5,2.82,8.0,13.89,96,70,Mojokerto,-7.5271,112.4346
2018-01-02,29.4,24.0,26.0,2.6,2.6,3.27,5.0,16.14,97,73,Mojokerto,-7.5271,112.4346
2018-01-03,30.8,23.4,26.4,7.5,7.5,3.89,9.7,19.32,98,73,Mojokerto,-7.5271,112.4346
2018-01-04,29.5,23.9,25.8,24.2,24.2,3.06,9.2,15.04,96,74,Mojokerto,-7.5271,112.4346
2018-01-05,30.1,23.5,26.3,16.0,16.0,4.24,10.3,20.97,96,69,Mojokerto,-7.5271,112.4346
2018-01-06,31.1,23.5,26.4,2.1,2.1,3.84,16.8,18.94,96,63,Mojokerto,-7.5271,112.4346
2018-01-07,27.0,23.5,25.0,15.6,15.6,2.15,9.0,10.63,98,77,Mojokerto,-7.5271,112.4346
2018-01-08,29.7,23.8,26.1,4.1,4.1,3.41,7.3,16.39,96,68,Mojokerto,-7.5271,112.4346
2018-01-09,31.1,24.0,26.3,10.4,10.4,4.2,9.3,20.65,96,66,Mojokerto,-7.5271,112.4346
2018-01-10,30.8,23.8,26.1,9.4,9.4,3.71,13.3,18.09,96,71,Mojokerto,-7.5271,112.4346
2018-01-11,28.5,22.8,25.0,9.6,9.6,2.67,17.9,12.47,98,72,Mojokerto,-7.5271,112.4346
2018-01-12,31.1,22.3,25.8,1.3,1.3,3.31,15.5,14.58,93,52,Mojokerto,-7.5271,112.4346
2018-01-13,28.5,23.9,25.8,13.8,13.8,2.2,12.4,8.81,95,72,Mojokerto,-7.5271,112.4346
2018-01-14,29.8,23.0,25.9,6.9,6.9,3.22,12.6,15.27,95,66,Mojokerto,-7.5271,112.4346
2018-01-15,29.9,23.6,26.4,2.2,2.2,3.59,10.1,16.66,87,64,Mojokerto,-7.5271,112.4346
2018-01-16,28.9,23.5,25.5,7.4,7.4,2.96,12.4,13.55,89,72,Mojokerto,-7.5271,112.4346
2018-01-17,30.5,23.9,26.1,9.5,9.5,3.59,11.9,16.71,94,66,Mojokerto,-7.5271,112.4346
2018-01-18,29.5,23.5,25.2,27.5,27.5,2.68,11.8,12.83,96,74,Mojokerto,-7.5271,112.4346
2018-01-19,29.9,23.1,25.3,21.1,21.1,2.95,17.0,13.78,96,70,Mojokerto,-7.5271,112.4346
2018-01-20,28.9,23.5,25.4,6.0,6.0,2.68,13.4,12.31,98,69,Mojokerto,-7.5271,112.4346
2018-01-21,28.5,23.3,25.0,7.7,7.7,2.18,14.6,9.67,93,73,Mojokerto,-7.5271,112.4346
2018-01-22,29.4,23.1,25.2,11.0,11.0,2.96,13.0,14.3,91,69,Mojokerto,-7.5271,112.4346
2018-01-23,29.6,23.5,25.3,19.2,19.2,3.13,13.2,15.06,95,73,Mojokerto,-7.5271,112.4346
2018-01-24,29.2,23.5,25.6,8.8,8.8,3.13,11.9,15.68,96,72,Mojokerto,-7.5271,112.4346
2018-01-25,28.2,24.0,25.7,15.7,15.7,3.14,21.3,13.15,94,64,Mojokerto,-7.5271,112.4346
2018-01-26,29.6,23.5,25.8,23.6,23.6,3.51,15.6,15.57,94,64,Mojokerto,-7.5271,112.4346
2018-01-27,30.2,23.9,26.2,5.4,5.4,3.69,15.3,17.34,88,70,Mojokerto,-7.5271,112.4346
2018-01-28,27.9,23.7,25.2,14.4,14.4,2.43,14.8,11.44,92,80,Mojokerto,-7.5271,112.4346
