tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,29.1,22.4,25.7,1.5,1.5,3.87,10.1,19.52,95,67,Nganjuk,-7.6044,111.9013
2018-01-02,29.4,23.3,26.0,0.2,0.2,3.32,8.4,16.28,97,67,Nganjuk,-7.6044,111.9013
2018-01-03,31.0,23.4,26.5,4.9,4.9,3.73,14.7,18.44,96,67,Nganjuk,-7.6044,111.9013
2018-01-04,29.1,23.8,25.8,6.6,6.6,2.77,7.4,13.53,99,74,Nganjuk,-7.6044,111.9013
2018-01-05,29.2,22.8,25.9,1.0,1.0,3.86,10.2,19.2,99,69,Nganjuk,-7.6044,111.9013
2018-01-06,28.8,23.5,25.8,1.1,1.1,3.03,9.7,14.73,98,75,Nganjuk,-7.6044,111.9013
2018-01-07,27.8,22.9,25.2,24.6,24.6,2.34,6.8,11.21,97,76,Nganjuk,-7.6044,111.9013
2018-01-08,30.1,23.5,26.5,3.6,3.6,3.96,5.4,19.2,98,67,Nganjuk,-7.6044,111.9013
2018-01-09,31.1,23.7,26.6,7.3,7.3,4.02,12.2,19.89,97,68,Nganjuk,-7.6044,111.9013
2018-01-10,29.1,23.6,25.6,4.8,4.8,3.46,8.7,17.33,99,76,Nganjuk,-7.6044,111.9013
2018-01-11,28.4,23.1,25.1,9.1,9.1,2.19,8.7,10.5,99,75,Nganjuk,-7.6044,111.9013
2018-01-12,28.5,22.0,24.8,4.8,4.8,1.96,10.9,9.03,98,71,Nganjuk,-7.6044,111.9013
2018-01-13,30.6,24.0,26.5,7.6,7.6,3.36,21.3,15.07,93,65,Nganjuk,-7.6044,111.9013
2018-01-14,30.5,22.8,26.3,2.5,2.5,3.26,13.1,15.16,98,64,Nganjuk,-7.6044,111.9013
2018-01-15,31.2,23.9,26.8,0.2,0.2,3.83,13.8,17.85,94,58,Nganjuk,-7.6044,111.9013
2018-01-16,29.0,23.6,25.9,3.2,3.2,3.05,20.4,14.38,94,69,Nganjuk,-7.6044,111.9013
2018-01-17,30.0,23.1,26.3,1.6,1.6,3.5,11.3,16.79,92,67,Nganjuk,-7.6044,111.9013
2018-01-18,28.2,23.6,25.4,21.7,21.7,2.29,18.9,11.16,96,76,Nganjuk,-7.6044,111.9013
2018-01-19,28.8,23.3,25.2,3.9,3.9,2.47,6.7,11.96,99,71,Nganjuk,-7.6044,111.9013
2018-01-20,27.9,22.8,24.8,30.5,30.5,2.45,9.0,12.06,100,80,Nganjuk,-7.6044,111.9013
2018-01-21,29.2,22.7,25.0,4.5,4.5,2.28,11.2,10.82,98,64,Nganjuk,-7.6044,111.9013
2018-01-22,29.8,23.0,25.3,10.7,10.7,2.59,17.9,12.02,94,69,Nganjuk,-7.6044,111.9013
2018-01-23,29.5,23.5,25.8,3.2,3.2,3.15,15.5,15.26,97,70,Nganjuk,-7.6044,111.9013
2018-01-24,29.0,23.5,25.6,8.6,8.6,2.86,12.2,13.98,97,73,Nganjuk,-7.6044,111.9013
2018-01-25,27.9,23.4,25.4,9.1,9.1,2.2,19.9,10.73,98,77,Nganjuk,-7.6044,111.9013
2018-01-26,29.9,22.7,25.7,10.5,10.5,3.16,15.7,15.37,98,67,Nganjuk,-7.6044,111.9013
2018-01-27,30.1,23.5,26.4,2.9,2.9,3.67,20.9,17.69,97,68,Nganjuk,-7.6044,111.9013
2018-01-28,28.9,24.1,25.9,3.3,3.3,3.0,24.9,13.32,93,71,Nganjuk,-7.6044,111.9013
2018-01-29,30.0,23.6,26.3,1.7,1.7,3.13,17.4,14.39,94,64,Nganjuk,-7.6044,111.9013
2018-01-30,30.0,22.1,25.9,2.5,2.5,4.06,13.6,19.49,97,62,Nganjuk,-7.6044,111.9013
2018-01-31,30.0,23.5,26.1,2.7,2.7,3.58,21.9,17.51,95,67,Nganjuk,-7.6044,111.9013
2018-02-01,29.0,23.8,25.5,8.8,8.8,2.78,23.8,13.87,98,73,Nganjuk,-7.6044,111.9013
2018-02-02,27.8,23.0,25.4,5.5,5.5,2.79,14.1,13.85,98,80,Nganjuk,-7.6044,111.9013
2018-02-03,28.3,23.6,25.2,16.3,16.3,2.92,22.4,15.34,96,73,Nganjuk,-7.6044,111.9013
2018-02-04,29.2,22.9,25.5,11.3,11.3,3.33,18.8,16.66,96,69,Nganjuk,-7.6044,111.9013
2018-02-05,27.5,22.5,24.7,3.7,3.7,2.2,12.2,11.02,99,84,Nganjuk,-7.6044,111.9013
2018-02-06,29.0,22.9,25.0,4.0,4.0,3.17,17.2,15.77,99,66,Nganjuk,-7.6044,111.9013
2018-02-07,28.2,22.5,25.0,21.0,21.0,3.21,16.8,16.4,96,74,Nganjuk,-7.6044,111.9013
2018-02-08,28.3,23.2,24.9,19.1,19.1,2.44,17.9,12.44,97,81,Nganjuk,-7.6044,111.9013
2018-02-09,27.0,23.0,24.7,11.5,11.5,2.38,8.0,11.87,97,87,Nganjuk,-7.6044,111.9013
2018-02-10,30.0,22.5,25.5,4.7,4.7,3.89,14.5,19.36,98,66,Nganjuk,-7.6044,111.9013
2018-02-11,28.9,23.4,25.3,20.7,20.7,3.13,19.7,16.06,99,75,Nganjuk,-7.6044,111.9013
2018-02-12,28.8,23.5,25.5,8.2,8.2,2.58,20.1,11.8,96,71,Nganjuk,-7.6044,111.9013
2018-02-13,29.6,23.2,25.5,5.6,5.6,2.81,19.5,13.77,95,71,Nganjuk,-7.6044,111.9013
2018-02-14,29.4,23.8,26.0,2.5,2.5,3.07,16.5,14.52,94,69,Nganjuk,-7.6044,111.9013
2018-02-15,29.4,22.7,25.2,16.3,16.3,2.62,12.1,12.79,97,69,Nganjuk,-7.6044,111.9013
2018-02-16,30.4,23.3,25.9,5.1,5.1,2.99,19.7,13.99,98,66,Nganjuk,-7.6044,111.9013
2018-02-17,30.1,23.4,26.3,3.7,3.7,3.75,15.5,18.49,96,68,Nganjuk,-7.6044,111.9013
2018-02-18,30.2,22.8,26.2,4.7,4.7,3.74,12.9,18.38,97,67,Nganjuk,-7.6044,111.9013
2018-02-19,29.6,22.9,25.7,17.0,17.0,3.44,9.3,16.97,96,74,Nganjuk,-7.6044,111.9013
2018-02-20,29.5,22.9,25.8,12.7,12.7,3.42,11.3,17.06,99,69,Nganjuk,-7.6044,111.9013
2018-02-21,30.3,23.4,25.8,15.1,15.1,3.78,7.4,18.45,98,71,Nganjuk,-7.6044,111.9013
2018-02-22,28.5,23.0,25.2,28.1,28.1,2.8,5.1,13.5,99,76,Nganjuk,-7.6044,111.9013
2018-02-23,29.1,23.1,25.2,25.8,25.8,2.8,9.7,13.79,99,74,Nganjuk,-7.6044,111.9013
2018-02-24,28.5,23.1,25.1,6.7,6.7,2.4,12.2,11.58,98,74,Nganjuk,-7.6044,111.9013
2018-02-25,27.9,23.0,25.1,4.1,4.1,2.77,6.3,13.83,97,79,Nganjuk,-7.6044,111.9013
2018-02-26,28.7,23.3,25.3,0.8,0.8,2.7,9.1,13.02,95,69,Nganjuk,-7.6044,111.9013
2018-02-27,29.9,23.0,26.2,0.4,0.4,4.56,9.9,22.45,92,68,Nganjuk,-7.6044,111.9013
2018-02-28,29.8,23.6,26.4,1.0,1.0,4.09,10.5,19.85,94,68,Nganjuk,-7.6044,111.9013
2018-03-01,29.8,24.1,26.0,3.8,3.8,3.22,12.1,15.72,96,69,Nganjuk,-7.6044,111.9013
2018-03-02,28.6,23.0,26.1,1.5,1.5,3.52,6.7,17.41,96,74,Nganjuk,-7.6044,111.9013
