tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,30.1,23.5,26.5,2.4,2.4,4.24,14.8,20.7,92,66,Ngawi,-7.4008,111.4492
2018-01-02,28.5,24.1,26.0,8.1,8.1,3.2,9.6,15.86,97,74,Ngawi,-7.4008,111.4492
2018-01-03,31.4,23.6,26.2,18.4,18.4,3.88,6.9,18.95,99,65,Ngawi,-7.4008,111.4492
2018-01-04,30.0,23.9,25.8,33.4,33.4,3.05,8.4,14.91,98,71,Ngawi,-7.4008,111.4492
2018-01-05,29.6,23.2,25.9,2.7,2.7,3.61,7.9,17.91,98,71,Ngawi,-7.4008,111.4492
2018-01-06,29.2,23.4,25.8,5.4,5.4,3.22,10.1,15.58,97,73,Ngawi,-7.4008,111.4492
2018-01-07,27.9,23.0,25.1,19.5,19.5,2.29,9.9,11.1,96,77,Ngawi,-7.4008,111.4492
2018-01-08,30.8,23.5,26.3,0.6,0.6,4.27,6.6,20.84,97,62,Ngawi,-7.4008,111.4492
2018-01-09,31.1,23.6,26.3,11.1,11.1,3.95,12.1,19.44,98,67,Ngawi,-7.4008,111.4492
2018-01-10,30.0,23.6,26.0,11.4,11.4,3.66,10.8,17.91,97,68,Ngawi,-7.4008,111.4492
2018-01-11,29.6,22.9,25.4,3.7,3.7,2.42,16.3,11.08,98,64,Ngawi,-7.4008,111.4492
2018-01-12,29.6,22.1,25.2,4.6,4.6,2.65,12.2,12.02,97,64,Ngawi,-7.4008,111.4492
2018-01-13,30.1,24.0,26.6,4.3,4.3,3.52,21.9,16.28,92,62,Ngawi,-7.4008,111.4492
2018-01-14,30.5,22.8,26.0,3.3,3.3,3.45,15.3,16.48,97,60,Ngawi,-7.4008,111.4492
2018-01-15,31.0,23.5,26.8,0.4,0.4,4.32,16.6,19.56,93,56,Ngawi,-7.4008,111.4492
2018-01-16,29.5,23.5,25.9,5.8,5.8,3.44,18.7,15.94,94,74,Ngawi,-7.4008,111.4492
2018-01-17,30.3,23.5,26.2,8.8,8.8,3.49,13.7,16.44,91,65,Ngawi,-7.4008,111.4492
2018-01-18,28.5,23.3,25.4,19.8,19.8,2.22,15.5,10.5,96,72,Ngawi,-7.4008,111.4492
2018-01-19,28.9,23.4,25.3,3.6,3.6,2.55,8.5,12.11,98,73,Ngawi,-7.4008,111.4492
2018-01-20,28.4,22.8,24.9,12.6,12.6,2.49,11.7,12.07,100,76,Ngawi,-7.4008,111.4492
2018-01-21,29.1,22.2,25.2,0.9,0.9,2.78,16.2,12.63,99,65,Ngawi,-7.4008,111.4492
2018-01-22,28.9,22.7,25.1,24.7,24.7,2.62,17.9,12.78,95,74,Ngawi,-7.4008,111.4492
2018-01-23,29.6,23.0,25.3,7.0,7.0,3.32,18.7,16.78,99,68,Ngawi,-7.4008,111.4492
2018-01-24,30.0,22.9,25.5,16.1,16.1,3.0,13.7,14.73,98,71,Ngawi,-7.4008,111.4492
2018-01-25,29.0,22.2,25.1,7.7,7.7,2.66,24.5,13.23,99,74,Ngawi,-7.4008,111.4492
2018-01-26,30.4,23.1,25.6,12.3,12.3,3.4,20.9,16.79,98,61,Ngawi,-7.4008,111.4492
2018-01-27,30.0,23.5,26.5,2.2,2.2,3.77,20.3,17.13,96,68,Ngawi,-7.4008,111.4492
2018-01-28,29.3,24.0,26.1,6.3,6.3,3.48,24.5,15.51,95,66,Ngawi,-7.4008,111.4492
2018-01-29,29.8,23.4,26.0,3.1,3.1,3.45,24.8,16.33,95,67,Ngawi,-7.4008,111.4492
2018-01-30,30.5,21.6,25.5,4.0,4.0,4.3,17.2,21.06,99,58,Ngawi,-7.4008,111.4492
2018-01-31,29.9,23.8,26.2,3.6,3.6,3.61,22.5,17.05,96,67,Ngawi,-7.4008,111.4492
2018-02-01,29.8,23.5,25.6,10.6,10.6,3.11,24.8,15.61,95,69,Ngawi,-7.4008,111.4492
2018-02-02,29.1,22.8,25.3,21.8,21.8,3.18,15.6,15.9,97,72,Ngawi,-7.4008,111.4492
2018-02-03,27.9,23.3,25.2,5.5,5.5,2.91,22.2,15.02,98,77,Ngawi,-7.4008,111.4492
2018-02-04,29.0,22.2,25.3,9.7,9.7,3.22,16.8,16.61,96,75,Ngawi,-7.4008,111.4492
2018-02-05,26.5,23.0,24.4,6.6,6.6,1.49,11.4,6.86,97,81,Ngawi,-7.4008,111.4492
