tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.1,24.5,26.0,12.7,12.7,3.29,10.6,16.72,96,81,Pacitan,-8.1845,111.1014
2018-01-02,28.0,24.6,25.8,3.0,3.0,2.56,11.3,12.51,94,76,Pacitan,-8.1845,111.1014
2018-01-03,29.6,24.3,26.6,4.9,4.9,4.11,9.2,20.78,96,79,Pacitan,-8.1845,111.1014
2018-01-04,28.5,24.5,26.0,24.7,24.7,3.17,11.9,16.07,97,80,Pacitan,-8.1845,111.1014
2018-01-05,27.7,24.3,25.6,22.8,22.8,2.42,12.7,11.87,96,82,Pacitan,-8.1845,111.1014
2018-01-06,28.0,24.4,25.9,11.1,11.1,2.62,17.3,12.76,93,78,Pacitan,-8.1845,111.1014
2018-01-07,28.9,24.6,26.1,8.5,8.5,2.83,15.5,13.21,90,76,Pacitan,-8.1845,111.1014
2018-01-08,29.3,24.1,26.4,15.6,15.6,3.33,11.5,16.5,96,76,Pacitan,-8.1845,111.1014
2018-01-09,29.6,24.4,26.7,3.8,3.8,3.47,7.8,16.92,96,74,Pacitan,-8.1845,111.1014
2018-01-10,28.6,23.9,25.8,21.1,21.1,3.41,14.3,18.07,94,82,Pacitan,-8.1845,111.1014
2018-01-11,28.8,24.5,26.2,6.8,6.8,2.64,17.8,11.47,92,73,Pacitan,-8.1845,111.1014
2018-01-12,28.9,23.8,26.1,12.2,12.2,2.33,15.6,9.57,96,66,Pacitan,-8.1845,111.1014
2018-01-13,29.7,24.6,26.9,11.9,11.9,3.42,10.4,15.56,96,70,Pacitan,-8.1845,111.1014
2018-01-14,29.9,24.6,26.6,3.4,3.4,3.56,18.7,16.01,93,65,Pacitan,-8.1845,111.1014
2018-01-15,29.6,25.1,26.8,0.7,0.7,3.98,18.7,18.18,88,66,Pacitan,-8.1845,111.1014
2018-01-16,27.6,24.5,25.9,1.9,1.9,1.7,12.0,6.87,94,77,Pacitan,-8.1845,111.1014
2018-01-17,29.9,25.1,26.8,1.5,1.5,3.95,15.3,19.55,91,73,Pacitan,-8.1845,111.1014
2018-01-18,29.4,23.9,26.3,8.1,8.1,3.01,9.2,14.6,93,76,Pacitan,-8.1845,111.1014
2018-01-19,28.1,23.9,25.4,15.4,15.4,2.5,19.5,13.06,95,82,Pacitan,-8.1845,111.1014
2018-01-20,27.4,24.2,25.0,50.0,50.0,1.79,18.5,8.5,93,84,Pacitan,-8.1845,111.1014
2018-01-21,27.1,23.6,25.0,40.0,40.0,1.48,17.6,6.31,94,82,Pacitan,-8.1845,111.1014
2018-01-22,27.5,23.9,25.5,15.2,15.2,2.39,19.7,11.62,95,81,Pacitan,-8.1845,111.1014
2018-01-23,28.2,24.8,26.1,11.2,11.2,3.35,17.7,16.61,92,75,Pacitan,-8.1845,111.1014
2018-01-24,29.0,24.4,26.4,6.0,6.0,3.35,15.3,16.12,95,74,Pacitan,-8.1845,111.1014
2018-01-25,26.5,23.9,25.2,19.5,19.5,1.41,22.0,5.57,96,83,Pacitan,-8.1845,111.1014
2018-01-26,28.1,24.9,26.0,11.9,11.9,2.91,22.4,14.05,91,77,Pacitan,-8.1845,111.1014
2018-01-27,30.2,24.6,27.0,2.0,2.0,4.52,18.8,21.72,92,68,Pacitan,-8.1845,111.1014
