tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,29.1,24.2,26.0,11.6,11.6,3.0,7.5,14.91,96,72,Pamekasan,-7.1575,113.4742
2018-01-02,28.8,23.4,25.9,19.6,19.6,3.05,11.5,15.42,99,77,Pamekasan,-7.1575,113.4742
2018-01-03,29.8,24.1,26.5,1.3,1.3,3.52,9.8,17.79,96,72,Pamekasan,-7.1575,113.4742
2018-01-04,28.3,24.4,25.9,18.1,18.1,3.01,9.0,15.19,95,80,Pamekasan,-7.1575,113.4742
2018-01-05,28.7,24.0,25.8,19.1,19.1,3.24,8.4,16.36,96,77,Pamekasan,-7.1575,113.4742
2018-01-06,30.1,23.9,26.0,13.0,13.0,3.31,9.5,16.57,95,78,Pamekasan,-7.1575,113.4742
2018-01-07,27.4,23.9,25.2,17.4,17.4,2.03,12.2,10.03,94,85,Pamekasan,-7.1575,113.4742
2018-01-08,30.4,23.8,26.2,10.4,10.4,3.39,7.2,16.69,98,67,Pamekasan,-7.1575,113.4742
2018-01-09,30.5,23.6,26.2,16.9,16.9,3.78,7.3,18.86,98,74,Pamekasan,-7.1575,113.4742
2018-01-10,30.9,23.8,26.3,16.8,16.8,4.18,13.5,20.81,98,62,Pamekasan,-7.1575,113.4742
2018-01-11,29.4,22.9,25.1,12.7,12.7,2.5,16.2,12.36,99,70,Pamekasan,-7.1575,113.4742
2018-01-12,30.6,22.5,26.1,1.2,1.2,3.58,19.7,15.16,89,59,Pamekasan,-7.1575,113.4742
2018-01-13,30.1,24.8,26.9,3.0,3.0,3.16,14.4,13.5,89,65,Pamekasan,-7.1575,113.4742
2018-01-14,29.5,24.2,25.9,6.9,6.9,2.69,16.2,12.83,94,72,Pamekasan,-7.1575,113.4742
2018-01-15,29.0,24.6,26.2,3.9,3.9,2.63,14.4,11.87,95,69,Pamekasan,-7.1575,113.4742
2018-01-16,29.9,24.2,26.4,1.9,1.9,3.31,17.9,14.31,93,66,Pamekasan,-7.1575,113.4742
2018-01-17,29.3,24.2,26.0,1.6,1.6,2.44,13.4,11.06,97,70,Pamekasan,-7.1575,113.4742
2018-01-18,30.0,23.8,25.8,19.3,19.3,3.2,14.1,16.07,98,70,Pamekasan,-7.1575,113.4742
2018-01-19,29.2,22.8,25.1,17.5,17.5,2.63,12.0,13.28,98,74,Pamekasan,-7.1575,113.4742
2018-01-20,30.5,23.7,25.4,20.7,20.7,3.14,13.7,15.42,97,65,Pamekasan,-7.1575,113.4742
2018-01-21,28.0,23.0,25.1,14.2,14.2,2.16,13.7,10.4,98,76,Pamekasan,-7.1575,113.4742
2018-01-22,28.1,24.6,25.7,11.2,11.2,2.96,18.6,14.82,91,75,Pamekasan,-7.1575,113.4742
2018-01-23,29.0,24.2,25.7,7.1,7.1,2.91,19.3,14.41,93,77,Pamekasan,-7.1575,113.4742
2018-01-24,29.2,24.5,25.9,11.7,11.7,3.36,18.0,17.65,94,77,Pamekasan,-7.1575,113.4742
2018-01-25,28.1,24.5,26.1,11.2,11.2,3.1,18.4,14.9,97,77,Pamekasan,-7.1575,113.4742
2018-01-26,30.0,25.0,26.6,6.3,6.3,4.08,19.3,18.82,88,66,Pamekasan,-7.1575,113.4742
2018-01-27,30.0,25.1,27.1,1.0,1.0,4.44,25.2,20.34,89,68,Pamekasan,-7.1575,113.4742
2018-01-28,28.0,25.3,26.5,3.4,3.4,3.64,23.4,17.0,88,77,Pamekasan,-7.1575,113.4742
2018-01-29,29.9,24.8,27.1,1.4,1.4,4.47,27.1,18.94,88,67,Pamekasan,-7.1575,113.4742
2018-01-30,29.5,24.9,26.8,1.6,1.6,4.43,18.4,19.63,88,69,Pamekasan,-7.1575,113.4742
2018-01-31,28.5,24.3,26.1,0.7,0.7,3.11,22.5,13.9,90,74,Pamekasan,-7.1575,113.4742
2018-02-01,29.1,24.4,26.3,3.3,3.3,3.51,21.4,17.18,93,75,Pamekasan,-7.1575,113.4742
2018-02-02,28.9,24.1,25.8,9.8,9.8,3.02,15.5,15.16,94,73,Pamekasan,-7.1575,113.4742
2018-02-03,28.3,24.0,26.0,9.1,9.1,3.45,17.8,17.45,94,74,Pamekasan,-7.1575,113.4742
2018-02-04,30.6,23.5,26.0,9.1,9.1,4.07,14.2,20.7,99,69,Pamekasan,-7.1575,113.4742
2018-02-05,29.7,24.2,25.4,25.7,25.7,2.96,13.2,14.92,98,73,Pamekasan,-7.1575,113.4742
2018-02-06,29.3,24.4,26.3,0.0,0.0,3.99,17.1,17.86,91,64,Pamekasan,-7.1575,113.4742
2018-02-07,28.2,24.1,25.5,9.7,9.7,3.05,15.7,14.53,93,73,Pamekasan,-7.1575,113.4742
2018-02-08,28.1,23.7,24.8,25.5,25.5,1.97,13.3,10.21,98,76,Pamekasan,-7.1575,113.4742
2018-02-09,28.7,23.8,25.2,22.2,22.2,2.79,13.5,14.43,99,75,Pamekasan,-7.1575,113.4742
2018-02-10,29.6,23.3,25.6,4.5,4.5,3.37,11.7,16.65,97,74,Pamekasan,-7.1575,113.4742
2018-02-11,28.6,23.2,25.1,17.7,17.7,3.13,13.7,16.45,98,75,Pamekasan,-7.1575,113.4742
2018-02-12,29.0,23.1,25.6,6.5,6.5,3.12,16.7,15.51,95,77,Pamekasan,-7.1575,113.4742
2018-02-13,30.1,24.3,26.0,4.1,4.1,3.78,22.8,18.46,91,68,Pamekasan,-7.1575,113.4742
2018-02-14,29.6,24.3,26.5,8.3,8.3,3.81,18.5,17.52,90,69,Pamekasan,-7.1575,113.4742
