tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,30.7,23.3,26.8,0.3,0.3,3.86,13.1,17.28,90,62,Ponorogo,-7.8665,111.4639
2018-01-02,30.2,24.4,26.7,17.9,17.9,2.97,14.0,14.05,90,70,Ponorogo,-7.8665,111.4639
2018-01-03,31.0,23.2,26.9,5.3,5.3,3.47,8.2,16.44,93,67,Ponorogo,-7.8665,111.4639
2018-01-04,30.4,24.0,26.6,15.2,15.2,3.08,11.5,14.4,97,67,Ponorogo,-7.8665,111.4639
2018-01-05,30.0,24.2,26.6,10.7,10.7,3.51,8.7,16.93,92,69,Ponorogo,-7.8665,111.4639
2018-01-06,30.1,24.0,26.6,6.2,6.2,3.5,12.8,16.08,92,64,Ponorogo,-7.8665,111.4639
2018-01-07,28.7,24.0,25.7,8.3,8.3,2.56,10.9,11.56,96,72,Ponorogo,-7.8665,111.4639
2018-01-08,30.4,23.8,26.6,0.8,0.8,3.92,9.9,18.93,93,65,Ponorogo,-7.8665,111.4639
2018-01-09,30.7,24.1,26.6,4.5,4.5,3.64,8.6,17.64,95,67,Ponorogo,-7.8665,111.4639
2018-01-10,31.2,23.5,26.5,18.4,18.4,3.79,10.8,18.01,93,62,Ponorogo,-7.8665,111.4639
2018-01-11,30.5,23.8,26.6,0.0,0.0,3.16,11.5,13.01,91,61,Ponorogo,-7.8665,111.4639
2018-01-12,30.3,23.4,25.9,7.6,7.6,2.73,15.6,11.13,92,55,Ponorogo,-7.8665,111.4639
2018-01-13,30.2,23.5,26.6,3.5,3.5,3.4,11.7,16.13,93,66,Ponorogo,-7.8665,111.4639
2018-01-14,31.9,23.5,27.5,3.4,3.4,4.95,16.7,22.29,91,52,Ponorogo,-7.8665,111.4639
2018-01-15,31.7,24.0,27.1,0.2,0.2,4.6,15.1,20.72,85,53,Ponorogo,-7.8665,111.4639
2018-01-16,29.2,23.5,26.1,2.9,2.9,3.29,14.5,15.39,93,67,Ponorogo,-7.8665,111.4639
2018-01-17,29.7,23.5,26.2,3.7,3.7,3.35,10.5,15.89,91,67,Ponorogo,-7.8665,111.4639
2018-01-18,29.9,23.6,25.7,17.2,17.2,3.08,14.9,15.01,95,67,Ponorogo,-7.8665,111.4639
2018-01-19,29.5,23.4,25.5,8.3,8.3,2.69,12.8,12.36,93,68,Ponorogo,-7.8665,111.4639
2018-01-20,28.5,23.5,25.2,14.5,14.5,2.23,13.5,9.81,92,69,Ponorogo,-7.8665,111.4639
2018-01-21,29.4,23.3,25.8,5.9,5.9,3.34,14.2,14.68,90,66,Ponorogo,-7.8665,111.4639
2018-01-22,29.4,23.8,25.7,18.3,18.3,2.74,11.6,12.5,93,70,Ponorogo,-7.8665,111.4639
2018-01-23,30.0,23.5,26.0,7.3,7.3,3.54,13.4,16.78,92,67,Ponorogo,-7.8665,111.4639
2018-01-24,29.3,23.2,26.0,8.5,8.5,3.3,10.9,15.75,94,71,Ponorogo,-7.8665,111.4639
2018-01-25,28.2,23.9,25.7,9.3,9.3,2.31,13.2,9.58,92,76,Ponorogo,-7.8665,111.4639
2018-01-26,30.9,24.0,26.4,13.1,13.1,3.85,18.1,17.33,86,62,Ponorogo,-7.8665,111.4639
2018-01-27,29.6,23.4,26.4,1.1,1.1,3.54,13.6,16.99,94,71,Ponorogo,-7.8665,111.4639
2018-01-28,28.9,24.4,26.0,2.9,2.9,2.61,16.6,11.66,92,74,Ponorogo,-7.8665,111.4639
2018-01-29,29.5,23.9,26.5,16.6,16.6,3.66,18.1,17.13,91,69,Ponorogo,-7.8665,111.4639
2018-01-30,30.2,23.3,26.3,9.3,9.3,4.39,14.2,21.06,89,65,Ponorogo,-7.8665,111.4639
2018-01-31,30.4,22.7,26.3,19.1,19.1,4.16,8.8,20.1,89,67,Ponorogo,-7.8665,111.4639
2018-02-01,30.8,23.9,26.2,10.3,10.3,3.3,9.3,15.44,95,68,Ponorogo,-7.8665,111.4639
2018-02-02,29.3,23.9,25.7,4.0,4.0,2.92,13.1,14.31,94,71,Ponorogo,-7.8665,111.4639
2018-02-03,27.9,23.0,25.4,2.7,2.7,2.47,9.9,11.57,97,77,Ponorogo,-7.8665,111.4639
2018-02-04,29.4,23.2,26.2,2.1,2.1,4.23,8.4,20.87,92,67,Ponorogo,-7.8665,111.4639
2018-02-05,29.0,23.6,25.9,5.1,5.1,2.7,11.3,12.39,88,72,Ponorogo,-7.8665,111.4639
2018-02-06,30.5,23.4,25.9,7.5,7.5,3.65,12.5,16.92,86,57,Ponorogo,-7.8665,111.4639
2018-02-07,28.8,23.0,25.4,6.4,6.4,3.31,10.1,15.94,88,71,Ponorogo,-7.8665,111.4639
2018-02-08,29.1,23.0,25.3,17.6,17.6,3.21,11.4,15.63,92,71,Ponorogo,-7.8665,111.4639
2018-02-09,29.0,23.4,25.6,23.9,23.9,3.03,10.6,14.27,89,69,Ponorogo,-7.8665,111.4639
2018-02-10,30.6,22.0,25.9,3.7,3.7,4.4,8.9,21.47,91,67,Ponorogo,-7.8665,111.4639
2018-02-11,29.2,23.8,25.8,2.9,2.9,3.46,16.1,17.02,93,67,Ponorogo,-7.8665,111.4639
2018-02-12,28.5,23.2,25.4,1.2,1.2,2.5,11.6,11.97,95,72,Ponorogo,-7.8665,111.4639
2018-02-13,30.5,22.9,26.4,4.4,4.4,3.72,12.8,17.8,90,65,Ponorogo,-7.8665,111.4639
2018-02-14,30.2,23.5,26.5,5.2,5.2,3.55,10.5,16.29,88,65,Ponorogo,-7.8665,111.4639
2018-02-15,29.7,24.0,26.0,19.6,19.6,3.23,11.2,15.04,90,71,Ponorogo,-7.8665,111.4639
2018-02-16,31.6,22.9,26.3,2.7,2.7,3.92,12.6,17.89,92,55,Ponorogo,-7.8665,111.4639
2018-02-17,30.9,23.2,26.5,1.1,1.1,4.14,13.6,19.05,91,62,Ponorogo,-7.8665,111.4639
2018-02-18,30.5,22.2,26.2,9.1,9.1,3.88,10.7,18.53,91,68,Ponorogo,-7.8665,111.4639
2018-02-19,30.0,23.8,26.1,12.8,12.8,3.76,8.8,18.22,95,70,Ponorogo,-7.8665,111.4639
2018-02-20,30.3,23.5,26.5,13.5,13.5,3.94,10.2,19.02,91,69,Ponorogo,-7.8665,111.4639
2018-02-21,30.8,23.3,26.4,3.2,3.2,4.22,8.3,20.65,95,64,Ponorogo,-7.8665,111.4639
2018-02-22,29.2,23.6,25.7,11.5,11.5,2.73,7.6,13.0,95,72,Ponorogo,-7.8665,111.4639
2018-02-23,29.7,23.7,25.7,13.0,13.0,3.04,11.2,14.76,95,69,Ponorogo,-7.8665,111.4639
2018-02-24,29.2,23.6,26.0,15.3,15.3,3.12,13.0,15.18,95,71,Ponorogo,-7.8665,111.4639
2018-02-25,30.7,23.9,26.4,4.6,4.6,3.48,9.7,16.24,94,65,Ponorogo,-7.8665,111.4639
2018-02-26,30.0,24.0,25.9,2.4,2.4,2.77,10.5,12.95,93,67,Ponorogo,-7.8665,111.4639
2018-02-27,31.0,22.6,26.7,0.2,0.2,4.67,10.8,22.15,94,61,Ponorogo,-7.8665,111.4639
2018-02-28,30.6,22.5,26.9,0.6,0.6,4.38,6.5,21.28,97,64,Ponorogo,-7.8665,111.4639
2018-03-01,30.1,24.0,26.6,5.3,5.3,3.49,15.6,16.96,92,68,Ponorogo,-7.8665,111.4639
2018-03-02,30.4,23.4,26.7,4.4,4.4,3.79,7.9,18.27,94,68,Ponorogo,-7.8665,111.4639
2018-03-03,30.5,23.8,26.5,2.0,2.0,3.65,9.8,17.72,96,69,Ponorogo,-7.8665,111.4639
2018-03-04,29.0,23.4,26.4,0.1,0.1,2.84,6.5,13.66,97,73,Ponorogo,-7.8665,111.4639
2018-03-05,30.0,24.5,26.4,0.4,0.4,3.2,11.0,15.36,96,71,Ponorogo,-7.8665,111.4639
2018-03-06,31.1,23.8,27.1,0.9,0.9,4.05,7.2,19.57,93,65,Ponorogo,-7.8665,111.4639
2018-03-07,30.0,24.0,26.3,14.3,14.3,3.17,10.0,15.29,94,71,Ponorogo,-7.8665,111.4639
2018-03-08,29.8,23.7,26.2,7.7,7.7,3.62,6.7,17.85,96,69,Ponorogo,-7.8665,111.4639
2018-03-09,31.0,23.4,26.9,3.2,3.2,4.36,12.9,21.23,92,64,Ponorogo,-7.8665,111.4639
2018-03-10,29.6,23.9,26.6,2.4,2.4,3.84,10.8,18.66,95,66,Ponorogo,-7.8665,111.4639
2018-03-11,30.3,24.4,26.5,9.5,9.5,3.57,9.5,17.3,94,67,Ponorogo,-7.8665,111.4639
2018-03-12,31.2,23.7,27.0,1.4,1.4,4.26,9.5,20.39,93,58,Ponorogo,-7.8665,111.4639
2018-03-13,30.2,23.4,26.4,2.3,2.3,3.3,8.4,15.53,94,63,Ponorogo,-7.8665,111.4639
2018-03-14,31.0,24.0,26.9,1.1,1.1,4.24,12.5,19.41,93,62,Ponorogo,-7.8665,111.4639
2018-03-15,31.5,21.6,26.4,1.0,1.0,4.76,13.7,22.58,97,58,Ponorogo,-7.8665,111.4639
2018-03-16,30.9,23.4,26.4,6.7,6.7,3.95,9.5,19.11,94,65,Ponorogo,-7.8665,111.4639
2018-03-17,30.0,23.5,25.8,9.1,9.1,3.8,11.2,18.91,97,68,Ponorogo,-7.8665,111.4639
2018-03-18,30.0,22.2,25.8,6.1,6.1,3.85,9.3,18.75,94,66,Ponorogo,-7.8665,111.4639
2018-03-19,30.8,22.9,26.7,1.8,1.8,4.43,13.7,21.3,90,61,Ponorogo,-7.8665,111.4639
2018-03-20,32.8,22.1,27.0,0.0,0.0,5.59,10.4,26.28,87,51,Ponorogo,-7.8665,111.4639
2018-03-21,30.5,21.6,26.4,0.0,0.0,4.61,15.8,22.2,91,67,Ponorogo,-7.8665,111.4639
2018-03-22,30.0,24.0,25.8,8.3,8.3,3.13,17.9,15.0,92,67,Ponorogo,-7.8665,111.4639
2018-03-23,32.6,22.8,27.3,0.5,0.5,5.11,14.9,23.57,95,55,Ponorogo,-7.8665,111.4639
2018-03-24,29.4,22.8,26.3,0.5,0.5,3.88,12.1,18.62,96,67,Ponorogo,-7.8665,111.4639
2018-03-25,30.6,23.1,26.5,5.0,5.0,4.29,18.2,20.73,92,62,Ponorogo,-7.8665,111.4639
2018-03-26,31.1,22.5,26.4,4.3,4.3,4.46,12.4,21.51,92,61,Ponorogo,-7.8665,111.4639
2018-03-27,30.2,23.6,26.6,1.9,1.9,3.7,12.8,17.43,92,68,Ponorogo,-7.8665,111.4639
2018-03-28,31.6,23.5,26.7,1.1,1.1,4.61,10.2,21.7,92,56,Ponorogo,-7.8665,111.4639
2018-03-29,33.2,22.8,27.2,0.0,0.0,5.26,12.9,24.3,90,49,Ponorogo,-7.8665,111.4639
2018-03-30,31.4,23.5,26.9,0.7,0.7,4.43,9.0,20.84,90,61,Ponorogo,-7.8665,111.4639
2018-03-31,31.5,24.1,27.3,2.0,2.0,4.46,12.8,21.0,87,60,Ponorogo,-7.8665,111.4639
