tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,29.1,24.5,26.8,14.1,14.1,3.84,10.1,18.62,94,71,Probolinggo,-7.7543,113.2159
2018-01-02,29.8,24.9,26.9,6.6,6.6,3.92,9.4,19.51,96,74,Probolinggo,-7.7543,113.2159
2018-01-03,29.6,24.7,27.3,2.3,2.3,4.07,12.8,20.08,94,72,Probolinggo,-7.7543,113.2159
2018-01-04,29.1,25.3,27.0,15.0,15.0,3.73,10.2,18.59,96,74,Probolinggo,-7.7543,113.2159
2018-01-05,30.0,24.8,27.1,17.7,17.7,4.4,10.6,21.86,95,73,Probolinggo,-7.7543,113.2159
2018-01-06,29.8,25.0,27.0,8.4,8.4,3.92,7.4,19.41,96,75,Probolinggo,-7.7543,113.2159
2018-01-07,27.5,24.8,25.9,18.2,18.2,1.93,13.8,9.24,93,84,Probolinggo,-7.7543,113.2159
2018-01-08,29.5,24.6,26.9,1.2,1.2,3.77,9.4,18.11,95,71,Probolinggo,-7.7543,113.2159
2018-01-09,30.0,24.8,26.9,3.6,3.6,3.4,8.8,16.41,93,74,Probolinggo,-7.7543,113.2159
2018-01-10,30.9,25.0,27.1,7.4,7.4,3.82,10.1,18.02,97,67,Probolinggo,-7.7543,113.2159
2018-01-11,28.1,23.8,25.7,12.3,12.3,1.97,11.7,8.88,93,81,Probolinggo,-7.7543,113.2159
2018-01-12,29.1,22.6,26.0,0.7,0.7,2.68,13.1,12.39,93,74,Probolinggo,-7.7543,113.2159
2018-01-13,28.4,24.4,26.3,3.4,3.4,2.23,12.6,9.43,92,75,Probolinggo,-7.7543,113.2159
2018-01-14,28.1,24.4,26.4,3.0,3.0,2.19,10.4,9.69,90,76,Probolinggo,-7.7543,113.2159
2018-01-15,28.5,24.5,26.3,3.4,3.4,2.88,8.2,13.44,94,72,Probolinggo,-7.7543,113.2159
