tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,29.0,24.2,26.5,3.5,3.5,3.29,7.6,16.14,95,72,Sampang,-7.1936,113.2489
2018-01-02,28.5,24.5,26.4,10.0,10.0,3.23,11.7,16.15,96,79,Sampang,-7.1936,113.2489
2018-01-03,30.3,24.6,27.0,11.5,11.5,3.8,10.8,19.14,97,74,Sampang,-7.1936,113.2489
2018-01-04,28.4,24.9,26.6,9.9,9.9,3.16,8.2,15.88,97,81,Sampang,-7.1936,113.2489
2018-01-05,29.6,24.7,26.8,5.6,5.6,3.99,10.4,19.93,95,72,Sampang,-7.1936,113.2489
2018-01-06,29.8,24.6,26.8,4.7,4.7,3.9,9.1,19.27,96,74,Sampang,-7.1936,113.2489
2018-01-07,27.8,24.4,25.7,15.0,15.0,2.19,16.1,10.83,95,83,Sampang,-7.1936,113.2489
2018-01-08,30.2,24.3,26.5,11.4,11.4,3.55,9.1,17.48,96,70,Sampang,-7.1936,113.2489
2018-01-09,29.8,24.3,26.7,5.7,5.7,4.01,11.3,19.9,97,75,Sampang,-7.1936,113.2489
2018-01-10,30.4,25.1,27.0,11.3,11.3,4.18,16.5,20.83,95,70,Sampang,-7.1936,113.2489
2018-01-11,28.7,25.0,26.3,13.6,13.6,2.92,17.4,13.6,94,74,Sampang,-7.1936,113.2489
2018-01-12,30.5,24.7,27.0,0.7,0.7,3.64,17.2,15.35,89,64,Sampang,-7.1936,113.2489
2018-01-13,30.6,25.6,27.5,4.6,4.6,3.93,19.1,18.34,90,68,Sampang,-7.1936,113.2489
2018-01-14,29.0,25.2,26.8,3.2,3.2,2.79,17.5,13.09,92,74,Sampang,-7.1936,113.2489
2018-01-15,29.9,25.6,27.2,6.3,6.3,3.27,17.6,14.85,92,68,Sampang,-7.1936,113.2489
2018-01-16,30.0,25.2,27.3,0.8,0.8,4.22,21.0,19.04,89,68,Sampang,-7.1936,113.2489
2018-01-17,30.1,25.8,27.0,3.2,3.2,3.18,15.9,14.39,91,70,Sampang,-7.1936,113.2489
2018-01-18,29.6,25.1,26.6,17.0,17.0,3.37,14.6,16.98,93,72,Sampang,-7.1936,113.2489
2018-01-19,29.4,24.2,26.3,13.0,13.0,2.88,14.9,13.98,95,73,Sampang,-7.1936,113.2489
2018-01-20,29.6,25.1,26.3,14.1,14.1,3.35,15.9,16.05,96,68,Sampang,-7.1936,113.2489
2018-01-21,29.0,25.0,26.3,9.9,9.9,2.69,18.4,12.29,94,69,Sampang,-7.1936,113.2489
2018-01-22,28.5,25.1,26.3,13.3,13.3,3.07,19.3,15.07,90,79,Sampang,-7.1936,113.2489
2018-01-23,28.6,25.1,26.5,2.5,2.5,3.16,20.1,15.12,92,77,Sampang,-7.1936,113.2489
2018-01-24,29.4,25.4,26.6,7.4,7.4,3.52,16.6,17.76,93,74,Sampang,-7.1936,113.2489
2018-01-25,28.8,25.5,26.9,4.8,4.8,3.42,21.8,15.83,92,74,Sampang,-7.1936,113.2489
2018-01-26,30.4,25.6,27.1,6.2,6.2,4.44,21.4,21.02,88,68,Sampang,-7.1936,113.2489
2018-01-27,29.8,25.7,27.4,5.8,5.8,4.48,24.1,21.15,88,72,Sampang,-7.1936,113.2489
