tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,29.6,24.5,26.3,5.9,5.9,3.1,9.5,15.4,96,75,Sidoarjo,-7.4459,112.7184
2018-01-02,28.9,24.8,26.5,18.6,18.6,3.37,10.8,17.02,98,76,Sidoarjo,-7.4459,112.7184
2018-01-03,29.9,24.5,27.1,8.0,8.0,4.45,11.9,22.51,99,72,Sidoarjo,-7.4459,112.7184
2018-01-04,30.0,24.0,26.3,18.5,18.5,3.54,9.9,17.85,98,74,Sidoarjo,-7.4459,112.7184
2018-01-05,30.7,24.2,26.7,21.4,21.4,4.5,11.8,22.52,99,71,Sidoarjo,-7.4459,112.7184
2018-01-06,30.7,24.2,26.7,9.5,9.5,4.11,8.6,20.21,99,69,Sidoarjo,-7.4459,112.7184
2018-01-07,27.5,24.1,25.3,19.4,19.4,2.01,10.2,10.05,100,82,Sidoarjo,-7.4459,112.7184
2018-01-08,30.0,23.6,26.6,15.5,15.5,3.4,9.9,16.47,99,69,Sidoarjo,-7.4459,112.7184
2018-01-09,30.6,24.6,26.8,12.1,12.1,4.35,11.0,21.79,97,73,Sidoarjo,-7.4459,112.7184
2018-01-10,31.7,24.4,26.6,8.3,8.3,4.1,14.0,19.95,99,64,Sidoarjo,-7.4459,112.7184
2018-01-11,28.9,23.5,25.5,7.8,7.8,2.51,18.5,11.92,98,74,Sidoarjo,-7.4459,112.7184
2018-01-12,30.9,22.7,26.5,1.6,1.6,3.75,14.3,16.65,92,60,Sidoarjo,-7.4459,112.7184
2018-01-13,30.0,24.3,26.7,3.2,3.2,3.32,20.5,14.13,95,66,Sidoarjo,-7.4459,112.7184
2018-01-14,30.1,23.5,26.2,5.8,5.8,2.73,12.7,12.63,98,68,Sidoarjo,-7.4459,112.7184
2018-01-15,30.8,24.4,26.8,1.3,1.3,3.44,15.3,16.04,96,64,Sidoarjo,-7.4459,112.7184
2018-01-16,29.4,24.1,26.3,1.7,1.7,3.49,19.6,15.34,97,69,Sidoarjo,-7.4459,112.7184
2018-01-17,30.7,24.9,26.8,16.8,16.8,3.28,14.5,13.89,97,63,Sidoarjo,-7.4459,112.7184
2018-01-18,29.2,24.1,25.9,14.5,14.5,2.64,13.0,12.58,98,69,Sidoarjo,-7.4459,112.7184
2018-01-19,28.7,23.5,25.3,28.1,28.1,2.56,12.1,12.56,99,74,Sidoarjo,-7.4459,112.7184
2018-01-20,29.7,23.7,25.7,14.2,14.2,2.95,10.0,14.35,99,70,Sidoarjo,-7.4459,112.7184
2018-01-21,29.0,23.5,26.1,2.4,2.4,3.03,17.7,13.85,98,68,Sidoarjo,-7.4459,112.7184
2018-01-22,29.7,24.2,25.9,3.5,3.5,3.29,19.5,16.1,96,66,Sidoarjo,-7.4459,112.7184
