tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.1,23.6,25.7,4.4,4.4,3.71,7.3,18.59,97,70,Situbondo,-7.7059,114.0082
2018-01-02,28.4,23.4,25.6,21.1,21.1,3.83,8.1,19.59,100,81,Situbondo,-7.7059,114.0082
2018-01-03,29.4,23.2,25.9,6.4,6.4,4.13,10.1,20.83,95,69,Situbondo,-7.7059,114.0082
2018-01-04,29.2,23.8,26.1,22.8,22.8,4.02,9.7,20.47,96,73,Situbondo,-7.7059,114.0082
2018-01-05,29.0,23.5,25.9,11.9,11.9,4.04,9.7,20.52,99,70,Situbondo,-7.7059,114.0082
2018-01-06,29.0,24.0,25.8,25.3,25.3,3.92,10.8,20.0,99,73,Situbondo,-7.7059,114.0082
2018-01-07,26.5,23.2,24.6,24.8,24.8,2.11,9.2,10.76,100,84,Situbondo,-7.7059,114.0082
2018-01-08,29.0,23.1,25.6,8.3,8.3,3.46,10.3,17.5,99,73,Situbondo,-7.7059,114.0082
2018-01-09,29.1,23.2,26.1,4.9,4.9,3.7,8.0,18.54,100,73,Situbondo,-7.7059,114.0082
2018-01-10,29.5,23.5,25.8,40.9,40.9,3.57,9.0,17.78,98,73,Situbondo,-7.7059,114.0082
2018-01-11,28.0,22.9,24.7,28.6,28.6,2.14,13.7,10.35,98,80,Situbondo,-7.7059,114.0082
2018-01-12,27.7,22.3,24.9,8.4,8.4,2.06,9.4,9.69,97,76,Situbondo,-7.7059,114.0082
2018-01-13,28.4,23.6,25.9,7.5,7.5,2.79,17.1,13.15,98,73,Situbondo,-7.7059,114.0082
2018-01-14,26.6,22.5,24.8,10.5,10.5,1.88,7.7,8.74,98,81,Situbondo,-7.7059,114.0082
2018-01-15,27.7,23.4,25.1,9.4,9.4,2.51,14.2,12.48,98,75,Situbondo,-7.7059,114.0082
2018-01-16,28.1,23.2,25.5,3.0,3.0,3.03,17.6,15.08,99,72,Situbondo,-7.7059,114.0082
2018-01-17,28.8,24.0,26.0,5.6,5.6,3.27,13.5,15.93,97,71,Situbondo,-7.7059,114.0082
2018-01-18,28.7,23.1,25.2,17.3,17.3,3.14,10.4,15.91,99,75,Situbondo,-7.7059,114.0082
2018-01-19,28.6,23.2,25.1,17.7,17.7,3.29,14.3,16.19,98,72,Situbondo,-7.7059,114.0082
2018-01-20,27.4,22.8,24.5,47.8,47.8,2.26,8.3,11.11,99,79,Situbondo,-7.7059,114.0082
2018-01-21,26.4,23.2,24.4,37.5,37.5,1.5,6.7,7.21,99,84,Situbondo,-7.7059,114.0082
2018-01-22,28.1,22.9,25.1,22.4,22.4,3.19,16.4,16.5,99,75,Situbondo,-7.7059,114.0082
2018-01-23,27.5,23.5,25.1,22.0,22.0,2.5,18.0,12.68,99,78,Situbondo,-7.7059,114.0082
2018-01-24,28.4,23.4,25.4,45.6,45.6,2.98,9.3,14.93,99,77,Situbondo,-7.7059,114.0082
2018-01-25,27.7,23.0,25.2,28.8,28.8,2.77,21.3,14.71,98,79,Situbondo,-7.7059,114.0082
2018-01-26,28.6,23.2,25.4,5.3,5.3,3.83,19.5,19.56,98,72,Situbondo,-7.7059,114.0082
2018-01-27,28.4,23.6,25.7,5.0,5.0,3.45,22.9,18.26,99,76,Situbondo,-7.7059,114.0082
2018-01-28,27.2,24.5,25.6,1.8,1.8,3.06,24.6,15.54,93,80,Situbondo,-7.7059,114.0082
2018-01-29,27.9,24.2,25.7,9.5,9.5,3.19,25.5,16.3,94,78,Situbondo,-7.7059,114.0082
2018-01-30,28.9,23.1,25.7,7.7,7.7,4.68,17.5,24.02,98,67,Situbondo,-7.7059,114.0082
2018-01-31,27.5,23.3,25.3,19.3,19.3,3.39,22.5,18.7,98,78,Situbondo,-7.7059,114.0082
2018-02-01,26.5,23.4,25.0,19.5,19.5,2.22,19.7,11.21,99,84,Situbondo,-7.7059,114.0082
2018-02-02,28.1,23.1,25.2,16.7,16.7,2.88,10.7,14.65,99,77,Situbondo,-7.7059,114.0082
2018-02-03,27.8,23.0,25.3,10.8,10.8,3.67,17.6,19.56,100,78,Situbondo,-7.7059,114.0082
2018-02-04,29.4,22.7,25.7,0.2,0.2,3.78,8.9,18.67,97,69,Situbondo,-7.7059,114.0082
2018-02-05,28.5,23.7,25.5,22.0,22.0,3.17,12.6,15.3,92,70,Situbondo,-7.7059,114.0082
2018-02-06,27.9,23.5,25.1,12.0,12.0,3.21,11.9,15.81,91,78,Situbondo,-7.7059,114.0082
2018-02-07,27.6,23.0,24.8,41.6,41.6,3.8,15.1,20.04,99,76,Situbondo,-7.7059,114.0082
2018-02-08,26.5,22.9,24.2,65.3,65.3,2.52,12.2,13.35,100,80,Situbondo,-7.7059,114.0082
2018-02-09,28.2,22.6,24.9,47.1,47.1,3.02,7.2,15.27,98,75,Situbondo,-7.7059,114.0082
2018-02-10,28.2,23.1,25.2,9.6,9.6,3.74,9.7,19.39,98,76,Situbondo,-7.7059,114.0082
2018-02-11,27.6,23.2,24.9,23.4,23.4,3.26,13.2,17.56,99,81,Situbondo,-7.7059,114.0082
2018-02-12,27.6,23.1,25.2,33.6,33.6,3.2,20.1,17.36,99,78,Situbondo,-7.7059,114.0082
2018-02-13,28.1,23.7,25.4,13.1,13.1,3.46,14.3,17.87,99,74,Situbondo,-7.7059,114.0082
2018-02-14,28.2,23.5,25.5,23.3,23.3,3.25,18.8,16.68,99,74,Situbondo,-7.7059,114.0082
2018-02-15,27.5,23.4,24.8,55.4,55.4,2.57,9.8,12.72,99,82,Situbondo,-7.7059,114.0082
2018-02-16,28.1,23.5,25.4,2.4,2.4,3.38,24.4,17.39,99,73,Situbondo,-7.7059,114.0082
2018-02-17,28.5,23.5,25.6,13.4,13.4,4.1,19.0,21.68,99,73,Situbondo,-7.7059,114.0082
2018-02-18,29.6,23.5,26.1,5.2,5.2,4.28,12.7,21.46,96,72,Situbondo,-7.7059,114.0082
2018-02-19,29.1,23.4,25.7,21.8,21.8,4.22,10.0,21.6,97,73,Situbondo,-7.7059,114.0082
2018-02-20,28.6,23.5,25.8,17.6,17.6,4.21,10.4,21.81,100,76,Situbondo,-7.7059,114.0082
2018-02-21,28.8,23.5,25.9,12.0,12.0,4.2,9.1,21.65,99,76,Situbondo,-7.7059,114.0082
2018-02-22,28.9,23.2,25.7,9.9,9.9,4.03,9.5,20.38,99,71,Situbondo,-7.7059,114.0082
2018-02-23,28.0,23.2,25.3,17.1,17.1,3.28,10.2,16.6,99,77,Situbondo,-7.7059,114.0082
2018-02-24,27.2,23.3,24.9,30.6,30.6,3.14,11.2,16.55,100,78,Situbondo,-7.7059,114.0082
2018-02-25,29.1,23.1,25.6,10.7,10.7,4.3,8.0,21.75,98,71,Situbondo,-7.7059,114.0082
2018-02-26,28.3,23.0,25.1,39.5,39.5,3.41,8.3,17.39,97,73,Situbondo,-7.7059,114.0082
2018-02-27,28.9,22.1,25.5,1.8,1.8,4.25,11.1,21.74,96,71,Situbondo,-7.7059,114.0082
2018-02-28,28.7,23.5,25.9,6.1,6.1,4.3,10.0,22.14,96,73,Situbondo,-7.7059,114.0082
2018-03-01,27.9,23.5,25.1,27.2,27.2,3.07,13.7,16.14,97,80,Situbondo,-7.7059,114.0082
2018-03-02,29.0,23.3,25.8,13.3,13.3,4.36,11.4,22.45,98,72,Situbondo,-7.7059,114.0082
2018-03-03,28.0,23.4,25.5,16.9,16.9,3.93,9.8,20.53,99,76,Situbondo,-7.7059,114.0082
2018-03-04,29.0,23.4,26.0,5.3,5.3,4.03,9.7,20.39,100,72,Situbondo,-7.7059,114.0082
2018-03-05,28.5,23.6,25.6,18.6,18.6,3.93,10.9,20.2,96,75,Situbondo,-7.7059,114.0082
2018-03-06,29.0,23.2,25.9,7.4,7.4,4.38,10.1,22.44,100,73,Situbondo,-7.7059,114.0082
2018-03-07,29.1,23.8,25.8,16.4,16.4,3.49,8.9,17.64,99,75,Situbondo,-7.7059,114.0082
2018-03-08,28.0,22.8,25.4,17.2,17.2,3.13,10.0,15.85,99,77,Situbondo,-7.7059,114.0082
2018-03-09,29.0,23.7,26.1,2.8,2.8,4.22,7.6,21.2,98,73,Situbondo,-7.7059,114.0082
2018-03-10,29.6,23.4,26.1,3.7,3.7,4.54,10.5,23.31,99,72,Situbondo,-7.7059,114.0082
