tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.9,24.2,25.8,24.9,24.9,3.31,10.2,16.89,99,76,Sumenep,-6.9924,113.8607
2018-01-02,29.1,23.6,26.1,11.8,11.8,4.02,7.8,20.43,99,78,Sumenep,-6.9924,113.8607
2018-01-03,30.4,24.4,26.5,9.9,9.9,4.31,9.8,21.73,99,72,Sumenep,-6.9924,113.8607
2018-01-04,29.5,24.0,26.1,24.7,24.7,3.79,8.8,19.16,100,74,Sumenep,-6.9924,113.8607
2018-01-05,29.8,23.5,26.0,33.3,33.3,3.77,9.0,19.05,100,75,Sumenep,-6.9924,113.8607
2018-01-06,30.0,23.9,25.8,16.7,16.7,4.05,8.4,20.39,99,73,Sumenep,-6.9924,113.8607
2018-01-07,27.0,23.4,24.9,21.4,21.4,1.9,13.2,9.81,99,85,Sumenep,-6.9924,113.8607
2018-01-08,29.6,23.0,26.0,11.0,11.0,3.7,10.2,18.83,99,72,Sumenep,-6.9924,113.8607
2018-01-09,30.2,23.8,26.3,10.0,10.0,4.36,7.0,21.86,99,75,Sumenep,-6.9924,113.8607
2018-01-10,30.4,24.3,26.3,7.6,7.6,4.15,14.7,21.0,96,67,Sumenep,-6.9924,113.8607
2018-01-11,28.6,23.4,25.4,19.7,19.7,2.37,12.9,11.64,98,76,Sumenep,-6.9924,113.8607
2018-01-12,29.5,22.7,25.8,6.7,6.7,3.22,15.4,14.3,96,66,Sumenep,-6.9924,113.8607
2018-01-13,29.5,24.8,26.8,1.5,1.5,3.13,19.8,13.48,89,64,Sumenep,-6.9924,113.8607
2018-01-14,29.4,24.3,26.1,7.6,7.6,2.52,15.9,11.61,100,70,Sumenep,-6.9924,113.8607
2018-01-15,27.9,24.5,26.1,7.1,7.1,2.27,15.4,10.5,96,78,Sumenep,-6.9924,113.8607
2018-01-16,28.4,24.3,25.8,3.8,3.8,2.19,18.4,9.25,96,71,Sumenep,-6.9924,113.8607
2018-01-17,28.5,24.3,25.8,11.8,11.8,2.42,14.6,11.57,97,74,Sumenep,-6.9924,113.8607
2018-01-18,28.7,23.5,25.6,20.4,20.4,3.14,14.5,16.21,98,71,Sumenep,-6.9924,113.8607
2018-01-19,27.6,22.9,24.9,25.9,25.9,2.07,10.2,10.4,99,87,Sumenep,-6.9924,113.8607
2018-01-20,29.5,23.8,25.3,30.2,30.2,2.94,13.7,15.09,99,69,Sumenep,-6.9924,113.8607
2018-01-21,28.4,23.6,25.3,24.6,24.6,2.32,15.1,11.74,98,70,Sumenep,-6.9924,113.8607
2018-01-22,27.2,24.8,25.7,14.0,14.0,2.62,18.8,12.86,92,81,Sumenep,-6.9924,113.8607
2018-01-23,28.4,24.4,25.9,2.2,2.2,2.96,21.1,14.3,92,75,Sumenep,-6.9924,113.8607
2018-01-24,28.5,24.8,26.2,7.4,7.4,3.7,18.7,19.07,94,71,Sumenep,-6.9924,113.8607
2018-01-25,28.6,25.0,26.6,6.3,6.3,3.61,20.8,17.25,94,75,Sumenep,-6.9924,113.8607
2018-01-26,28.4,25.3,26.7,8.1,8.1,3.98,25.1,19.52,88,74,Sumenep,-6.9924,113.8607
2018-01-27,29.4,25.2,27.0,7.5,7.5,4.05,24.5,18.5,88,71,Sumenep,-6.9924,113.8607
2018-01-28,28.0,25.4,26.6,11.0,11.0,4.12,25.3,19.77,89,75,Sumenep,-6.9924,113.8607
2018-01-29,29.2,24.9,26.9,0.7,0.7,4.37,32.4,19.53,89,70,Sumenep,-6.9924,113.8607
2018-01-30,28.5,24.2,26.5,3.4,3.4,4.08,23.1,19.12,92,71,Sumenep,-6.9924,113.8607
2018-01-31,28.2,24.0,25.9,1.5,1.5,3.34,26.3,16.11,93,73,Sumenep,-6.9924,113.8607
2018-02-01,28.9,24.7,26.2,1.4,1.4,3.37,23.5,16.35,91,72,Sumenep,-6.9924,113.8607
2018-02-02,27.6,24.1,25.8,17.9,17.9,3.17,19.2,16.4,94,76,Sumenep,-6.9924,113.8607
2018-02-03,29.2,24.3,26.3,1.3,1.3,3.67,19.1,18.39,95,70,Sumenep,-6.9924,113.8607
2018-02-04,30.8,23.5,26.0,18.9,18.9,4.37,12.8,22.4,98,67,Sumenep,-6.9924,113.8607
2018-02-05,29.2,23.5,25.7,27.7,27.7,3.37,12.3,16.74,97,73,Sumenep,-6.9924,113.8607
2018-02-06,29.1,24.4,26.1,8.0,8.0,3.51,14.5,16.42,89,68,Sumenep,-6.9924,113.8607
2018-02-07,28.8,24.2,25.5,3.6,3.6,3.35,17.1,16.91,92,72,Sumenep,-6.9924,113.8607
2018-02-08,26.7,23.8,24.8,26.6,26.6,2.35,13.7,12.54,99,83,Sumenep,-6.9924,113.8607
2018-02-09,29.3,23.8,25.2,33.9,33.9,3.22,14.1,16.7,98,73,Sumenep,-6.9924,113.8607
2018-02-10,28.8,23.0,25.6,5.2,5.2,3.92,11.0,19.6,99,70,Sumenep,-6.9924,113.8607
2018-02-11,28.1,23.5,25.2,13.5,13.5,3.53,13.9,19.0,96,80,Sumenep,-6.9924,113.8607
2018-02-12,28.4,23.6,25.8,4.1,4.1,3.43,20.8,16.88,94,74,Sumenep,-6.9924,113.8607
2018-02-13,28.9,24.6,26.2,7.0,7.0,3.87,19.8,19.05,89,74,Sumenep,-6.9924,113.8607
2018-02-14,28.8,24.6,26.4,4.3,4.3,3.59,22.4,16.89,89,73,Sumenep,-6.9924,113.8607
2018-02-15,29.5,23.5,25.7,10.5,10.5,3.41,20.8,16.99,98,68,Sumenep,-6.9924,113.8607
2018-02-16,28.7,23.4,26.1,2.2,2.2,3.22,21.8,14.5,98,70,Sumenep,-6.9924,113.8607
2018-02-17,29.8,24.8,26.9,4.6,4.6,4.61,22.1,22.87,91,67,Sumenep,-6.9924,113.8607
2018-02-18,30.0,24.7,26.9,3.1,3.1,4.39,13.2,21.59,92,70,Sumenep,-6.9924,113.8607
2018-02-19,29.9,24.0,26.4,5.1,5.1,4.59,11.1,23.36,99,72,Sumenep,-6.9924,113.8607
2018-02-20,29.5,23.9,26.0,20.9,20.9,4.35,9.7,22.29,99,71,Sumenep,-6.9924,113.8607
2018-02-21,29.6,23.5,26.0,2.2,2.2,4.6,7.9,23.31,99,72,Sumenep,-6.9924,113.8607
2018-02-22,29.1,23.0,26.0,10.4,10.4,4.62,10.5,23.34,99,70,Sumenep,-6.9924,113.8607
2018-02-23,28.0,23.0,25.4,16.8,16.8,3.08,11.3,15.75,99,75,Sumenep,-6.9924,113.8607
2018-02-24,28.1,23.0,25.0,18.3,18.3,3.14,13.0,16.46,99,78,Sumenep,-6.9924,113.8607
2018-02-25,30.0,23.5,26.0,6.5,6.5,4.3,8.5,21.61,98,70,Sumenep,-6.9924,113.8607
2018-02-26,28.9,24.1,25.6,26.8,26.8,3.7,7.9,19.34,98,76,Sumenep,-6.9924,113.8607
2018-02-27,29.5,23.0,26.2,1.3,1.3,4.55,7.6,22.78,99,67,Sumenep,-6.9924,113.8607
2018-02-28,29.6,23.2,26.4,1.5,1.5,4.71,10.5,24.01,99,72,Sumenep,-6.9924,113.8607
