tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,28.2,24.0,25.7,8.1,8.1,2.36,7.0,11.17,94,72,Trenggalek,-8.049,111.7087
2018-01-02,29.4,23.9,25.9,8.6,8.6,2.35,7.1,11.12,96,74,Trenggalek,-8.049,111.7087
2018-01-03,29.2,23.3,25.8,11.4,11.4,3.41,12.2,17.36,95,78,Trenggalek,-8.049,111.7087
2018-01-04,28.7,24.1,25.7,15.2,15.2,2.92,12.4,14.81,96,83,Trenggalek,-8.049,111.7087
2018-01-05,28.5,23.4,25.7,21.9,21.9,2.51,7.3,11.81,99,76,Trenggalek,-8.049,111.7087
2018-01-06,29.5,23.5,25.8,11.7,11.7,2.67,13.0,12.45,95,70,Trenggalek,-8.049,111.7087
2018-01-07,27.6,23.4,25.2,6.0,6.0,2.31,16.1,10.9,94,75,Trenggalek,-8.049,111.7087
2018-01-08,29.4,23.7,26.0,3.5,3.5,3.33,6.3,16.1,98,68,Trenggalek,-8.049,111.7087
2018-01-09,29.5,23.4,26.2,0.8,0.8,3.27,8.6,15.92,96,67,Trenggalek,-8.049,111.7087
2018-01-10,30.2,22.5,26.1,8.8,8.8,3.54,9.2,17.12,94,66,Trenggalek,-8.049,111.7087
2018-01-11,28.3,23.7,25.4,9.8,9.8,2.05,11.8,8.66,92,73,Trenggalek,-8.049,111.7087
2018-01-12,28.5,23.1,25.4,3.6,3.6,2.27,11.8,9.31,92,62,Trenggalek,-8.049,111.7087
2018-01-13,30.1,22.8,25.9,2.4,2.4,3.47,11.5,16.29,96,63,Trenggalek,-8.049,111.7087
2018-01-14,30.4,23.2,26.5,1.1,1.1,4.16,18.2,18.48,93,58,Trenggalek,-8.049,111.7087
2018-01-15,30.4,24.0,26.5,0.3,0.3,4.29,16.1,19.23,86,59,Trenggalek,-8.049,111.7087
2018-01-16,29.4,23.6,25.9,0.3,0.3,3.12,16.3,13.97,92,64,Trenggalek,-8.049,111.7087
2018-01-17,30.3,23.0,26.1,8.9,8.9,3.37,9.8,15.81,93,63,Trenggalek,-8.049,111.7087
2018-01-18,28.8,22.8,25.5,18.3,18.3,2.99,7.9,14.59,94,73,Trenggalek,-8.049,111.7087
2018-01-19,29.5,23.1,25.5,4.6,4.6,2.95,12.6,13.95,98,70,Trenggalek,-8.049,111.7087
2018-01-20,27.5,23.5,25.0,13.4,13.4,2.08,13.4,9.26,92,78,Trenggalek,-8.049,111.7087
2018-01-21,27.8,23.7,25.4,10.2,10.2,2.43,16.0,10.91,90,74,Trenggalek,-8.049,111.7087
2018-01-22,28.0,23.7,25.6,7.5,7.5,2.89,16.7,13.86,91,75,Trenggalek,-8.049,111.7087
2018-01-23,29.9,23.6,26.0,3.6,3.6,4.1,12.6,19.96,93,64,Trenggalek,-8.049,111.7087
2018-01-24,29.1,22.8,25.8,18.4,18.4,3.28,9.9,15.97,94,75,Trenggalek,-8.049,111.7087
2018-01-25,27.9,23.5,25.4,17.6,17.6,2.28,16.8,10.13,93,80,Trenggalek,-8.049,111.7087
2018-01-26,29.5,24.2,26.0,12.3,12.3,3.75,21.1,17.16,86,68,Trenggalek,-8.049,111.7087
2018-01-27,30.1,23.1,26.4,3.2,3.2,4.02,13.7,19.24,93,65,Trenggalek,-8.049,111.7087
2018-01-28,29.6,23.4,26.2,1.1,1.1,3.42,15.3,15.83,94,71,Trenggalek,-8.049,111.7087
2018-01-29,28.7,24.2,25.9,2.9,2.9,3.59,20.6,15.91,86,70,Trenggalek,-8.049,111.7087
2018-01-30,28.7,23.5,25.8,3.5,3.5,3.98,18.0,19.19,89,68,Trenggalek,-8.049,111.7087
2018-01-31,30.7,23.0,26.0,1.9,1.9,4.07,15.0,19.72,91,63,Trenggalek,-8.049,111.7087
2018-02-01,29.5,23.4,25.8,10.4,10.4,2.96,14.7,14.02,94,69,Trenggalek,-8.049,111.7087
2018-02-02,28.7,23.4,25.5,27.6,27.6,2.91,8.7,14.17,93,73,Trenggalek,-8.049,111.7087
2018-02-03,28.9,22.7,25.4,5.6,5.6,3.38,14.9,16.8,95,72,Trenggalek,-8.049,111.7087
2018-02-04,29.7,22.7,25.9,12.7,12.7,3.94,8.5,19.48,94,68,Trenggalek,-8.049,111.7087
2018-02-05,29.0,23.3,25.7,10.4,10.4,2.99,12.2,13.84,92,73,Trenggalek,-8.049,111.7087
2018-02-06,28.6,22.6,25.2,10.1,10.1,3.28,12.7,15.9,89,66,Trenggalek,-8.049,111.7087
2018-02-07,28.5,22.8,25.0,20.2,20.2,3.1,13.2,15.26,91,70,Trenggalek,-8.049,111.7087
2018-02-08,28.2,22.9,25.1,5.8,5.8,2.68,9.3,12.81,92,73,Trenggalek,-8.049,111.7087
