tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,29.1,23.9,26.3,1.7,1.7,3.43,10.4,17.0,95,71,Tuban,-6.899,112.0508
2018-01-02,29.2,24.5,26.2,22.9,22.9,3.72,10.0,18.41,97,75,Tuban,-6.899,112.0508
2018-01-03,29.9,24.1,26.2,11.9,11.9,3.61,12.5,18.03,96,74,Tuban,-6.899,112.0508
2018-01-04,29.2,24.2,26.1,11.6,11.6,3.71,11.3,18.75,99,76,Tuban,-6.899,112.0508
2018-01-05,30.5,23.4,26.1,13.2,13.2,4.0,9.2,19.93,99,72,Tuban,-6.899,112.0508
2018-01-06,30.4,24.1,26.4,14.5,14.5,3.89,10.1,19.39,95,68,Tuban,-6.899,112.0508
2018-01-07,26.1,24.1,25.2,12.9,12.9,1.66,13.4,8.33,99,87,Tuban,-6.899,112.0508
2018-01-08,30.0,23.5,26.5,1.8,1.8,4.33,12.2,21.42,98,67,Tuban,-6.899,112.0508
2018-01-09,30.0,24.0,26.5,3.6,3.6,4.47,10.4,22.55,96,70,Tuban,-6.899,112.0508
2018-01-10,30.5,24.5,26.7,6.7,6.7,4.18,13.7,20.62,91,68,Tuban,-6.899,112.0508
2018-01-11,29.0,23.9,25.5,15.9,15.9,2.75,15.9,12.34,93,72,Tuban,-6.899,112.0508
2018-01-12,29.2,23.8,25.9,1.5,1.5,2.57,11.0,11.65,90,66,Tuban,-6.899,112.0508
2018-01-13,29.8,23.5,26.6,4.5,4.5,3.66,18.5,17.95,93,66,Tuban,-6.899,112.0508
2018-01-14,29.9,24.2,26.6,3.4,3.4,3.67,17.3,16.19,92,66,Tuban,-6.899,112.0508
2018-01-15,29.6,24.5,26.9,0.8,0.8,4.3,16.6,19.27,90,64,Tuban,-6.899,112.0508
2018-01-16,29.6,24.5,26.6,2.5,2.5,3.71,18.2,16.83,88,67,Tuban,-6.899,112.0508
2018-01-17,30.5,23.8,26.8,7.5,7.5,4.0,12.3,18.82,92,67,Tuban,-6.899,112.0508
2018-01-18,28.8,24.7,26.0,33.7,33.7,2.91,15.9,14.28,93,72,Tuban,-6.899,112.0508
2018-01-19,28.8,23.9,25.4,22.9,22.9,2.42,14.0,11.91,95,75,Tuban,-6.899,112.0508
2018-01-20,29.2,23.4,25.3,25.0,25.0,2.84,15.2,14.41,96,72,Tuban,-6.899,112.0508
2018-01-21,29.5,23.5,25.8,9.9,9.9,3.2,13.2,15.33,95,69,Tuban,-6.899,112.0508
2018-01-22,27.3,24.5,25.5,29.0,29.0,2.35,21.3,11.88,91,81,Tuban,-6.899,112.0508
2018-01-23,28.0,24.2,25.9,11.4,11.4,2.8,20.8,13.84,91,78,Tuban,-6.899,112.0508
2018-01-24,29.4,24.4,26.1,20.1,20.1,3.23,19.9,16.2,93,74,Tuban,-6.899,112.0508
2018-01-25,28.6,24.4,26.5,8.0,8.0,3.28,21.9,14.78,89,71,Tuban,-6.899,112.0508
2018-01-26,28.6,24.6,26.3,10.7,10.7,3.41,19.6,16.48,89,74,Tuban,-6.899,112.0508
2018-01-27,29.9,24.5,27.0,2.8,2.8,4.17,22.0,19.54,91,68,Tuban,-6.899,112.0508
2018-01-28,28.2,24.9,26.5,18.9,18.9,3.21,25.0,14.33,90,77,Tuban,-6.899,112.0508
2018-01-29,29.4,25.0,26.5,6.0,6.0,3.65,21.1,16.52,86,72,Tuban,-6.899,112.0508
2018-01-30,29.8,23.9,26.1,3.5,3.5,3.88,16.6,18.69,92,69,Tuban,-6.899,112.0508
2018-01-31,28.8,23.5,26.0,5.6,5.6,3.14,21.2,14.97,93,74,Tuban,-6.899,112.0508
2018-02-01,28.2,24.5,26.1,4.9,4.9,3.37,19.6,16.93,93,77,Tuban,-6.899,112.0508
2018-02-02,28.2,24.1,25.9,18.5,18.5,3.14,18.9,15.72,92,76,Tuban,-6.899,112.0508
2018-02-03,28.8,24.5,26.2,5.8,5.8,3.57,23.5,17.74,92,72,Tuban,-6.899,112.0508
2018-02-04,28.9,23.9,26.0,12.2,12.2,3.8,15.9,19.54,91,75,Tuban,-6.899,112.0508
2018-02-05,27.4,23.9,25.0,29.4,29.4,1.97,17.7,9.3,95,79,Tuban,-6.899,112.0508
2018-02-06,26.7,23.5,25.2,1.6,1.6,1.94,15.5,7.4,88,78,Tuban,-6.899,112.0508
2018-02-07,27.6,23.6,25.1,23.1,23.1,2.96,21.5,15.2,96,79,Tuban,-6.899,112.0508
2018-02-08,26.4,23.6,25.0,18.1,18.1,1.87,14.5,8.57,93,84,Tuban,-6.899,112.0508
2018-02-09,27.9,23.8,25.3,28.8,28.8,2.91,16.7,15.05,94,78,Tuban,-6.899,112.0508
2018-02-10,29.2,23.5,25.9,3.9,3.9,4.19,18.1,21.55,94,65,Tuban,-6.899,112.0508
2018-02-11,28.1,23.6,25.4,12.3,12.3,3.19,21.2,16.61,98,73,Tuban,-6.899,112.0508
2018-02-12,28.4,23.5,25.7,2.9,2.9,3.44,18.0,16.69,94,71,Tuban,-6.899,112.0508
2018-02-13,28.8,24.5,26.0,5.1,5.1,3.61,16.5,16.72,87,73,Tuban,-6.899,112.0508
2018-02-14,28.8,24.6,26.3,2.6,2.6,3.69,17.1,17.32,88,72,Tuban,-6.899,112.0508
2018-02-15,29.0,23.9,25.4,34.3,34.3,2.94,21.4,14.9,95,78,Tuban,-6.899,112.0508
2018-02-16,28.2,23.5,25.4,12.7,12.7,2.35,18.1,11.27,95,76,Tuban,-6.899,112.0508
2018-02-17,29.4,24.0,26.4,1.9,1.9,4.31,22.3,21.79,92,68,Tuban,-6.899,112.0508
2018-02-18,29.7,24.4,26.5,8.7,8.7,4.2,15.0,21.23,91,68,Tuban,-6.899,112.0508
2018-02-19,30.0,24.5,26.5,11.6,11.6,4.43,16.7,22.62,93,70,Tuban,-6.899,112.0508
2018-02-20,29.0,23.5,26.1,12.8,12.8,3.76,12.2,19.25,95,75,Tuban,-6.899,112.0508
2018-02-21,29.6,23.6,26.2,4.5,4.5,4.41,11.2,22.54,97,72,Tuban,-6.899,112.0508
2018-02-22,28.2,23.3,25.4,35.9,35.9,3.6,11.1,18.5,98,77,Tuban,-6.899,112.0508
2018-02-23,28.3,23.4,25.6,9.6,9.6,3.46,13.0,17.79,99,79,Tuban,-6.899,112.0508
2018-02-24,27.8,23.2,25.4,17.2,17.2,2.79,15.9,14.26,96,78,Tuban,-6.899,112.0508
2018-02-25,30.2,23.0,26.1,4.0,4.0,3.68,13.0,17.69,97,64,Tuban,-6.899,112.0508
2018-02-26,28.8,23.4,25.5,9.0,9.0,3.19,11.8,15.84,96,75,Tuban,-6.899,112.0508
2018-02-27,30.1,23.3,26.2,3.8,3.8,4.72,12.7,23.92,99,71,Tuban,-6.899,112.0508
2018-02-28,29.1,23.4,26.1,2.7,2.7,4.28,9.5,21.64,99,72,Tuban,-6.899,112.0508
2018-03-01,29.5,24.2,26.0,13.3,13.3,3.54,15.7,18.12,96,74,Tuban,-6.899,112.0508
2018-03-02,30.2,23.5,26.3,20.3,20.3,3.91,17.3,19.99,97,71,Tuban,-6.899,112.0508
2018-03-03,28.5,24.5,26.3,3.4,3.4,3.9,11.7,19.97,99,77,Tuban,-6.899,112.0508
2018-03-04,29.3,23.6,26.3,13.6,13.6,4.12,11.2,20.97,99,76,Tuban,-6.899,112.0508
2018-03-05,28.9,23.7,25.9,6.6,6.6,3.62,13.3,18.35,98,76,Tuban,-6.899,112.0508
2018-03-06,29.5,23.4,26.3,3.0,3.0,4.5,11.0,22.91,99,73,Tuban,-6.899,112.0508
2018-03-07,29.1,23.8,25.7,57.3,57.3,3.58,9.8,18.04,97,76,Tuban,-6.899,112.0508
2018-03-08,28.9,24.2,26.2,11.6,11.6,3.8,16.6,19.51,96,75,Tuban,-6.899,112.0508
2018-03-09,30.6,24.1,26.7,17.5,17.5,4.09,10.7,20.01,97,68,Tuban,-6.899,112.0508
2018-03-10,29.4,23.5,26.1,16.5,16.5,3.93,12.9,19.72,98,72,Tuban,-6.899,112.0508
2018-03-11,28.3,24.0,25.9,3.8,3.8,2.66,12.0,13.1,97,77,Tuban,-6.899,112.0508
2018-03-12,28.0,23.5,25.1,23.9,23.9,2.41,10.7,11.63,98,77,Tuban,-6.899,112.0508
2018-03-13,28.2,23.2,25.0,27.6,27.6,1.8,12.6,8.44,98,76,Tuban,-6.899,112.0508
2018-03-14,30.1,23.9,26.4,3.1,3.1,3.85,10.4,18.64,99,65,Tuban,-6.899,112.0508
2018-03-15,30.8,23.9,26.9,1.3,1.3,4.58,10.5,21.81,93,62,Tuban,-6.899,112.0508
2018-03-16,29.5,23.9,26.0,22.7,22.7,4.39,13.4,21.85,98,68,Tuban,-6.899,112.0508
2018-03-17,28.5,23.1,25.3,15.8,15.8,3.44,13.5,17.66,98,75,Tuban,-6.899,112.0508
2018-03-18,29.7,23.2,25.6,19.3,19.3,4.02,13.1,20.61,97,72,Tuban,-6.899,112.0508
2018-03-19,30.1,23.4,26.3,11.7,11.7,4.56,8.7,23.0,96,70,Tuban,-6.899,112.0508
2018-03-20,32.0,24.0,27.4,1.3,1.3,5.32,14.3,25.48,93,56,Tuban,-6.899,112.0508
2018-03-21,28.9,24.0,26.5,2.5,2.5,4.06,26.9,21.17,95,76,Tuban,-6.899,112.0508
2018-03-22,28.8,24.0,25.6,8.3,8.3,3.15,24.1,16.27,96,78,Tuban,-6.899,112.0508
2018-03-23,30.8,23.8,26.8,2.9,2.9,4.67,10.2,22.85,96,64,Tuban,-6.899,112.0508
2018-03-24,30.4,25.0,26.7,6.6,6.6,4.28,15.2,20.95,96,68,Tuban,-6.899,112.0508
2018-03-25,30.8,23.9,26.4,10.3,10.3,4.4,18.3,22.42,94,64,Tuban,-6.899,112.0508
2018-03-26,29.8,23.5,26.2,4.7,4.7,4.32,8.7,21.91,95,69,Tuban,-6.899,112.0508
2018-03-27,29.8,24.3,26.5,2.1,2.1,3.78,7.6,18.75,95,73,Tuban,-6.899,112.0508
2018-03-28,30.1,24.3,26.7,5.8,5.8,4.37,10.7,21.49,95,66,Tuban,-6.899,112.0508
2018-03-29,31.0,24.0,27.2,1.3,1.3,4.79,10.2,23.19,97,62,Tuban,-6.899,112.0508
