tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,27.7,23.5,25.2,28.8,28.8,1.88,10.6,8.97,96,76,Tulungagung,-8.0653,111.9029
2018-01-02,29.1,23.4,25.6,15.0,15.0,2.97,9.4,14.63,98,77,Tulungagung,-8.0653,111.9029
2018-01-03,30.6,23.1,26.1,10.9,10.9,3.56,11.5,17.49,98,77,Tulungagung,-8.0653,111.9029
2018-01-04,29.5,23.6,25.8,18.3,18.3,3.03,10.1,15.02,98,75,Tulungagung,-8.0653,111.9029
2018-01-05,28.1,23.7,25.7,16.0,16.0,2.76,10.3,13.55,97,81,Tulungagung,-8.0653,111.9029
2018-01-06,29.8,23.3,25.9,6.2,6.2,3.41,16.2,16.94,99,71,Tulungagung,-8.0653,111.9029
2018-01-07,27.8,23.0,24.9,8.6,8.6,2.26,9.7,11.04,100,77,Tulungagung,-8.0653,111.9029
2018-01-08,29.7,23.0,25.8,4.9,4.9,3.56,6.9,17.32,98,68,Tulungagung,-8.0653,111.9029
2018-01-09,28.9,23.0,25.8,3.9,3.9,3.27,8.0,16.14,99,72,Tulungagung,-8.0653,111.9029
2018-01-10,30.0,23.0,25.7,18.4,18.4,3.57,15.4,17.97,98,73,Tulungagung,-8.0653,111.9029
2018-01-11,28.1,22.8,24.9,17.9,17.9,2.14,11.9,10.14,99,76,Tulungagung,-8.0653,111.9029
2018-01-12,28.3,21.7,24.8,2.5,2.5,1.91,9.4,7.96,97,68,Tulungagung,-8.0653,111.9029
2018-01-13,28.5,21.7,25.0,1.4,1.4,2.36,10.0,11.33,99,78,Tulungagung,-8.0653,111.9029
2018-01-14,30.8,22.5,26.4,1.5,1.5,4.12,16.0,18.89,99,58,Tulungagung,-8.0653,111.9029
2018-01-15,30.8,24.0,26.6,1.2,1.2,4.07,13.7,19.17,92,59,Tulungagung,-8.0653,111.9029
2018-01-16,29.8,22.6,25.6,0.9,0.9,3.18,11.8,15.13,96,64,Tulungagung,-8.0653,111.9029
2018-01-17,29.8,22.8,25.7,9.5,9.5,3.36,9.0,16.46,95,70,Tulungagung,-8.0653,111.9029
2018-01-18,29.4,23.5,25.5,3.8,3.8,2.87,8.2,13.95,96,71,Tulungagung,-8.0653,111.9029
2018-01-19,29.5,22.7,25.4,10.3,10.3,3.12,16.1,14.85,98,71,Tulungagung,-8.0653,111.9029
2018-01-20,28.4,23.5,25.3,21.3,21.3,2.42,15.0,11.19,93,75,Tulungagung,-8.0653,111.9029
2018-01-21,28.4,23.5,25.6,7.0,7.0,2.29,12.6,9.88,91,72,Tulungagung,-8.0653,111.9029
2018-01-22,28.2,23.6,25.2,4.7,4.7,2.52,9.2,12.0,97,76,Tulungagung,-8.0653,111.9029
2018-01-23,29.1,23.4,25.4,13.6,13.6,3.2,7.3,15.63,99,75,Tulungagung,-8.0653,111.9029
2018-01-24,29.2,22.9,25.4,16.0,16.0,2.98,14.3,14.76,97,70,Tulungagung,-8.0653,111.9029
2018-01-25,28.3,23.9,25.6,17.4,17.4,2.62,10.5,12.3,97,75,Tulungagung,-8.0653,111.9029
2018-01-26,30.2,23.5,25.9,13.2,13.2,3.36,15.5,16.2,99,64,Tulungagung,-8.0653,111.9029
2018-01-27,29.7,22.9,25.7,1.1,1.1,3.75,7.6,18.71,98,74,Tulungagung,-8.0653,111.9029
2018-01-28,28.1,22.7,25.1,0.8,0.8,2.77,15.0,13.86,99,80,Tulungagung,-8.0653,111.9029
2018-01-29,29.2,23.4,26.2,15.7,15.7,3.38,20.2,15.29,94,70,Tulungagung,-8.0653,111.9029
2018-01-30,29.9,24.2,26.3,17.6,17.6,4.31,15.3,20.84,95,67,Tulungagung,-8.0653,111.9029
2018-01-31,28.9,22.9,25.3,0.9,0.9,3.66,9.3,18.4,98,71,Tulungagung,-8.0653,111.9029
2018-02-01,27.9,23.0,25.0,5.7,5.7,2.63,8.7,12.91,98,79,Tulungagung,-8.0653,111.9029
2018-02-02,28.1,22.5,24.8,24.0,24.0,2.61,9.0,12.97,99,78,Tulungagung,-8.0653,111.9029
2018-02-03,27.8,22.5,24.5,2.8,2.8,2.69,7.9,13.63,99,82,Tulungagung,-8.0653,111.9029
2018-02-04,29.6,22.4,25.5,12.3,12.3,3.81,8.7,19.02,99,72,Tulungagung,-8.0653,111.9029
2018-02-05,29.2,23.4,25.8,7.2,7.2,2.92,13.0,13.98,94,72,Tulungagung,-8.0653,111.9029
2018-02-06,29.5,22.8,25.4,12.3,12.3,3.62,13.9,18.1,96,66,Tulungagung,-8.0653,111.9029
2018-02-07,28.9,22.2,24.9,13.7,13.7,3.01,9.1,15.0,97,73,Tulungagung,-8.0653,111.9029
2018-02-08,28.3,22.4,24.6,17.2,17.2,2.61,6.8,12.84,98,76,Tulungagung,-8.0653,111.9029
2018-02-09,28.5,22.2,24.6,14.2,14.2,2.48,10.2,12.12,98,75,Tulungagung,-8.0653,111.9029
2018-02-10,30.1,21.1,25.2,1.9,1.9,4.28,7.8,21.34,99,65,Tulungagung,-8.0653,111.9029
2018-02-11,28.3,22.9,25.1,0.6,0.6,3.48,10.3,17.81,97,77,Tulungagung,-8.0653,111.9029
2018-02-12,27.0,23.1,24.8,0.2,0.2,2.7,12.5,13.89,98,83,Tulungagung,-8.0653,111.9029
2018-02-13,28.5,22.5,25.4,3.0,3.0,3.47,13.3,17.54,97,75,Tulungagung,-8.0653,111.9029
2018-02-14,29.5,22.5,25.8,5.3,5.3,3.19,10.8,15.11,99,69,Tulungagung,-8.0653,111.9029
2018-02-15,29.0,23.3,25.3,20.5,20.5,2.41,10.6,11.3,96,74,Tulungagung,-8.0653,111.9029
2018-02-16,30.4,23.0,25.5,2.2,2.2,3.14,11.8,14.82,98,64,Tulungagung,-8.0653,111.9029
2018-02-17,30.2,22.5,25.9,3.4,3.4,3.8,12.0,18.5,98,65,Tulungagung,-8.0653,111.9029
2018-02-18,30.1,21.5,25.6,6.8,6.8,4.08,8.3,20.4,98,71,Tulungagung,-8.0653,111.9029
2018-02-19,30.4,22.5,25.5,10.8,10.8,4.0,14.8,20.0,100,68,Tulungagung,-8.0653,111.9029
2018-02-20,29.8,22.4,25.6,21.4,21.4,3.76,7.9,18.8,99,73,Tulungagung,-8.0653,111.9029
2018-02-21,30.0,22.9,26.0,6.6,6.6,4.17,12.6,20.84,98,68,Tulungagung,-8.0653,111.9029
2018-02-22,29.0,23.1,25.3,22.8,22.8,3.01,11.5,14.8,98,76,Tulungagung,-8.0653,111.9029
2018-02-23,29.5,23.2,25.3,15.8,15.8,3.11,13.4,15.24,98,70,Tulungagung,-8.0653,111.9029
2018-02-24,29.8,23.4,25.4,11.8,11.8,3.12,9.1,15.3,100,71,Tulungagung,-8.0653,111.9029
2018-02-25,29.5,23.0,25.5,11.4,11.4,3.57,12.1,17.86,98,68,Tulungagung,-8.0653,111.9029
2018-02-26,29.6,23.4,25.5,10.5,10.5,2.86,8.5,13.94,98,73,Tulungagung,-8.0653,111.9029
2018-02-27,30.0,23.4,26.3,1.5,1.5,4.66,14.3,23.26,95,64,Tulungagung,-8.0653,111.9029
2018-02-28,30.6,22.6,26.5,1.5,1.5,4.34,9.7,21.11,96,62,Tulungagung,-8.0653,111.9029
2018-03-01,30.1,22.9,26.0,0.5,0.5,3.83,14.3,18.56,98,67,Tulungagung,-8.0653,111.9029
2018-03-02,29.3,22.9,26.0,7.4,7.4,3.71,12.8,18.53,99,73,Tulungagung,-8.0653,111.9029
2018-03-03,29.9,24.4,26.3,5.4,5.4,3.63,7.9,17.97,95,74,Tulungagung,-8.0653,111.9029
2018-03-04,29.0,22.9,25.7,4.3,4.3,3.14,9.2,15.55,98,72,Tulungagung,-8.0653,111.9029
2018-03-05,29.3,23.6,25.8,7.7,7.7,3.63,9.8,17.88,99,78,Tulungagung,-8.0653,111.9029
2018-03-06,30.5,23.0,26.0,6.3,6.3,4.07,9.3,20.13,99,69,Tulungagung,-8.0653,111.9029
2018-03-07,28.1,23.1,25.2,15.7,15.7,2.97,11.4,15.56,98,83,Tulungagung,-8.0653,111.9029
2018-03-08,29.6,23.1,25.6,12.7,12.7,4.04,11.8,20.46,99,72,Tulungagung,-8.0653,111.9029
2018-03-09,29.6,22.9,26.2,1.7,1.7,4.08,12.3,20.7,99,76,Tulungagung,-8.0653,111.9029
2018-03-10,30.0,22.8,25.9,7.7,7.7,4.09,9.6,20.48,100,71,Tulungagung,-8.0653,111.9029
2018-03-11,30.1,23.4,26.0,4.6,4.6,4.08,7.7,20.22,98,69,Tulungagung,-8.0653,111.9029
2018-03-12,29.9,23.5,26.3,2.7,2.7,3.88,10.1,18.58,97,65,Tulungagung,-8.0653,111.9029
2018-03-13,29.4,23.2,25.8,4.3,4.3,3.51,9.7,17.05,96,68,Tulungagung,-8.0653,111.9029
2018-03-14,28.9,23.6,25.8,1.7,1.7,3.21,11.8,15.38,96,70,Tulungagung,-8.0653,111.9029
2018-03-15,29.8,22.3,25.9,2.2,2.2,4.2,17.4,21.32,98,68,Tulungagung,-8.0653,111.9029
2018-03-16,29.9,23.0,26.2,2.1,2.1,4.02,9.4,19.98,96,70,Tulungagung,-8.0653,111.9029
2018-03-17,29.7,23.1,25.5,4.9,4.9,3.87,8.0,19.54,98,71,Tulungagung,-8.0653,111.9029
2018-03-18,30.0,22.7,25.8,8.0,8.0,4.16,7.4,20.7,98,71,Tulungagung,-8.0653,111.9029
2018-03-19,29.8,22.1,26.1,1.6,1.6,4.35,11.2,21.84,98,68,Tulungagung,-8.0653,111.9029
2018-03-20,31.7,22.5,26.6,0.0,0.0,5.34,14.5,26.03,95,60,Tulungagung,-8.0653,111.9029
2018-03-21,30.0,22.4,25.7,0.1,0.1,4.19,13.6,20.85,98,68,Tulungagung,-8.0653,111.9029
2018-03-22,29.0,23.2,25.4,10.8,10.8,3.19,13.0,15.88,94,74,Tulungagung,-8.0653,111.9029
2018-03-23,30.9,22.4,26.5,2.0,2.0,4.58,14.2,22.41,96,63,Tulungagung,-8.0653,111.9029
2018-03-24,28.2,23.9,25.7,2.0,2.0,3.28,15.9,17.11,95,78,Tulungagung,-8.0653,111.9029
2018-03-25,29.0,23.6,25.6,3.0,3.0,3.56,11.8,18.12,96,76,Tulungagung,-8.0653,111.9029
2018-03-26,30.2,22.7,26.0,1.2,1.2,4.13,7.6,20.33,97,66,Tulungagung,-8.0653,111.9029
