tanggal,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,windspeed_10m_max,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,kabupaten,lat,lon
2018-01-01,27.8,23.9,25.8,8.3,8.3,3.26,6.6,16.54,99,78,Bangkalan,-6.9046,112.9834
2018-01-02,28.0,24.0,25.8,17.1,17.1,3.52,9.5,18.35,100,80,Bangkalan,-6.9046,112.9834
2018-01-03,29.5,24.2,26.4,9.9,9.9,3.71,9.9,18.63,99,73,Bangkalan,-6.9046,112.9834
2018-01-04,29.0,24.0,26.0,19.8,19.8,3.54,13.4,18.14,99,77,Bangkalan,-6.9046,112.9834
2018-01-05,29.5,23.8,25.9,18.8,18.8,3.79,13.0,19.22,98,75,Bangkalan,-6.9046,112.9834
2018-01-06,29.5,23.9,25.8,11.9,11.9,3.64,12.0,18.51,98,74,Bangkalan,-6.9046,112.9834
2018-01-07,26.5,23.8,25.2,17.6,17.6,2.06,15.5,10.61,97,84,Bangkalan,-6.9046,112.9834
2018-01-08,28.6,23.9,26.0,5.5,5.5,3.47,9.7,17.57,99,76,Bangkalan,-6.9046,112.9834
2018-01-09,29.3,23.8,26.5,1.4,1.4,4.42,11.1,22.38,96,71,Bangkalan,-6.9046,112.9834
2018-01-10,28.9,25.0,26.5,6.7,6.7,4.1,20.8,21.74,93,74,Bangkalan,-6.9046,112.9834
2018-01-11,28.5,24.0,25.7,17.7,17.7,2.85,21.4,13.71,96,74,Bangkalan,-6.9046,112.9834
2018-01-12,29.1,24.4,26.3,2.1,2.1,3.81,19.7,17.4,91,70,Bangkalan,-6.9046,112.9834
2018-01-13,29.5,24.9,27.0,8.5,8.5,4.16,25.5,19.76,93,68,Bangkalan,-6.9046,112.9834
2018-01-14,28.8,23.8,26.3,5.8,5.8,3.1,21.1,14.63,97,76,Bangkalan,-6.9046,112.9834
2018-01-15,28.4,25.5,27.1,0.8,0.8,4.03,22.7,17.47,90,72,Bangkalan,-6.9046,112.9834
2018-01-16,28.9,24.5,26.6,3.6,3.6,3.74,25.6,16.19,91,73,Bangkalan,-6.9046,112.9834
2018-01-17,28.9,25.6,26.8,15.1,15.1,3.74,20.6,16.71,90,74,Bangkalan,-6.9046,112.9834
2018-01-18,28.4,24.7,25.9,25.0,25.0,2.82,17.6,14.09,97,80,Bangkalan,-6.9046,112.9834
2018-01-19,27.6,23.9,25.2,16.0,16.0,2.08,14.6,10.76,98,84,Bangkalan,-6.9046,112.9834
2018-01-20,28.4,24.5,25.6,16.1,16.1,2.99,17.0,15.41,96,72,Bangkalan,-6.9046,112.9834
