Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Pacitan,17.83147,5071,90.42821
Ponorogo,62.96437,5708,359.41377
Trenggalek,22.02697,5255,115.75801
Tulungagung,39.53125,5242,207.21726
Blitar,34.13774,6312,215.48279
Kediri,29.37986,5747,168.85355
Malang,45.90191,5917,271.60678
Lumajang,55.0425,5465,300.82901
Jember,118.48925,5126,607.37119
Banyuwangi,76.74803,6022,462.20598
Bondowoso,48.2407,4948,238.67765
Situbondo,26.78422,5288,141.628
Probolinggo,33.50312,5534,185.41251
Pasuruan,47.38482,5218,247.25572
Sidoarjo,31.36874,6202,194.54045
Mojokerto,49.39545,5706,281.82941
Jombang,54.89668,6142,337.17214
Nganjuk,70.33177,5353,376.47643
Madiun,73.06153,5496,401.57369
Magetan,43.96549,6066,266.69989
Ngawi,128.58579,5879,755.93895
Bojonegoro,133.6655,5269,704.28894
Tuban,85.28802,5850,498.93859
Lamongan,150.9034,5990,903.88229
Gresik,63.2872,6498,411.2422
Bangkalan,40.71781,4866,198.12271
Sampang,34.88084,4945,172.49438
Pamekasan,20.49742,5252,107.64871
Sumenep,41.83541,5512,230.58131
Kota Kediri,1.86413,5470,10.1975
Kota Blitar,72819,7158,5.21213
Kota Malang,1.71811,6269,10.77115
Kota Probolinggo,1.32399,6121,8.10392
Kota Pasuruan,1.39398,5232,7.29369
Kota Mojokerto,83303,6042,5.03296
Kota Madiun,2.19458,5219,11.45392
Kota Surabaya,1.44798,5606,8.11731
Kota Batu,1.05945,6383,6.76257
Jawa Timur,"1.693.210,70",5626,"9.526.515,67"
