kabupaten,tahun,luas_panen_ha,produktivitas_ku_ha,produktivitas_ton_ha,produksi_ton,suhu_mean,suhu_max_mean,suhu_min_mean,n_hari_panas,n_hari_dingin,hujan_total,hujan_mean_harian,n_hari_hujan,n_hari_kering,n_hari_ekstrim,hujan_max_harian,n_run2_hujan_ekstrim,n_run3_hujan_ekstrim,maks_run_hujan_ekstrim,n_run3_kering,n_run7_kering,maks_run_kering,et0_total,et0_mean,neraca_air,radiasi_mean,rh_max_mean,rh_min_mean,angin_max_mean,n_hari_angin_kencang,label_hist
Pacitan,2018,19311.99,46.44,4.644,89684.44,25.984109589041097,28.872054794520547,23.78876712328768,0,2,1736.5000000000002,4.757534246575343,205,160,3,109.7,0,0,1,17,12,31,1385.52,3.795945205479452,350.98000000000025,18.450986301369863,92.86575342465754,69.67671232876712,16.994794520547945,0,1
Ponorogo,2018,63443.600000000006,59.46,5.946,377263.18,27.00301369863013,31.797260273972604,23.543287671232875,19,2,1203.4,3.2969863013698637,138,227,1,91.0,0,0,1,16,6,42,1745.9,4.783287671232876,-542.4999999999998,19.64909589041096,88.28493150684932,52.99452054794521,20.661917808219176,0,2
Trenggalek,2018,22732.51,53.04,5.304,120574.63,25.31150684931507,28.90575342465754,22.76931506849315,0,11,1741.2000000000005,4.77041095890411,226,139,3,125.2,0,0,1,22,12,26,1313.24,3.597917808219178,427.96000000000026,17.535999999999998,95.16164383561645,66.59178082191781,14.147397260273973,0,1
Tulungagung,2018,34919.88,62.11,6.211,216884.62,25.88082191780822,29.98246575342465,22.934794520547943,0,8,1768.3000000000002,4.844657534246576,233,132,3,74.3,0,0,1,21,12,24,1385.9,3.796986301369863,382.4000000000003,17.79331506849315,94.8054794520548,61.87671232876713,14.35890410958904,0,2
Blitar,2018,37101.96,60.42,6.042,224178.63,25.020273972602737,29.225753424657533,21.811780821917807,0,42,1834.2,5.025205479452055,211,154,3,97.3,0,0,1,12,7,77,1397.53,3.828849315068493,436.6699999999999,18.12991780821918,95.64109589041097,62.55068493150685,17.23753424657534,0,1
Kediri,2018,37008.78,59.4,5.94,219834.83,25.812602739726024,29.87780821917808,23.24109589041096,0,0,2471.4,6.770958904109589,174,191,6,74.2,0,0,1,11,5,55,1537.33,4.21186301369863,934.0700000000002,19.060109589041097,92.04931506849314,60.88219178082192,18.397534246575344,0,2
Malang,2018,50374.07,57.18,5.718,288019.9,23.749589041095888,28.09041095890411,20.64246575342466,0,95,1898.4,5.201095890410959,197,168,2,104.1,0,0,1,16,12,34,1368.51,3.7493424657534247,529.8900000000001,18.407013698630134,97.18630136986302,62.2054794520548,18.055616438356164,0,0
Lumajang,2018,56617.2,54.88,5.488,310736.82,25.276986301369863,29.0013698630137,22.58082191780822,0,14,2407.1000000000004,6.594794520547946,280,85,3,71.5,0,0,1,25,15,37,1284.86,3.520164383561644,1122.2400000000005,17.52723287671233,95.3972602739726,69.06301369863014,12.87945205479452,0,1
Jember,2018,125135.86,55.04,5.504,688809.35,26.34027397260274,30.86876712328767,22.94301369863014,8,12,1726.1,4.729041095890411,205,160,1,103.3,0,0,1,20,8,30,1400.67,3.837452054794521,325.42999999999984,17.83041095890411,93.52054794520548,58.32328767123288,12.428219178082191,0,2
Banyuwangi,2018,84360.77,60.99,6.099,514528.78,25.664383561643834,28.847123287671234,23.27561643835616,0,0,1577.0,4.32054794520548,261,104,0,41.8,0,0,0,29,14,23,1394.71,3.821123287671233,182.29,18.952794520547947,93.96712328767124,67.63561643835617,13.474246575342466,0,2
Bondowoso,2018,49799.08,50.97,5.097,253835.28,25.36602739726027,30.2241095890411,21.863013698630137,8,26,1469.2,4.025205479452055,144,221,1,89.1,0,0,1,13,5,56,1579.36,4.327013698630138,-110.16000000000008,19.370849315068494,90.87123287671233,54.50410958904109,16.34054794520548,0,2
Situbondo,2018,31622.51,55.52,5.5520000000000005,175555.17,26.56438356164384,30.724383561643837,23.21780821917808,1,0,2098.5,5.749315068493151,174,191,3,65.3,0,0,1,16,4,43,1689.19,4.627917808219178,409.31,20.65205479452055,88.7068493150685,54.9041095890411,15.336712328767122,0,2
